semana_inicio,harina,azucar,otros
2021-05-03,0.6,0.4,0.0
2021-05-10,0.6,0.4000000000000001,0.0
2021-05-17,0.6,0.4000000000000001,0.0
2021-05-24,0.6,0.4,0.0
2021-05-31,0.6,0.4000000000000001,0.0
2021-06-07,0.6,0.4,0.0
2021-06-14,0.6,0.4,0.0
2021-06-21,0.6,0.4,0.0
2021-06-28,,,
2021-07-05,,,
2021-07-12,0.6,0.4,0.0
2021-07-19,0.5999999999999999,0.4,0.0
2021-07-26,0.6,0.4,0.0
2021-08-02,0.6,0.4,0.0
2021-08-09,0.6,0.4,0.0
2021-08-16,0.6,0.4,0.0
2021-08-23,,,
2021-08-30,0.6,0.4,0.0
2021-09-06,0.6,0.4,0.0
2021-09-13,0.6,0.4,0.0
2021-09-20,0.6,0.4000000000000001,0.0
2021-09-27,0.6,0.4,0.0
2021-10-04,0.6,0.4,0.0
2021-10-11,0.6,0.4,0.0
2021-10-18,0.6,0.4,0.0
2021-10-25,0.6,0.4,0.0
2021-11-01,0.6,0.4,0.0
2021-11-08,0.6,0.4,0.0
2021-11-15,0.6,0.4,0.0
2021-11-22,0.6,0.4,0.0
2021-11-29,,,
2021-12-06,0.6,0.4,0.0
2021-12-13,0.6,0.4,0.0
2021-12-20,0.6,0.4,0.0
2021-12-27,0.6,0.4,0.0
2022-01-03,0.6,0.4,0.0
2022-01-10,0.6,0.4,0.0
2022-01-17,0.6,0.4,0.0
2022-01-24,0.6,0.4,0.0
2022-01-31,0.6,0.4,0.0
2022-02-07,0.6,0.4,0.0
2022-02-14,,,
2022-02-21,0.6,0.4000000000000001,0.0
2022-02-28,0.6,0.4,0.0
2022-03-07,0.6,0.4,0.0
2022-03-14,0.6,0.4,0.0
2022-03-21,0.6,0.4000000000000001,0.0
2022-03-28,0.6,0.4000000000000001,0.0
2022-04-04,0.6,0.4,0.0
2022-04-11,0.6,0.4,0.0
2022-04-18,0.6,0.4,0.0
2022-04-25,0.6,0.4,0.0
2022-05-02,0.6,0.4,0.0
2022-05-09,0.6,0.4,0.0
2022-05-16,0.6,0.4,0.0
2022-05-23,0.6,0.4,0.0
2022-05-30,,,
2022-06-06,0.6,0.4,0.0
2022-06-13,0.6,0.4,0.0
2022-06-20,0.6,0.4,0.0
2022-06-27,0.6,0.4,0.0
2022-07-04,0.6,0.4,0.0
2022-07-11,0.6,0.4,0.0
2022-07-18,0.6,0.4,0.0
2022-07-25,0.6,0.4,0.0
2022-08-01,0.6,0.4,0.0
2022-08-08,0.6,0.4,0.0
2022-08-15,0.6,0.4,0.0
2022-08-22,0.6,0.4,0.0
2022-08-29,0.6,0.4,0.0
2022-09-05,0.6,0.4,0.0
2022-09-12,0.6,0.4,0.0
2022-09-19,,,
2022-09-26,0.6,0.4,0.0
2022-10-03,0.6,0.4,0.0
2022-10-10,0.6,0.4,0.0
2022-10-17,0.6,0.4,0.0
2022-10-24,0.6,0.4,0.0
2022-10-31,0.6,0.4,0.0
2022-11-07,0.6,0.4,0.0
2022-11-14,0.6,0.4,0.0
2022-11-21,0.6,0.4,0.0
2022-11-28,0.6,0.4,0.0
2022-12-05,0.6,0.4,0.0
2022-12-12,0.6,0.4,0.0
2022-12-19,0.6,0.4,0.0
2022-12-26,0.6,0.4,0.0
2023-01-02,0.6,0.4,0.0
2023-01-09,,,
2023-01-16,0.6,0.4,0.0
2023-01-23,0.6,0.4,0.0
2023-01-30,0.6,0.4,0.0
2023-02-06,0.6,0.4,0.0
2023-02-13,0.6,0.4,0.0
2023-02-20,0.6,0.4,0.0
2023-02-27,0.6,0.4,0.0
2023-03-06,,,
2023-03-13,0.6,0.4,0.0
