semana_inicio,total
2021-05-03,200.0
2021-05-10,205.64807918509044
2021-05-17,210.98851077208406
2021-05-24,215.73277520046668
2021-05-31,219.62941969615795
2021-06-07,222.47969238711173
2021-06-14,224.14989973208108
2021-06-21,224.57971893747873
2021-06-28,
2021-07-05,
2021-07-12,218.96944288207914
2021-07-19,215.33321984104663
2021-07-26,211.22240016119736
2021-08-02,206.93609730939784
2021-08-09,202.78433544620762
2021-08-16,199.0687736251531
2021-08-23,
2021-08-30,194.00021283542833
2021-09-06,193.04939764669805
2021-09-13,193.31414422049244
2021-09-20,194.82151450673723
2021-09-27,197.52131013146814
2021-10-04,201.28919348859216
2021-10-11,205.93441845001482
2021-10-18,211.21169003602148
2021-10-25,216.83641566904888
2021-11-01,222.5023997617563
2021-11-08,227.90088147561235
2021-11-15,232.7397319743758
2021-11-22,236.7616175802301
2021-11-29,
2021-12-06,241.5919755822235
2021-12-13,242.18716493246765
2021-12-20,241.5520842047868
2021-12-27,239.76974225246983
2022-01-03,236.99447907508386
2022-01-10,233.44236970483513
2022-01-17,229.37778970760868
2022-01-24,225.0969775907638
2022-01-31,220.90961612755453
2022-02-07,217.11957778221262
2022-02-14,
2022-02-21,211.8060848005666
2022-02-28,210.70004264158644
2022-03-07,210.80019586898595
2022-03-14,212.14384004977478
2022-03-21,214.69095650623143
2022-03-28,218.3267004834566
2022-04-04,222.8685416399913
2022-04-11,228.07761290037746
2022-04-18,233.673562052976
2022-04-25,239.35198269262267
2022-05-02,244.80334073653282
2022-05-09,249.73221975436476
2022-05-16,253.87568853103244
2022-05-23,257.0196488561725
2022-05-30,
2022-06-06,259.77282202265525
2022-06-13,259.2979011104936
2022-06-20,257.6604352690939
2022-06-27,255.00575680314233
2022-07-04,251.54244337153077
2022-07-11,247.52934963875595
2022-07-18,243.2595129456232
2022-07-25,239.0419336666987
2022-08-01,235.1823630636378
2022-08-08,231.96429315261753
2022-08-15,229.6313305438419
2022-08-22,228.37205016240887
2022-08-29,228.30827057281567
2022-09-05,229.48747989063685
2022-09-12,231.87988320150293
2022-09-19,
2022-09-26,239.8144819207629
2022-10-03,244.95038763060776
2022-10-10,250.51216906202305
2022-10-17,256.19754419325903
2022-10-24,261.69654654492757
2022-10-31,266.710797394392
2022-11-07,270.9720575195671
2022-11-14,274.25890501455257
2022-11-21,276.41050223130236
2022-11-28,277.33659588557595
2022-12-05,277.02312856901744
2022-12-12,275.5331127707211
2022-12-19,273.002713065856
2022-12-26,269.6327800618839
2023-01-02,265.67636248059165
2023-01-09,
2023-01-16,257.18059177861335
2023-01-23,253.2565097507898
2023-01-30,249.93823075483405
2023-02-06,247.47559191649657
2023-02-13,246.06523080075294
2023-02-20,245.8383594404121
2023-02-27,246.85260620743153
2023-03-06,
2023-03-13,252.45034884134458
