origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2023-03-20,2023-03-20,1,ss_ar1,256.77284940269755,252.18571562021154,3.2350854843034673
2023-03-20,2023-03-20,1,hgb,256.77284940269755,253.13461215152725,3.2350854843034673
2023-03-20,2023-03-20,1,hibrido,256.77284940269755,252.6601638858694,3.2350854843034673
2023-03-20,2023-03-20,1,ultimo_valor,256.77284940269755,252.45034884134458,3.2350854843034673
2023-03-20,2023-03-20,1,promedio_4s,256.77284940269755,248.38043816306276,3.2350854843034673
2023-03-20,2023-03-20,1,estacional_52s,256.77284940269755,214.69095650623143,3.2350854843034673
2023-03-20,2023-03-27,2,ss_ar1,261.8307049043177,251.92407807342622,3.2350854843034673
2023-03-20,2023-03-27,2,hgb,261.8307049043177,253.16272906694823,3.2350854843034673
2023-03-20,2023-03-27,2,hibrido,261.8307049043177,252.54340357018722,3.2350854843034673
2023-03-20,2023-03-27,2,ultimo_valor,261.8307049043177,252.45034884134458,3.2350854843034673
2023-03-20,2023-03-27,2,promedio_4s,261.8307049043177,248.38043816306276,3.2350854843034673
2023-03-20,2023-03-27,2,estacional_52s,261.8307049043177,218.3267004834566,3.2350854843034673
2023-03-20,2023-04-03,3,ss_ar1,267.3529649980445,251.6654022896574,3.2350854843034673
2023-03-20,2023-04-03,3,hgb,267.3529649980445,251.3877477174746,3.2350854843034673
2023-03-20,2023-04-03,3,hibrido,267.3529649980445,251.526575003566,3.2350854843034673
2023-03-20,2023-04-03,3,ultimo_valor,267.3529649980445,252.45034884134458,3.2350854843034673
2023-03-20,2023-04-03,3,promedio_4s,267.3529649980445,248.38043816306276,3.2350854843034673
2023-03-20,2023-04-03,3,estacional_52s,267.3529649980445,222.8685416399913,3.2350854843034673
2023-03-20,2023-04-10,4,ss_ar1,273.0398049074873,251.40965474145364,3.2350854843034673
2023-03-20,2023-04-10,4,hgb,273.0398049074873,250.06115339240364,3.2350854843034673
2023-03-20,2023-04-10,4,hibrido,273.0398049074873,250.73540406692865,3.2350854843034673
2023-03-20,2023-04-10,4,ultimo_valor,273.0398049074873,252.45034884134458,3.2350854843034673
2023-03-20,2023-04-10,4,promedio_4s,273.0398049074873,248.38043816306276,3.2350854843034673
2023-03-20,2023-04-10,4,estacional_52s,273.0398049074873,228.07761290037746,3.2350854843034673
2023-03-27,2023-03-27,1,ss_ar1,261.8307049043177,256.49777863712205,3.248510361797906
2023-03-27,2023-03-27,1,hgb,261.8307049043177,259.58325684895675,3.248510361797906
2023-03-27,2023-03-27,1,hibrido,261.8307049043177,258.0405177430394,3.248510361797906
2023-03-27,2023-03-27,1,ultimo_valor,261.8307049043177,256.77284940269755,3.248510361797906
2023-03-27,2023-03-27,1,promedio_4s,261.8307049043177,252.02526815049123,3.248510361797906
2023-03-27,2023-03-27,1,estacional_52s,261.8307049043177,218.3267004834566,3.248510361797906
2023-03-27,2023-04-03,2,ss_ar1,267.3529649980445,256.22558137328366,3.248510361797906
2023-03-27,2023-04-03,2,hgb,267.3529649980445,257.70603893924795,3.248510361797906
2023-03-27,2023-04-03,2,hibrido,267.3529649980445,256.9658101562658,3.248510361797906
2023-03-27,2023-04-03,2,ultimo_valor,267.3529649980445,256.77284940269755,3.248510361797906
2023-03-27,2023-04-03,2,promedio_4s,267.3529649980445,252.02526815049123,3.248510361797906
2023-03-27,2023-04-03,2,estacional_52s,267.3529649980445,222.8685416399913,3.248510361797906
2023-03-27,2023-04-10,3,ss_ar1,273.0398049074873,255.95622759340773,3.248510361797906
2023-03-27,2023-04-10,3,hgb,273.0398049074873,258.5608280233216,3.248510361797906
2023-03-27,2023-04-10,3,hibrido,273.0398049074873,257.25852780836465,3.248510361797906
2023-03-27,2023-04-10,3,ultimo_valor,273.0398049074873,256.77284940269755,3.248510361797906
2023-03-27,2023-04-10,3,promedio_4s,273.0398049074873,252.02526815049123,3.248510361797906
2023-03-27,2023-04-10,3,estacional_52s,273.0398049074873,228.07761290037746,3.248510361797906
2023-03-27,2023-04-17,4,ss_ar1,,255.68968759329766,3.248510361797906
2023-03-27,2023-04-17,4,hgb,,256.4374521111851,3.248510361797906
2023-03-27,2023-04-17,4,hibrido,,256.06356985224136,3.248510361797906
2023-03-27,2023-04-17,4,ultimo_valor,,256.77284940269755,3.248510361797906
2023-03-27,2023-04-17,4,promedio_4s,,252.02526815049123,3.248510361797906
2023-03-27,2023-04-17,4,estacional_52s,,233.673562052976,3.248510361797906
2023-04-03,2023-04-03,1,ss_ar1,267.3529649980445,261.5509380621162,3.2705755464298845
2023-04-03,2023-04-03,1,hgb,267.3529649980445,263.688996640019,3.2705755464298845
2023-04-03,2023-04-03,1,hibrido,267.3529649980445,262.6199673510676,3.2705755464298845
2023-04-03,2023-04-03,1,ultimo_valor,267.3529649980445,261.8307049043177,3.2705755464298845
2023-04-03,2023-04-03,1,promedio_4s,267.3529649980445,257.0179677161199,3.2705755464298845
2023-04-03,2023-04-03,1,estacional_52s,267.3529649980445,222.8685416399913,3.2705755464298845
2023-04-03,2023-04-10,2,ss_ar1,273.0398049074873,261.27380579442587,3.2705755464298845
2023-04-03,2023-04-10,2,hgb,273.0398049074873,262.3092106930249,3.2705755464298845
2023-04-03,2023-04-10,2,hibrido,273.0398049074873,261.7915082437254,3.2705755464298845
2023-04-03,2023-04-10,2,ultimo_valor,273.0398049074873,261.8307049043177,3.2705755464298845
2023-04-03,2023-04-10,2,promedio_4s,273.0398049074873,257.0179677161199,3.2705755464298845
2023-04-03,2023-04-10,2,estacional_52s,273.0398049074873,228.07761290037746,3.2705755464298845
2023-04-03,2023-04-17,3,ss_ar1,,260.999283291363,3.2705755464298845
2023-04-03,2023-04-17,3,hgb,,260.0134259771332,3.2705755464298845
2023-04-03,2023-04-17,3,hibrido,,260.50635463424805,3.2705755464298845
2023-04-03,2023-04-17,3,ultimo_valor,,261.8307049043177,3.2705755464298845
2023-04-03,2023-04-17,3,promedio_4s,,257.0179677161199,3.2705755464298845
2023-04-03,2023-04-17,3,estacional_52s,,233.673562052976,3.2705755464298845
2023-04-03,2023-04-24,4,ss_ar1,283.67603906575505,260.72734597667926,3.2705755464298845
2023-04-03,2023-04-24,4,hgb,283.67603906575505,258.8844505149565,3.2705755464298845
2023-04-03,2023-04-24,4,hibrido,283.67603906575505,259.80589824581784,3.2705755464298845
2023-04-03,2023-04-24,4,ultimo_valor,283.67603906575505,261.8307049043177,3.2705755464298845
2023-04-03,2023-04-24,4,promedio_4s,283.67603906575505,257.0179677161199,3.2705755464298845
2023-04-03,2023-04-24,4,estacional_52s,283.67603906575505,239.35198269262267,3.2705755464298845
2023-04-10,2023-04-10,1,ss_ar1,273.0398049074873,267.0761029585734,3.2977042759153896
2023-04-10,2023-04-10,1,hgb,273.0398049074873,268.65277178684596,3.2977042759153896
2023-04-10,2023-04-10,1,hibrido,273.0398049074873,267.8644373727097,3.2977042759153896
2023-04-10,2023-04-10,1,ultimo_valor,273.0398049074873,267.3529649980445,3.2977042759153896
2023-04-10,2023-04-10,1,promedio_4s,273.0398049074873,259.6017170366011,3.2977042759153896
2023-04-10,2023-04-10,1,estacional_52s,273.0398049074873,228.07761290037746,3.2977042759153896
2023-04-10,2023-04-17,2,ss_ar1,,266.80154315592506,3.2977042759153896
2023-04-10,2023-04-17,2,hgb,,272.1667372174139,3.2977042759153896
2023-04-10,2023-04-17,2,hibrido,,269.4841401866695,3.2977042759153896
2023-04-10,2023-04-17,2,ultimo_valor,,267.3529649980445,3.2977042759153896
2023-04-10,2023-04-17,2,promedio_4s,,259.6017170366011,3.2977042759153896
2023-04-10,2023-04-17,2,estacional_52s,,233.673562052976,3.2977042759153896
2023-04-10,2023-04-24,3,ss_ar1,283.67603906575505,266.5292664459279,3.2977042759153896
2023-04-10,2023-04-24,3,hgb,283.67603906575505,269.94934462370736,3.2977042759153896
2023-04-10,2023-04-24,3,hibrido,283.67603906575505,268.2393055348176,3.2977042759153896
2023-04-10,2023-04-24,3,ultimo_valor,283.67603906575505,267.3529649980445,3.2977042759153896
2023-04-10,2023-04-24,3,promedio_4s,283.67603906575505,259.6017170366011,3.2977042759153896
2023-04-10,2023-04-24,3,estacional_52s,283.67603906575505,239.35198269262267,3.2977042759153896
2023-04-10,2023-05-01,4,ss_ar1,288.05116900959206,266.25925384360295,3.2977042759153896
2023-04-10,2023-05-01,4,hgb,288.05116900959206,263.1059211590971,3.2977042759153896
2023-04-10,2023-05-01,4,hibrido,288.05116900959206,264.68258750135,3.2977042759153896
2023-04-10,2023-05-01,4,ultimo_valor,288.05116900959206,267.3529649980445,3.2977042759153896
2023-04-10,2023-05-01,4,promedio_4s,288.05116900959206,259.6017170366011,3.2977042759153896
2023-04-10,2023-05-01,4,estacional_52s,288.05116900959206,244.80334073653282,3.2977042759153896
2023-04-17,2023-04-17,1,ss_ar1,,272.77280206045026,3.3261463667907156
