horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,9,42.51518603743465,42.45782938635736,12.866303309327943,9,3,complementaria_disponibilidad_propia
1,hgb,9,6.270484548118182,5.6392499187691705,1.702074580958247,9,3,principal_fechas_comunes
1,hibrido,9,5.779543086870078,5.316850412681788,1.6082104032891464,9,3,principal_fechas_comunes
1,promedio_4s,9,10.869329953221085,10.35246016708691,3.135789400590008,9,3,complementaria_disponibilidad_propia
1,ss_ar1,9,5.639034139521461,4.994450906594399,1.5143462256200444,9,3,principal_fechas_comunes
1,ultimo_valor,9,5.350378946878591,4.714229717159096,1.4294513588550335,9,3,principal_fechas_comunes
2,estacional_52s,8,42.569037580777916,42.50482144759377,12.882442517035454,8,3,complementaria_disponibilidad_propia
2,hgb,8,11.476806101812507,11.293607471572418,3.416399472041894,8,3,principal_fechas_comunes
2,hibrido,8,10.703926096932275,10.527014928957524,3.1887017424655655,8,3,principal_fechas_comunes
2,promedio_4s,8,15.566786450150468,15.062504012745954,4.563971070987131,8,3,complementaria_disponibilidad_propia
2,ss_ar1,8,10.348023022383556,9.760422386342608,2.96100401288923,8,3,principal_fechas_comunes
2,ultimo_valor,8,9.80675659644806,9.219441375546232,2.797083071108811,8,3,principal_fechas_comunes
3,estacional_52s,7,42.43378923819211,42.36208102284129,12.846423709570493,7,3,complementaria_disponibilidad_propia
3,hgb,7,16.53320548528649,16.427319210705402,4.975105699340176,7,3,principal_fechas_comunes
3,hibrido,7,15.691851830358917,15.61102738263226,4.732388746384435,7,3,principal_fechas_comunes
3,promedio_4s,7,20.856066870473114,20.545809373290606,6.228376334781294,7,3,complementaria_disponibilidad_propia
3,ss_ar1,7,15.286068027957734,14.794735554559114,4.48967179342869,7,3,principal_fechas_comunes
3,ultimo_valor,7,14.478065221936426,13.982945876939239,4.243624258567862,7,3,principal_fechas_comunes
4,estacional_52s,6,42.0823030150059,42.00835730030597,12.749582062324786,6,3,complementaria_disponibilidad_propia
4,hgb,6,23.52887307826636,23.49579452282801,7.12826686841888,6,3,principal_fechas_comunes
4,hibrido,6,21.886869542557548,21.75591774985629,6.602759111922251,6,3,principal_fechas_comunes
4,promedio_4s,6,25.645024318182024,25.510667562828747,7.73950894365251,6,3,complementaria_disponibilidad_propia
4,ss_ar1,6,20.348099257849064,20.01604097688457,6.077251355425626,6,3,principal_fechas_comunes
4,ultimo_valor,6,19.25908767799259,18.920161608083674,5.744897272120725,6,3,principal_fechas_comunes
