horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,azucar,3.700743415417189e-15,9,3
1,participacion_ewm,harina,1.2335811384723961e-15,9,3
1,participacion_ewm,otros,0.0,9,3
1,participacion_historica,azucar,4.317533984653386e-15,9,3
1,participacion_historica,harina,6.167905692361981e-15,9,3
1,participacion_historica,otros,0.0,9,3
2,participacion_ewm,azucar,4.163336342344337e-15,8,3
2,participacion_ewm,harina,2.7755575615628914e-15,8,3
2,participacion_ewm,otros,0.0,8,3
2,participacion_historica,azucar,4.163336342344337e-15,8,3
2,participacion_historica,harina,6.938893903907228e-15,8,3
2,participacion_historica,otros,0.0,8,3
3,participacion_ewm,azucar,3.965082230804131e-15,7,3
3,participacion_ewm,harina,3.1720657846433046e-15,7,3
3,participacion_ewm,otros,0.0,7,3
3,participacion_historica,azucar,3.965082230804131e-15,7,3
3,participacion_historica,harina,7.930164461608261e-15,7,3
3,participacion_historica,otros,0.0,7,3
4,participacion_ewm,azucar,4.625929269271485e-15,6,3
4,participacion_ewm,harina,3.700743415417189e-15,6,3
4,participacion_ewm,otros,0.0,6,3
4,participacion_historica,azucar,4.625929269271485e-15,6,3
4,participacion_historica,harina,9.25185853854297e-15,6,3
4,participacion_historica,otros,0.0,6,3
1,participacion_ewm,PROMEDIO_MACRO,1.6447748512965282e-15,9,3
1,participacion_historica,PROMEDIO_MACRO,3.4951465590051224e-15,9,3
2,participacion_ewm,PROMEDIO_MACRO,2.3129646346357427e-15,8,3
2,participacion_historica,PROMEDIO_MACRO,3.700743415417189e-15,8,3
3,participacion_ewm,PROMEDIO_MACRO,2.3790493384824785e-15,7,3
3,participacion_historica,PROMEDIO_MACRO,3.965082230804131e-15,7,3
4,participacion_ewm,PROMEDIO_MACRO,2.7755575615628914e-15,6,3
4,participacion_historica,PROMEDIO_MACRO,4.625929269271485e-15,6,3
