id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,audit_20260912T200925Z_6b5a1e,Metodología,,False
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,1de5c16c54a08a1c43a22f1afed962f922f42bba7e88c45a5129efd31590941e,audit_20260912T200925Z_6b5a1e,Desarrollo,,False
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,128f6ff634cd6348bd744d9e0a2e93af9681e30667f5dde7a37a2d36ced6b288,audit_20260912T200925Z_6b5a1e,Desarrollo,,False
F03,Importe semanal de compras,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F04,Selección de insumos en desarrollo,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F05,Composición semanal en desarrollo,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F06,Dependencia temporal en desarrollo,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F07,Distribución del importe y ceros,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F08,Descomposición temporal exploratoria,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,STL requiere al menos 156 semanas de desarrollo en esta configuración.,False
F09,Particiones temporales,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,audit_20260912T200925Z_6b5a1e,Metodología,,False
F11,Selección de características,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",False
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,audit_20260912T200925Z_6b5a1e,Metodología,,False
F13,Pesos y validación interna,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F14,Pronósticos fuera de muestra,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F15,Composición observada y pronosticada,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F16,Asignación y reconciliación,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F17,Errores monetarios,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F18,Errores de participación,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F19,Diferencias de pérdidas para H1,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F20,Presupuesto de las cuatro semanas siguientes,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
F21,Interfaz del tablero,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Captura requiere inspeccionar el HTML de la ejecución en navegador; no se sustituye con una maqueta.,False
F22,Controles de calidad,omitida,,,,,audit_20260912T200925Z_6b5a1e,Desarrollo,Sin ejecución empírica aprobada.,False
