horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,13,724.9779459987838,541.9784615384616,1.1531997192217607,13,13,complementaria_disponibilidad_propia
1,hibrido,14,534.4906671127186,483.53729185068147,1.0272579610126071,14,12,principal_fechas_comunes
1,promedio_4s,13,874.9966354217364,756.5124358974359,1.608333953982754,13,13,complementaria_disponibilidad_propia
1,rf,14,507.0470104333469,456.8415614950025,0.9703738919091949,14,12,principal_fechas_comunes
1,ss_arima111,14,642.5019659656697,563.6244829177188,1.1979101683228437,14,12,principal_fechas_comunes
1,ultimo_valor,14,909.5259636363172,742.8900000000001,1.576158420291808,14,12,principal_fechas_comunes
2,estacional_52s,13,724.9779459987838,541.9784615384616,1.1524113303253987,13,12,complementaria_disponibilidad_propia
2,hibrido,14,632.2342434863132,533.6981072769435,1.135497395087343,14,11,principal_fechas_comunes
2,promedio_4s,14,864.8937820665558,752.4729166666667,1.596511579651008,14,11,complementaria_disponibilidad_propia
2,rf,14,632.1938461336368,521.4270197955797,1.1095630569719002,14,11,principal_fechas_comunes
2,ss_arima111,14,647.2946431399881,571.6334765870008,1.2157025702433406,14,11,principal_fechas_comunes
2,ultimo_valor,14,1061.3360491481615,868.5564285714287,1.8436748053590455,14,11,principal_fechas_comunes
3,estacional_52s,12,739.164496013348,543.3366666666667,1.1558280100282736,12,12,complementaria_disponibilidad_propia
3,hibrido,13,666.8001249838997,600.2725928676745,1.2762919156741477,13,11,principal_fechas_comunes
3,promedio_4s,13,803.1054375644372,636.0921153846152,1.3509260710535842,13,11,complementaria_disponibilidad_propia
3,rf,13,681.6568127911345,600.2974088258381,1.276652374002107,13,11,principal_fechas_comunes
3,ss_arima111,13,663.6771611119052,600.2643208816199,1.2761717628981613,13,11,principal_fechas_comunes
3,ultimo_valor,13,1104.2941388367642,918.6361538461539,1.948749853519763,13,11,principal_fechas_comunes
4,estacional_52s,11,711.4312591274272,502.32818181818186,1.0660191724895873,11,12,complementaria_disponibilidad_propia
4,hgb,12,625.3823206662571,478.0906224906169,1.0159662255835558,12,11,principal_fechas_comunes
4,hibrido,12,623.5033983750102,479.8644464114941,1.0195840405599752,12,11,principal_fechas_comunes
4,promedio_4s,12,722.6266567261196,563.3090972222221,1.1958651665981759,12,11,complementaria_disponibilidad_propia
4,ss_ar1,12,655.7435364663476,492.6685889004373,1.0461698323037718,12,11,principal_fechas_comunes
4,ultimo_valor,12,1097.7253784455077,888.3083333333335,1.8818782566987613,12,11,principal_fechas_comunes
