etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2023-10-16,2023-10-16,1,2021-05-03,2023-10-09,103,True,
validacion_interna,2023-10-16,2023-10-23,2,2021-05-03,2023-10-09,102,False,semana_incierta
validacion_interna,2023-10-16,2023-10-30,3,2021-05-03,2023-10-09,102,True,
validacion_interna,2023-10-16,2023-11-06,4,2021-05-03,2023-10-09,101,True,
validacion_interna,2023-10-23,2023-10-23,1,2021-05-03,2023-10-16,104,False,semana_incierta
validacion_interna,2023-10-23,2023-10-30,2,2021-05-03,2023-10-16,103,True,
validacion_interna,2023-10-23,2023-11-06,3,2021-05-03,2023-10-16,103,True,
validacion_interna,2023-10-23,2023-11-13,4,2021-05-03,2023-10-16,102,True,
validacion_interna,2023-10-30,2023-10-30,1,2021-05-03,2023-10-16,104,True,
validacion_interna,2023-10-30,2023-11-06,2,2021-05-03,2023-10-16,103,True,
validacion_interna,2023-10-30,2023-11-13,3,2021-05-03,2023-10-16,103,True,
validacion_interna,2023-10-30,2023-11-20,4,2021-05-03,2023-10-16,102,True,
validacion_interna,2023-11-06,2023-11-06,1,2021-05-03,2023-10-30,105,True,
validacion_interna,2023-11-06,2023-11-13,2,2021-05-03,2023-10-30,104,True,
validacion_interna,2023-11-06,2023-11-20,3,2021-05-03,2023-10-30,104,True,
validacion_interna,2023-11-06,2023-11-27,4,2021-05-03,2023-10-30,103,True,
validacion_interna,2023-11-13,2023-11-13,1,2021-05-03,2023-11-06,106,True,
validacion_interna,2023-11-13,2023-11-20,2,2021-05-03,2023-11-06,105,True,
validacion_interna,2023-11-13,2023-11-27,3,2021-05-03,2023-11-06,105,True,
validacion_interna,2023-11-13,2023-12-04,4,2021-05-03,2023-11-06,104,True,
validacion_interna,2023-11-20,2023-11-20,1,2021-05-03,2023-11-13,107,True,
validacion_interna,2023-11-20,2023-11-27,2,2021-05-03,2023-11-13,106,True,
validacion_interna,2023-11-20,2023-12-04,3,2021-05-03,2023-11-13,106,True,
validacion_interna,2023-11-20,2023-12-11,4,2021-05-03,2023-11-13,105,True,
validacion_interna,2023-11-27,2023-11-27,1,2021-05-03,2023-11-20,108,True,
validacion_interna,2023-11-27,2023-12-04,2,2021-05-03,2023-11-20,107,True,
validacion_interna,2023-11-27,2023-12-11,3,2021-05-03,2023-11-20,107,True,
validacion_interna,2023-11-27,2023-12-18,4,2021-05-03,2023-11-20,106,True,
validacion_interna,2023-12-04,2023-12-04,1,2021-05-03,2023-11-27,109,True,
validacion_interna,2023-12-04,2023-12-11,2,2021-05-03,2023-11-27,108,True,
validacion_interna,2023-12-04,2023-12-18,3,2021-05-03,2023-11-27,108,True,
validacion_interna,2023-12-04,2023-12-25,4,2021-05-03,2023-11-27,107,True,
evaluacion,2024-01-01,2024-01-01,1,2021-05-03,2023-12-25,113,False,semana_incierta
evaluacion,2024-01-01,2024-01-08,2,2021-05-03,2023-12-25,112,True,
evaluacion,2024-01-01,2024-01-15,3,2021-05-03,2023-12-25,112,True,
