semana_inicio,ACEITE,AMBIANTE,AZUCAR,BASES,CAPACILLOS,CHANTILLY,CHOCOLATE,COLORANTES,CONSUMIBLES,DECORACION,DOMO,DULCERIA,EMPAQUE,FONDANT,GALLETAS,HARINA,HORNEADO,HUEVO,JARABE,LECHE EN POLVO,LECHERA,LICORES,MANTECA VEGETAL,MANTEQUILLA,OTROS,QUESO CREMA,RELLENO,ROYALICING,SABORIZANTE,TRANSFER,total
2022-10-17,0.0,0.0,0.0,34.5,81.0,0.0,110.0,0.0,0.0,65.0,0.0,0.0,50.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,577.5
2022-10-24,0.0,63.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,234.5
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
2022-11-07,0.0,0.0,0.0,20.5,0.0,115.0,79.0,0.0,0.0,125.0,0.0,0.0,0.0,166.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,753.5
2022-11-14,0.0,63.0,0.0,14.5,0.0,0.0,12.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5
2022-11-21,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.5
2022-11-28,85.5,0.0,0.0,45.0,68.0,61.0,135.0,0.0,0.0,108.0,0.0,0.0,48.0,166.0,21.5,21.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,44.0,0.0,0.0,0.0,961.0
2022-12-05,0.0,63.0,0.0,0.0,0.0,61.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,222.0
2022-12-12,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,0.0,318.0,0.0,40.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,0.0,552.0
2022-12-19,0.0,0.0,28.0,79.5,0.0,183.0,22.0,12.0,0.0,293.0,0.0,56.0,0.0,415.0,0.0,246.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,65.0,0.0,0.0,0.0,1472.5
2022-12-26,46.9,0.0,0.0,92.0,0.0,205.0,0.0,0.0,55.0,115.0,0.0,0.0,21.0,415.0,0.0,167.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,49.5,0.0,0.0,0.0,1343.4
2023-01-02,0.0,0.0,0.0,0.0,86.0,0.0,365.9,290.0,0.0,45.0,0.0,0.0,10.0,0.0,28.5,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,144.0,0.0,0.0,0.0,1223.4
2023-01-09,0.0,0.0,0.0,52.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,97.0,0.0,0.0,0.0,373.0
2023-01-16,0.0,63.0,0.0,31.51,51.57,0.0,512.09,0.0,14.94,0.0,0.0,0.0,255.32,83.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.43
2023-01-23,0.0,0.0,40.0,0.0,0.0,122.0,45.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,41.5,130.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,93.0,100.0,0.0,0.0,789.0
2023-01-30,0.0,63.0,0.0,45.5,39.0,61.0,68.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,45.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,427.5
2023-02-06,0.0,0.0,0.0,11.5,138.20999999999998,61.0,186.15,0.0,22.91,0.0,0.0,0.0,264.2,83.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,863.97
2023-02-13,0.0,0.0,0.0,0.0,0.0,61.0,136.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,232.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,117.0,0.0,0.0,0.0,619.0
2023-02-20,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,163.5
2023-02-27,74.0,0.0,0.0,112.0,0.0,61.0,24.0,0.0,0.0,118.0,0.0,0.0,0.0,415.0,0.0,85.0,0.0,47.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,135.0,1171.0
2023-03-06,0.0,0.0,0.0,0.0,63.26,0.0,294.06,0.0,23.92,35.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.72,0.0,0.0,0.0,514.96
