insumo,importe,acumulado_pct
CHOCOLATE,6527.52,15.289703566876057
HARINA,5799.59,28.874343967735605
FONDANT,4492.0,39.39615752363543
EMPAQUE,4324.59,49.52583910994639
RELLENO,3551.25,57.84409164565193
CHANTILLY,3057.0,65.0046401853638
DECORACION,2233.0,70.23509647884651
AMBIANTE,1700.0,74.2170829091737
HUEVO,1591.8600000000001,77.94576815563289
QUESO CREMA,1328.7,81.05804190267743
BASES,1134.01,83.71428450965115
CAPACILLOS,1114.51,86.32485138992408
MANTEQUILLA,1002.5,88.6730522113376
TRANSFER,990.0,90.99197372076343
LICORES,639.0,92.48873214957464
DULCERIA,541.5,93.75711194488181
GALLETAS,535.0,95.01026649795537
COLORANTES,519.0,96.22594353168465
ROYALICING,415.0,97.1980166896763
ACEITE,399.4,98.13354926630728
CONSUMIBLES,333.27,98.91418257079853
AZUCAR,324.56,99.67441405069675
LECHERA,62.0,99.81963943815575
LECHE EN POLVO,24.0,99.87585571717213
HORNEADO,22.0,99.92738730627049
OTROS,16.0,99.96486482561474
SABORIZANTE,15.0,99.99999999999997
DOMO,0.0,99.99999999999997
JARABE,0.0,99.99999999999997
MANTECA VEGETAL,0.0,99.99999999999997
