horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,845902.7296905089,7
1,ss_ar1,hgb,0.5,774630.7901901768,7
1,ss_ar1,hgb,0.75,716243.2315211509,7
1,ss_ar1,rf,0.25,679732.0387245193,7
1,ss_ar1,rf,0.5,674976.78972069,7
1,ss_ar1,rf,0.75,671979.4613736605,7
1,ss_arima111,hgb,0.25,857455.6090666665,7
1,ss_arima111,hgb,0.5,794458.364013427,7
1,ss_arima111,hgb,0.75,741067.3148624293,7
1,ss_arima111,rf,0.25,687019.7335184216,7
1,ss_arima111,rf,0.5,689117.4507675999,7
1,ss_arima111,rf,0.75,692538.3601326837,7
2,ss_ar1,hgb,0.25,386170.9399835329,7
2,ss_ar1,hgb,0.5,392786.75319326005,7
2,ss_ar1,hgb,0.75,414760.160848921,7
2,ss_ar1,rf,0.25,407533.4547300334,7
2,ss_ar1,rf,0.5,419343.77824753703,7
2,ss_ar1,rf,0.75,434196.3476543644,7
2,ss_arima111,hgb,0.25,390677.06801598857,7
2,ss_arima111,hgb,0.5,400853.85846568074,7
2,ss_arima111,hgb,0.75,425443.09256881627,7
2,ss_arima111,rf,0.25,410949.6094872539,7
2,ss_arima111,rf,0.5,425957.58581964433,7
2,ss_arima111,rf,0.75,443789.30609902466,7
3,ss_ar1,hgb,0.25,751973.8268469307,8
3,ss_ar1,hgb,0.5,615769.9168003922,8
3,ss_ar1,hgb,0.75,505020.06505806907,8
3,ss_ar1,rf,0.25,469535.98079132545,8
3,ss_ar1,rf,0.5,446890.5538070117,8
3,ss_ar1,rf,0.75,430286.65074989013,8
3,ss_arima111,hgb,0.25,763110.4357845243,8
3,ss_arima111,hgb,0.5,633696.280891894,8
3,ss_arima111,hgb,0.75,525389.3305197936,8
3,ss_arima111,rf,0.25,477857.3828781738,8
3,ss_arima111,rf,0.5,461063.30876418645,8
3,ss_arima111,rf,0.75,447840.7093608695,8
4,ss_ar1,hgb,0.25,441515.8845570185,8
4,ss_ar1,hgb,0.5,376809.2257364145,8
4,ss_ar1,hgb,0.75,331819.7351222519,8
4,ss_ar1,rf,0.25,325105.3596269607,8
4,ss_ar1,rf,0.5,311468.486868046,8
4,ss_ar1,rf,0.75,305282.5045639026,8
4,ss_arima111,hgb,0.25,444614.21987869346,8
4,ss_arima111,hgb,0.5,382382.5867061423,8
4,ss_arima111,hgb,0.75,339244.81206641067,8
4,ss_arima111,rf,0.25,329873.7215454186,8
4,ss_arima111,rf,0.5,319268.54996681784,8
4,ss_arima111,rf,0.75,314377.60810484434,8
