horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,13,724.9779459987838,541.9784615384616,0.8856566277668255,13,13,complementaria_disponibilidad_propia
1,hibrido,14,597.4207911740567,518.6556837375732,0.8499621128154402,14,12,principal_fechas_comunes
1,promedio_4s,13,874.9966354217364,756.5124358974359,1.2396653699993279,13,13,complementaria_disponibilidad_propia
1,rf,14,549.8972594559688,472.4811710293654,0.7734395430791574,14,12,principal_fechas_comunes
1,ss_ar1,14,619.0940239285372,534.0471879736426,0.8754696360608677,14,12,principal_fechas_comunes
1,ultimo_valor,14,909.5259636363172,742.8900000000001,1.2166285950861169,14,12,principal_fechas_comunes
2,estacional_52s,13,724.9779459987838,541.9784615384616,0.8838275977526144,13,12,complementaria_disponibilidad_propia
2,hgb,14,907.3967061724177,717.2143742403927,1.1756666670792009,14,11,principal_fechas_comunes
2,hibrido,14,808.6801636863793,627.4854248478742,1.0282385827962326,14,11,principal_fechas_comunes
2,promedio_4s,14,864.8937820665558,752.4729166666667,1.2297633134914256,14,11,complementaria_disponibilidad_propia
2,ss_ar1,14,616.8950123333885,531.993825948152,0.8722363501570881,14,11,principal_fechas_comunes
2,ultimo_valor,14,1061.3360491481615,868.5564285714287,1.4201230024864873,14,11,principal_fechas_comunes
3,estacional_52s,12,739.164496013348,543.3366666666667,0.8865532454147643,12,12,complementaria_disponibilidad_propia
3,hibrido,13,634.7595181739802,549.1682420604178,0.898841000666907,13,11,principal_fechas_comunes
3,promedio_4s,13,803.1054375644372,636.0921153846152,1.037871568464959,13,11,complementaria_disponibilidad_propia
3,rf,13,643.2245320007823,526.9452013929124,0.8625366073141815,13,11,principal_fechas_comunes
3,ss_ar1,13,636.1611705921326,556.5759222829197,0.9109424651178156,13,11,principal_fechas_comunes
3,ultimo_valor,13,1104.2941388367642,918.6361538461539,1.4974973727453538,13,11,principal_fechas_comunes
4,estacional_52s,11,711.4312591274272,502.32818181818186,0.816676986286319,11,12,complementaria_disponibilidad_propia
4,hibrido,12,634.2253762578275,541.9838934250521,0.8844696068269423,12,11,principal_fechas_comunes
4,promedio_4s,12,722.6266567261196,563.3090972222221,0.9181220750715909,12,11,complementaria_disponibilidad_propia
4,rf,12,640.174086677442,532.5615622149331,0.8692673107760741,12,11,principal_fechas_comunes
4,ss_ar1,12,634.4997010503799,546.7900393753968,0.8922246715174517,12,11,principal_fechas_comunes
4,ultimo_valor,12,1097.7253784455077,888.3083333333335,1.4469686403109028,12,11,principal_fechas_comunes
