horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,1446403.0046057713,2
1,ss_ar1,hgb,0.5,1206391.2857000283,2
1,ss_ar1,hgb,0.75,989081.7121823656,2
1,ss_ar1,rf,0.25,897584.871108167,2
1,ss_ar1,rf,0.5,862217.6183787527,2
1,ss_ar1,rf,0.75,827847.4226936245,2
1,ss_arima111,hgb,0.25,1443529.6044544987,2
1,ss_arima111,hgb,0.5,1202018.8365457044,2
1,ss_arima111,hgb,0.75,984584.5651732114,2
1,ss_arima111,rf,0.25,895825.957865919,2
1,ss_arima111,rf,0.5,859331.1517697948,2
1,ss_arima111,rf,0.75,824464.7625934947,2
2,ss_ar1,hgb,0.25,,0
2,ss_ar1,hgb,0.5,,0
2,ss_ar1,hgb,0.75,,0
2,ss_ar1,rf,0.25,,0
2,ss_ar1,rf,0.5,,0
2,ss_ar1,rf,0.75,,0
2,ss_arima111,hgb,0.25,,0
2,ss_arima111,hgb,0.5,,0
2,ss_arima111,hgb,0.75,,0
2,ss_arima111,rf,0.25,,0
2,ss_arima111,rf,0.5,,0
2,ss_arima111,rf,0.75,,0
3,ss_ar1,hgb,0.25,757154.683645042,2
3,ss_ar1,hgb,0.5,644735.2108976502,2
3,ss_ar1,hgb,0.75,546196.7309021489,2
3,ss_ar1,rf,0.25,397787.12902211695,2
3,ss_ar1,rf,0.5,418493.30494110147,2
3,ss_ar1,rf,0.75,439744.0098199084,2
3,ss_arima111,hgb,0.25,757584.5838346465,2
3,ss_arima111,hgb,0.5,646187.3574397479,2
3,ss_arima111,hgb,0.75,549263.4699596287,2
3,ss_arima111,rf,0.25,399036.7636373611,2
3,ss_arima111,rf,0.5,421038.4307173854,2
3,ss_arima111,rf,0.75,443630.4833030279,2
4,ss_ar1,hgb,0.25,450308.22238142637,2
4,ss_ar1,hgb,0.5,387857.0511849843,2
4,ss_ar1,hgb,0.75,331611.4722511692,2
4,ss_ar1,rf,0.25,358055.68285498314,2
4,ss_ar1,rf,0.5,331046.29246971896,2
4,ss_ar1,rf,0.75,305551.5600447182,2
4,ss_arima111,hgb,0.25,453012.3651184757,2
4,ss_arima111,hgb,0.5,392650.01734599774,2
4,ss_arima111,hgb,0.75,337877.94252306153,2
4,ss_arima111,rf,0.25,360278.7039290784,2
4,ss_arima111,rf,0.5,335197.7630801269,2
4,ss_arima111,rf,0.75,311336.90865365654,2
