insumo,importe,acumulado_pct
CHOCOLATE,6565.52,15.02203133029515
HARINA,5996.18,28.741402198419713
FONDANT,4575.0,39.209086911298556
EMPAQUE,4388.59,49.25026209252106
RELLENO,3551.25,57.37558784915735
CHANTILLY,3057.0,64.37006045402525
DECORACION,2396.0,69.85215281950234
AMBIANTE,1700.0,73.74178429751196
HUEVO,1675.7500000000002,77.57593132649704
QUESO CREMA,1470.9,80.94137776238196
MANTEQUILLA,1175.5,83.63094352849978
BASES,1158.01,86.28049185076445
CAPACILLOS,1114.51,88.83051136756241
TRANSFER,990.0,91.0956496988739
LICORES,639.0,92.55769353090221
COLORANTES,565.0,93.8504239927113
DULCERIA,541.5,95.08938601938318
GALLETAS,535.0,96.31347592569797
ROYALICING,415.0,97.26300361003563
ACEITE,399.4,98.17683820551623
CONSUMIBLES,333.27,98.93936613650227
AZUCAR,324.56,99.6819654262098
LECHERA,62.0,99.82382257423133
LECHE EN POLVO,24.0,99.87873501862677
HORNEADO,22.0,99.92907142598924
OTROS,16.0,99.96567972225286
SABORIZANTE,15.0,100.0
DOMO,0.0,100.0
JARABE,0.0,100.0
MANTECA VEGETAL,0.0,100.0
