origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-03-04,2024-03-04,1,ss_arima111,513.0,806.9033535156004,690.2142424242425
2024-03-04,2024-03-04,1,rf,513.0,716.034236574998,690.2142424242425
2024-03-04,2024-03-04,1,hibrido,513.0,784.1860742804498,690.2142424242425
2024-03-04,2024-03-04,1,ultimo_valor,513.0,330.0,690.2142424242425
2024-03-04,2024-03-04,1,promedio_4s,513.0,1254.91,690.2142424242425
2024-03-04,2024-03-04,1,estacional_52s,513.0,514.96,690.2142424242425
2024-03-04,2024-03-11,2,ss_ar1,244.0,803.0189343415977,690.2142424242425
2024-03-04,2024-03-11,2,hgb,244.0,675.4822157102258,690.2142424242425
2024-03-04,2024-03-11,2,hibrido,244.0,739.2505750259118,690.2142424242425
2024-03-04,2024-03-11,2,ultimo_valor,244.0,330.0,690.2142424242425
2024-03-04,2024-03-11,2,promedio_4s,244.0,1254.91,690.2142424242425
2024-03-04,2024-03-11,2,estacional_52s,244.0,1539.09,690.2142424242425
2024-03-04,2024-03-18,3,ss_ar1,,805.058148593,690.2142424242425
2024-03-04,2024-03-18,3,rf,,690.845294688906,690.2142424242425
2024-03-04,2024-03-18,3,hibrido,,719.3985081649296,690.2142424242425
2024-03-04,2024-03-18,3,ultimo_valor,,330.0,690.2142424242425
2024-03-04,2024-03-18,3,promedio_4s,,1254.91,690.2142424242425
2024-03-04,2024-03-18,3,estacional_52s,,329.47,690.2142424242425
2024-03-04,2024-03-25,4,ss_ar1,1362.0,804.9285799286932,690.2142424242425
2024-03-04,2024-03-25,4,rf,1362.0,995.068874142475,690.2142424242425
2024-03-04,2024-03-25,4,hibrido,1362.0,852.4636534821387,690.2142424242425
2024-03-04,2024-03-25,4,ultimo_valor,1362.0,330.0,690.2142424242425
2024-03-04,2024-03-25,4,promedio_4s,1362.0,1254.91,690.2142424242425
2024-03-04,2024-03-25,4,estacional_52s,1362.0,1238.0,690.2142424242425
2024-05-13,2024-05-13,1,ss_arima111,,791.4611824813401,646.0253124999999
2024-05-13,2024-05-13,1,rf,,310.4364888239538,646.0253124999999
2024-05-13,2024-05-13,1,hibrido,,671.2050090669935,646.0253124999999
2024-05-13,2024-05-13,1,ultimo_valor,,1472.0,646.0253124999999
2024-05-13,2024-05-13,1,promedio_4s,,800.5,646.0253124999999
2024-05-13,2024-05-13,1,estacional_52s,,55.0,646.0253124999999
2024-05-13,2024-05-20,2,ss_ar1,,802.1207850436581,646.0253124999999
2024-05-13,2024-05-20,2,hgb,,960.9456456804946,646.0253124999999
2024-05-13,2024-05-20,2,hibrido,,881.5332153620764,646.0253124999999
2024-05-13,2024-05-20,2,ultimo_valor,,1472.0,646.0253124999999
2024-05-13,2024-05-20,2,promedio_4s,,800.5,646.0253124999999
2024-05-13,2024-05-20,2,estacional_52s,,1213.48,646.0253124999999
2024-05-13,2024-05-27,3,ss_ar1,,802.1252989682482,646.0253124999999
2024-05-13,2024-05-27,3,rf,,594.2237159170568,646.0253124999999
2024-05-13,2024-05-27,3,hibrido,,646.1991116798547,646.0253124999999
2024-05-13,2024-05-27,3,ultimo_valor,,1472.0,646.0253124999999
2024-05-13,2024-05-27,3,promedio_4s,,800.5,646.0253124999999
2024-05-13,2024-05-27,3,estacional_52s,,20.0,646.0253124999999
2024-05-13,2024-06-03,4,ss_ar1,531.88,802.1252142359564,646.0253124999999
2024-05-13,2024-06-03,4,rf,531.88,355.85649548647444,646.0253124999999
2024-05-13,2024-06-03,4,hibrido,531.88,690.558034548586,646.0253124999999
2024-05-13,2024-06-03,4,ultimo_valor,531.88,1472.0,646.0253124999999
2024-05-13,2024-06-03,4,promedio_4s,531.88,800.5,646.0253124999999
2024-05-13,2024-06-03,4,estacional_52s,531.88,213.0,646.0253124999999
