semana_inicio,estado,evidencia,fecha_revision,registros_detectados
2022-10-17,desconocida,,,12
2022-10-24,desconocida,,,7
2022-10-31,desconocida,,,4
2022-11-07,desconocida,,,15
2022-11-14,desconocida,,,4
2022-11-21,desconocida,,,4
2022-11-28,desconocida,,,20
2022-12-05,desconocida,,,6
2022-12-12,desconocida,,,8
2022-12-19,desconocida,,,23
2022-12-26,desconocida,,,23
2023-01-02,desconocida,,,21
2023-01-09,desconocida,,,7
2023-01-16,desconocida,,,25
2023-01-23,desconocida,,,12
2023-01-30,desconocida,,,15
2023-02-06,desconocida,,,17
2023-02-13,desconocida,,,15
2023-02-20,desconocida,,,4
2023-02-27,desconocida,,,21
2023-03-06,desconocida,,,11
2023-03-13,desconocida,,,28
2023-03-20,desconocida,,,9
2023-03-27,desconocida,,,28
2023-04-03,desconocida,,,2
2023-04-10,desconocida,,,0
2023-04-17,desconocida,,,13
2023-04-24,desconocida,,,5
2023-05-01,desconocida,,,19
2023-05-08,desconocida,,,0
2023-05-15,desconocida,,,2
2023-05-22,desconocida,,,22
2023-05-29,desconocida,,,3
2023-06-05,desconocida,,,4
2023-06-12,desconocida,,,1
2023-06-19,desconocida,,,0
2023-06-26,desconocida,,,8
2023-07-03,desconocida,,,0
2023-07-10,desconocida,,,24
2023-07-17,desconocida,,,14
2023-07-24,desconocida,,,14
2023-07-31,desconocida,,,28
2023-08-07,desconocida,,,17
2023-08-14,desconocida,,,8
2023-08-21,desconocida,,,8
2023-08-28,desconocida,,,12
2023-09-04,desconocida,,,31
2023-09-11,desconocida,,,9
2023-09-18,desconocida,,,9
2023-09-25,desconocida,,,13
2023-10-02,desconocida,,,4
2023-10-09,desconocida,,,16
2023-10-16,desconocida,,,23
2023-10-23,desconocida,,,0
2023-10-30,desconocida,,,27
2023-11-06,desconocida,,,5
2023-11-13,desconocida,,,15
2023-11-20,desconocida,,,8
2023-11-27,desconocida,,,19
2023-12-04,desconocida,,,38
2023-12-11,desconocida,,,17
2023-12-18,desconocida,,,8
2023-12-25,desconocida,,,16
2024-01-01,desconocida,,,1
2024-01-08,desconocida,,,15
2024-01-15,desconocida,,,1
2024-01-22,desconocida,,,8
2024-01-29,desconocida,,,0
2024-02-05,desconocida,,,16
2024-02-12,desconocida,,,42
2024-02-19,desconocida,,,0
2024-02-26,desconocida,,,5
2024-03-04,desconocida,,,6
2024-03-11,desconocida,,,6
2024-03-18,desconocida,,,0
2024-03-25,desconocida,,,11
2024-04-01,desconocida,,,2
2024-04-08,desconocida,,,10
2024-04-15,desconocida,,,0
2024-04-22,desconocida,,,2
2024-04-29,desconocida,,,20
2024-05-06,desconocida,,,0
2024-05-13,desconocida,,,0
2024-05-20,desconocida,,,0
2024-05-27,desconocida,,,0
2024-06-03,desconocida,,,10
2024-06-10,desconocida,,,0
2024-06-17,desconocida,,,0
2024-06-24,desconocida,,,0
