origen,fecha_objetivo,horizonte,modelo,fold,error_abs,mae_acumulado
2024-03-04,2024-03-04,1,estacional_52s,1,1.9600000000000364,1.9600000000000364
2024-03-04,2024-03-04,1,hibrido,1,271.1860742804498,271.1860742804498
2024-03-04,2024-03-04,1,promedio_4s,1,741.9100000000001,741.9100000000001
2024-03-04,2024-03-04,1,rf,1,203.03423657499798,203.03423657499798
2024-03-04,2024-03-04,1,ss_arima111,1,293.90335351560043,293.90335351560043
2024-03-04,2024-03-04,1,ultimo_valor,1,183.0,183.0
2024-03-04,2024-03-11,2,estacional_52s,1,1295.09,1295.09
2024-03-04,2024-03-11,2,hgb,1,431.4822157102258,431.4822157102258
2024-03-04,2024-03-11,2,hibrido,1,495.25057502591176,495.25057502591176
2024-03-04,2024-03-11,2,promedio_4s,1,1010.9100000000001,1010.9100000000001
2024-03-04,2024-03-11,2,ss_ar1,1,559.0189343415977,559.0189343415977
2024-03-04,2024-03-11,2,ultimo_valor,1,86.0,86.0
2024-03-04,2024-03-25,4,estacional_52s,1,124.0,124.0
2024-03-04,2024-03-25,4,hibrido,1,509.53634651786126,509.53634651786126
2024-03-04,2024-03-25,4,promedio_4s,1,107.08999999999992,107.08999999999992
2024-03-04,2024-03-25,4,rf,1,366.931125857525,366.931125857525
2024-03-04,2024-03-25,4,ss_ar1,1,557.0714200713068,557.0714200713068
2024-03-04,2024-03-25,4,ultimo_valor,1,1032.0,1032.0
2024-05-13,2024-06-03,4,estacional_52s,2,318.88,221.44
2024-05-13,2024-06-03,4,hibrido,2,158.67803454858597,334.1071905332236
2024-05-13,2024-06-03,4,promedio_4s,2,268.62,187.85499999999996
2024-05-13,2024-06-03,4,rf,2,176.02350451352555,271.4773151855253
2024-05-13,2024-06-03,4,ss_ar1,2,270.2452142359564,413.6583171536316
2024-05-13,2024-06-03,4,ultimo_valor,2,940.12,986.06
