origen,fecha_objetivo,horizonte,modelo,fold,error_abs,mae_acumulado
2024-03-11,2024-03-11,1,estacional_52s,1,1295.09,1295.09
2024-03-11,2024-03-11,1,hibrido,1,538.4317150659627,538.4317150659627
2024-03-11,2024-03-11,1,promedio_4s,1,774.8966666666666,774.8966666666666
2024-03-11,2024-03-11,1,rf,1,492.1601550933375,492.1601550933375
2024-03-11,2024-03-11,1,ss_arima111,1,553.8555683901712,553.8555683901712
2024-03-11,2024-03-11,1,ultimo_valor,1,269.0,269.0
2024-04-01,2024-04-01,1,estacional_52s,2,7.639999999999986,651.365
2024-04-01,2024-04-01,1,hibrido,2,597.7279537494308,568.0798344076968
2024-04-01,2024-04-01,1,promedio_4s,2,530.3333333333334,652.615
2024-04-01,2024-04-01,1,rf,2,371.1455340592006,431.65284457626905
2024-04-01,2024-04-01,1,ss_arima111,2,673.2554269795074,613.5554976848393
2024-04-01,2024-04-01,1,ultimo_valor,2,1186.0,727.5
2024-04-22,2024-04-22,1,estacional_52s,3,110.07999999999998,470.93666666666667
2024-04-22,2024-04-22,1,hibrido,3,569.8758112920523,568.6784933691487
2024-04-22,2024-04-22,1,promedio_4s,3,527.9333333333333,611.0544444444445
2024-04-22,2024-04-22,1,rf,3,324.7397585070485,396.0151492198622
2024-04-22,2024-04-22,1,ss_arima111,3,651.5878288870535,626.2329414189107
2024-04-22,2024-04-22,1,ultimo_valor,3,303.8,586.2666666666667
2024-06-03,2024-06-03,1,estacional_52s,4,318.88,432.92249999999996
2024-06-03,2024-06-03,1,hibrido,4,219.51949667511724,481.38874419564075
2024-06-03,2024-06-03,1,rf,4,19.93032832001336,301.9939439949
2024-06-03,2024-06-03,1,ss_arima111,4,286.0492194601518,541.1870109292211
2024-06-03,2024-06-03,1,ultimo_valor,4,940.12,674.73
2024-02-19,2024-02-26,2,estacional_52s,1,841.0,841.0
2024-02-19,2024-02-26,2,hgb,1,184.84568528703664,184.84568528703664
2024-02-19,2024-02-26,2,hibrido,1,256.8950626935534,256.8950626935534
2024-02-19,2024-02-26,2,promedio_4s,1,928.9100000000001,928.9100000000001
