horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,736303.426362633,5
1,ss_ar1,hgb,0.5,603998.0339995603,5
1,ss_ar1,hgb,0.75,490413.13694450614,5
1,ss_ar1,rf,0.25,470903.1216454132,5
1,ss_ar1,rf,0.5,443460.9770346495,5
1,ss_ar1,rf,0.75,418342.8482186685,5
1,ss_arima111,hgb,0.25,734345.5161849316,5
1,ss_arima111,hgb,0.5,601217.6557677619,5
1,ss_arima111,hgb,0.75,487945.7327822152,5
1,ss_arima111,rf,0.25,470121.8207271681,5
1,ss_arima111,rf,0.5,442249.4111487928,5
1,ss_arima111,rf,0.75,417052.05331583356,5
2,ss_ar1,hgb,0.25,362877.66519271507,4
2,ss_ar1,hgb,0.5,426142.4663731113,4
2,ss_ar1,hgb,0.75,503112.0362916527,4
2,ss_ar1,rf,0.25,507752.1019739296,4
2,ss_ar1,rf,0.5,534104.0868454529,4
2,ss_ar1,rf,0.75,562782.1778369225,4
2,ss_arima111,hgb,0.25,362424.5433100578,4
2,ss_arima111,hgb,0.5,424513.2112643005,4
2,ss_arima111,hgb,0.75,499583.6366131921,4
2,ss_arima111,rf,0.25,506606.7269511423,4
2,ss_arima111,rf,0.5,531551.8275498019,4
2,ss_arima111,rf,0.75,558561.525018332,4
3,ss_ar1,hgb,0.25,543199.9587529388,4
3,ss_ar1,hgb,0.5,441107.0463940456,4
3,ss_ar1,hgb,0.75,358973.45492431684,4
3,ss_ar1,rf,0.25,344608.1684678946,4
3,ss_ar1,rf,0.5,322088.4362387894,4
3,ss_ar1,rf,0.75,306152.1081974087,4
3,ss_arima111,hgb,0.25,544818.2802338018,4
3,ss_arima111,hgb,0.5,443764.5392966102,4
3,ss_arima111,hgb,0.75,362090.9691894218,4
3,ss_arima111,rf,0.25,345691.4998717849,4
3,ss_arima111,rf,0.5,324032.60903872363,4
3,ss_arima111,rf,0.75,308734.63238554087,4
4,ss_ar1,hgb,0.25,234921.26344666618,4
4,ss_ar1,hgb,0.5,173061.0955299609,4
4,ss_ar1,hgb,0.75,123047.3138749809,4
4,ss_ar1,rf,0.25,189166.5203929548,4
4,ss_ar1,rf,0.5,146080.45258428328,4
4,ss_ar1,rf,0.75,111318.25194720713,4
4,ss_arima111,hgb,0.25,236114.96990121808,4
4,ss_arima111,hgb,0.5,174891.4740484102,4
4,ss_arima111,hgb,0.75,124957.33006667327,4
4,ss_arima111,rf,0.25,190412.21620285203,4
4,ss_arima111,rf,0.5,147980.1502431931,4
4,ss_arima111,rf,0.75,113280.25749424484,4
