insumo,importe,acumulado_pct
CHOCOLATE,6749.52,14.909812414593837
HARINA,6168.18,28.535434197987236
FONDANT,4824.0,39.191737918548206
EMPAQUE,4721.51,49.62163936541093
RELLENO,3647.69,57.67945290572043
CHANTILLY,3057.0,64.43242149480726
DECORACION,2524.0,70.00798339171769
AMBIANTE,1766.0,73.90910950500762
HUEVO,1675.7500000000002,77.61087172717389
QUESO CREMA,1470.9,80.86011657430761
MANTEQUILLA,1349.5,83.84118661387997
BASES,1213.01,86.52074776149142
CAPACILLOS,1153.66,89.06920367987087
TRANSFER,990.0,91.25613168222479
LICORES,639.0,92.66769430192596
GALLETAS,601.53,93.99648501026532
COLORANTES,565.0,95.244580284336
DULCERIA,541.5,96.44076363107807
ROYALICING,415.0,97.35750617751935
ACEITE,399.4,98.2397880402872
CONSUMIBLES,333.27,98.97598753053416
AZUCAR,324.56,99.69294647239677
LECHERA,62.0,99.82990559981691
LECHE EN POLVO,24.0,99.88292203623762
HORNEADO,22.0,99.93152043628993
OTROS,16.0,99.96686472723707
SABORIZANTE,15.0,100.0
DOMO,0.0,100.0
JARABE,0.0,100.0
MANTECA VEGETAL,0.0,100.0
