etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2023-10-16,2023-10-16,1,2023-01-16,2023-10-09,34,True,
validacion_interna,2023-10-16,2023-10-23,2,2023-01-16,2023-10-09,34,False,semana_incierta
validacion_interna,2023-10-16,2023-10-30,3,2023-01-16,2023-10-09,34,True,
validacion_interna,2023-10-16,2023-11-06,4,2023-01-16,2023-10-09,34,True,
validacion_interna,2023-11-06,2023-11-06,1,2023-02-06,2023-10-30,33,True,
validacion_interna,2023-11-06,2023-11-13,2,2023-02-06,2023-10-30,33,True,
validacion_interna,2023-11-06,2023-11-20,3,2023-02-06,2023-10-30,33,True,
validacion_interna,2023-11-06,2023-11-27,4,2023-02-06,2023-10-30,33,True,
validacion_interna,2023-11-27,2023-11-27,1,2023-02-27,2023-11-20,33,True,
validacion_interna,2023-11-27,2023-12-04,2,2023-02-27,2023-11-20,33,True,
validacion_interna,2023-11-27,2023-12-11,3,2023-02-27,2023-11-20,33,True,
validacion_interna,2023-11-27,2023-12-18,4,2023-02-27,2023-11-20,33,True,
validacion_interna,2023-12-18,2023-12-18,1,2023-03-20,2023-12-11,33,True,
validacion_interna,2023-12-18,2023-12-25,2,2023-03-20,2023-12-11,33,True,
validacion_interna,2023-12-18,2024-01-01,3,2023-03-20,2023-12-11,33,False,semana_incierta
validacion_interna,2023-12-18,2024-01-08,4,2023-03-20,2023-12-11,33,True,
validacion_interna,2024-01-08,2024-01-08,1,2023-04-10,2023-12-25,32,True,
validacion_interna,2024-01-08,2024-01-15,2,2023-04-10,2023-12-25,32,True,
validacion_interna,2024-01-08,2024-01-22,3,2023-04-10,2023-12-25,32,True,
validacion_interna,2024-01-08,2024-01-29,4,2023-04-10,2023-12-25,32,False,semana_incierta
evaluacion,2024-02-19,2024-02-19,1,2023-05-22,2024-02-12,33,False,semana_incierta
evaluacion,2024-02-19,2024-02-26,2,2023-05-22,2024-02-12,33,True,
evaluacion,2024-02-19,2024-03-04,3,2023-05-22,2024-02-12,33,True,
evaluacion,2024-02-19,2024-03-11,4,2023-05-22,2024-02-12,33,True,
evaluacion,2024-03-11,2024-03-11,1,2023-06-12,2024-03-04,32,True,
evaluacion,2024-03-11,2024-03-18,2,2023-06-12,2024-03-04,32,False,semana_incierta
evaluacion,2024-03-11,2024-03-25,3,2023-06-12,2024-03-04,32,True,
evaluacion,2024-03-11,2024-04-01,4,2023-06-12,2024-03-04,32,True,
evaluacion,2024-04-01,2024-04-01,1,2023-07-03,2024-03-25,32,True,
evaluacion,2024-04-01,2024-04-08,2,2023-07-03,2024-03-25,32,True,
evaluacion,2024-04-01,2024-04-15,3,2023-07-03,2024-03-25,32,False,semana_incierta
evaluacion,2024-04-01,2024-04-22,4,2023-07-03,2024-03-25,32,True,
evaluacion,2024-04-22,2024-04-22,1,2023-07-24,2024-04-08,32,True,
evaluacion,2024-04-22,2024-04-29,2,2023-07-24,2024-04-08,32,True,
evaluacion,2024-04-22,2024-05-06,3,2023-07-24,2024-04-08,32,False,semana_incierta
evaluacion,2024-04-22,2024-05-13,4,2023-07-24,2024-04-08,32,False,semana_incierta
evaluacion,2024-05-13,2024-05-13,1,2023-08-14,2024-04-29,31,False,semana_incierta
evaluacion,2024-05-13,2024-05-20,2,2023-08-14,2024-04-29,31,False,semana_incierta
evaluacion,2024-05-13,2024-05-27,3,2023-08-14,2024-04-29,31,False,semana_incierta
evaluacion,2024-05-13,2024-06-03,4,2023-08-14,2024-04-29,31,True,
evaluacion,2024-06-03,2024-06-03,1,2023-09-04,2024-04-29,29,True,
evaluacion,2024-06-03,2024-06-10,2,2023-09-04,2024-04-29,29,False,semana_incierta
evaluacion,2024-06-03,2024-06-17,3,2023-09-04,2024-04-29,29,False,semana_incierta
evaluacion,2024-06-03,2024-06-24,4,2023-09-04,2024-04-29,29,False,semana_incierta
