origen,fecha_objetivo,horizonte,modelo,fold,error_abs,mae_acumulado
2024-03-11,2024-03-11,1,hibrido,1,587.115637440496,587.115637440496
2024-03-11,2024-03-11,1,promedio_4s,1,774.8966666666666,774.8966666666666
2024-03-11,2024-03-11,1,rf,1,377.6498370104896,377.6498370104896
2024-03-11,2024-03-11,1,ss_ar1,1,656.9375709171647,656.9375709171647
2024-03-11,2024-03-11,1,ultimo_valor,1,269.0,269.0
2024-04-01,2024-04-01,1,hibrido,2,659.8843754318274,623.5000064361617
2024-04-01,2024-04-01,1,promedio_4s,2,530.3333333333334,652.615
2024-04-01,2024-04-01,1,rf,2,353.2851263167387,365.46748166361414
2024-04-01,2024-04-01,1,ss_ar1,2,762.084125136857,709.5108480270109
2024-04-01,2024-04-01,1,ultimo_valor,2,1186.0,727.5
2024-04-22,2024-04-22,1,hibrido,3,640.6364100735525,629.2121409819587
2024-04-22,2024-04-22,1,promedio_4s,3,527.9333333333333,611.0544444444445
2024-04-22,2024-04-22,1,rf,3,336.5155321352178,355.81683182081537
2024-04-22,2024-04-22,1,ss_ar1,3,742.0100360529974,720.3439107023397
2024-04-22,2024-04-22,1,ultimo_valor,3,303.8,586.2666666666667
2024-06-03,2024-06-03,1,hibrido,4,219.7809574614488,526.8543451018312
2024-06-03,2024-06-03,1,rf,4,60.43969401515153,281.9725473693994
2024-06-03,2024-06-03,1,ss_ar1,4,313.1878412869821,618.5548933485003
2024-06-03,2024-06-03,1,ultimo_valor,4,940.12,674.73
2024-02-19,2024-02-26,2,hgb,1,104.33000567586328,104.33000567586328
2024-02-19,2024-02-26,2,hibrido,1,219.92720628991742,219.92720628991742
2024-02-19,2024-02-26,2,promedio_4s,1,928.9100000000001,928.9100000000001
2024-02-19,2024-02-26,2,ss_ar1,1,566.7188081320797,566.7188081320797
2024-02-19,2024-02-26,2,ultimo_valor,1,1883.69,1883.69
2024-04-01,2024-04-08,2,hgb,2,186.68174444189629,145.50587505887978
2024-04-01,2024-04-08,2,hibrido,2,16.812378682806127,118.36979248636177
2024-04-01,2024-04-08,2,promedio_4s,2,273.53333333333336,601.2216666666667
2024-04-01,2024-04-08,2,ss_ar1,2,492.7957185944644,529.757263363272
2024-04-01,2024-04-08,2,ultimo_valor,2,929.2,1406.4450000000002
2024-04-22,2024-04-29,2,hgb,3,120.65019386351378,137.22064799375778
2024-04-22,2024-04-29,2,hibrido,3,59.75688363149993,98.83215620140783
2024-04-22,2024-04-29,2,promedio_4s,3,815.0666666666667,672.5033333333334
2024-04-22,2024-04-29,2,ss_ar1,3,600.9781161165415,553.4975476143619
2024-04-22,2024-04-29,2,ultimo_valor,3,1039.2,1284.03
2024-02-19,2024-03-04,3,hibrido,1,306.12666211909925,306.12666211909925
2024-02-19,2024-03-04,3,promedio_4s,1,745.9100000000001,745.9100000000001
2024-02-19,2024-03-04,3,rf,1,121.0168301665002,121.0168301665002
2024-02-19,2024-03-04,3,ss_ar1,1,367.82993943663223,367.82993943663223
2024-02-19,2024-03-04,3,ultimo_valor,1,1700.69,1700.69
2024-03-11,2024-03-25,3,hibrido,2,425.62719963142865,365.87693087526395
2024-03-11,2024-03-25,3,promedio_4s,2,343.10333333333335,544.5066666666667
2024-03-11,2024-03-25,3,rf,2,293.7046393362193,207.36073475135976
2024-03-11,2024-03-25,3,ss_ar1,2,469.60138639649847,418.71566291656535
2024-03-11,2024-03-25,3,ultimo_valor,2,849.0,1274.845
2024-02-19,2024-03-11,4,hibrido,1,646.4054589374712,646.4054589374712
2024-02-19,2024-03-11,4,promedio_4s,1,1014.9100000000001,1014.9100000000001
2024-02-19,2024-03-11,4,rf,1,697.8074213095241,697.8074213095241
2024-02-19,2024-03-11,4,ss_arima111,1,629.2714714801202,629.2714714801202
2024-02-19,2024-03-11,4,ultimo_valor,1,1969.69,1969.69
2024-03-11,2024-04-01,4,hibrido,2,617.8441154408857,632.1247871891785
2024-03-11,2024-04-01,4,promedio_4s,2,842.8966666666666,928.9033333333334
2024-03-11,2024-04-01,4,rf,2,393.1433638339437,545.4753925717339
2024-03-11,2024-04-01,4,ss_arima111,2,692.7443659765331,661.0079187283267
2024-03-11,2024-04-01,4,ultimo_valor,2,337.0,1153.345
2024-04-01,2024-04-22,4,hibrido,3,716.2904457555633,660.1800067113068
2024-04-01,2024-04-22,4,promedio_4s,3,577.3333333333334,811.7133333333335
2024-04-01,2024-04-22,4,rf,3,532.1655333874456,541.0387728436377
2024-04-01,2024-04-22,4,ss_arima111,3,777.6654165449359,699.893751333863
2024-04-01,2024-04-22,4,ultimo_valor,3,1233.0,1179.8966666666668
2024-05-13,2024-06-03,4,hibrido,4,168.61489820473037,537.2887295846626
2024-05-13,2024-06-03,4,promedio_4s,4,268.62,675.94
2024-05-13,2024-06-03,4,rf,4,206.40776976190472,457.3810220732045
2024-05-13,2024-06-03,4,ss_arima111,4,293.62245419360875,598.3259270487995
2024-05-13,2024-06-03,4,ultimo_valor,4,940.12,1119.9525
