id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,run_20260922T211846Z_1877c1,Metodología,,False
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,b5baf92d3ecd91323ec34d26e9c38d540e3551e86abd4ebc28ec61fea3f3a268,run_20260922T211846Z_1877c1,Desarrollo,,False
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,a284bd8d924f22b77b196c7913e4872b4fe67a3b2782fe08c3209eaf5429db07,run_20260922T211846Z_1877c1,Desarrollo,,False
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,a1274d3f45cf89724c4a9f2b825e3084c7e049831b2590fb42538a2d6c01ef1f,run_20260922T211846Z_1877c1,Desarrollo,,False
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,e16fdec628a20a5e76c44f0e2ee5ab30ceec099653273ce2c9b496c65405ad15,run_20260922T211846Z_1877c1,Desarrollo,,False
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,a2068a65a3d1206066c136084b04375f999fb10b69c3fafe9094e2dbaa5de1d6,run_20260922T211846Z_1877c1,Desarrollo,,False
F06,Dependencia temporal en desarrollo,omitida,,,,,run_20260922T211846Z_1877c1,Desarrollo,ACF/PACF requiere desarrollo continuo observado; no se comprimen ni imputan huecos.,False
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,2c08b0641066295ca199bc7168bc376ec7108c3c930c3da636b83dc343f3baa0,run_20260922T211846Z_1877c1,Desarrollo,,False
F08,Descomposición temporal exploratoria,omitida,,,,,run_20260922T211846Z_1877c1,Desarrollo,STL requiere al menos 156 semanas de desarrollo sin huecos en esta configuración.,False
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,4621b53175dbeb8836ff2775d32a734a7a33d65d2b4cda988de99e18e5006c74,run_20260922T211846Z_1877c1,Desarrollo,,False
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,run_20260922T211846Z_1877c1,Metodología,,False
F11,Selección de características,omitida,,,,,run_20260922T211846Z_1877c1,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",False
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,run_20260922T211846Z_1877c1,Metodología,,False
F13,Pesos y validación interna,generada,figuras/F13.png,figuras/F13.svg,figuras/F13_datos.csv,49a89d633a6e8a40862d959083b33a85279b233a9d5ac207aa44362d626d0369,run_20260922T211846Z_1877c1,Desarrollo,,False
F14,Pronósticos fuera de muestra,generada,figuras/F14.png,figuras/F14.svg,figuras/F14_datos.csv,4c1880bc0f9a2fd5b133e65a8a801dd7220dc4b7025b9200cdd671533b283019,run_20260922T211846Z_1877c1,Resultados,,False
F15,Composición observada y pronosticada,generada,figuras/F15.png,figuras/F15.svg,figuras/F15_datos.csv,8d662f1f29d6979764abe8678e846c33bd0e4b8aad50243df49563f89357e9fc,run_20260922T211846Z_1877c1,Resultados,,False
F16,Asignación y reconciliación,generada,figuras/F16.png,figuras/F16.svg,figuras/F16_datos.csv,c79bdc8d4d0475505ff37b01237d068e02d30d4e01bc24419f0f12feeb504175,run_20260922T211846Z_1877c1,Resultados,,False
F17,Errores monetarios,generada,figuras/F17.png,figuras/F17.svg,figuras/F17_datos.csv,2048a7c4e451e00075616ae1e98f4ad83f1e0d2f069a7c911e9e8fff63ec91da,run_20260922T211846Z_1877c1,Resultados,,False
F18,Errores de participación,generada,figuras/F18.png,figuras/F18.svg,figuras/F18_datos.csv,020f38ba6fcac0f6e452f25997d4415ee7d2830363fa7d51a15613c2fbbde48e,run_20260922T211846Z_1877c1,Resultados,,False
F19,Diferencias de pérdidas para H1,generada,figuras/F19.png,figuras/F19.svg,figuras/F19_datos.csv,215f2d2e5d768294479077653a2d136f2d9c387deb63423a8225a8cc5becafe8,run_20260922T211846Z_1877c1,Resultados,,False
