horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,0,,,,0,6,complementaria_disponibilidad_propia
1,hibrido,4,556.5228746064291,526.8543451018312,0.8452338879156326,4,2,principal_fechas_comunes
1,promedio_4s,3,621.941018880944,611.0544444444445,0.9873593272713306,3,3,complementaria_disponibilidad_propia
1,rf,4,309.9699339660128,281.9725473693994,0.4540670309116272,4,2,principal_fechas_comunes
1,ss_ar1,4,644.3998571154257,618.5548933485004,0.9906312997458717,4,2,principal_fechas_comunes
1,ultimo_valor,4,783.4342752267097,674.73,1.067433477234886,4,2,principal_fechas_comunes
2,estacional_52s,0,,,,0,6,complementaria_disponibilidad_propia
2,hgb,3,141.76423276165087,137.22064799375778,0.22220500987470823,3,3,principal_fechas_comunes
2,hibrido,3,131.93624380082298,98.83215620140783,0.1581652574426063,3,3,principal_fechas_comunes
2,promedio_4s,3,730.7594094856746,672.5033333333334,1.0789291441398492,3,3,complementaria_disponibilidad_propia
2,ss_ar1,3,555.3354913343425,553.4975476143619,0.892216247200628,3,3,principal_fechas_comunes
2,ultimo_valor,3,1352.9766314931928,1284.03,2.0662645187745334,3,3,principal_fechas_comunes
3,estacional_52s,0,,,,0,6,complementaria_disponibilidad_propia
3,hibrido,2,370.7236479685867,365.87693087526395,0.5866221389656193,2,4,principal_fechas_comunes
3,promedio_4s,2,580.5607743571918,544.5066666666667,0.8715425004708648,2,4,complementaria_disponibilidad_propia
3,rf,2,224.61910910602222,207.36073475135976,0.33273603423818066,2,4,principal_fechas_comunes
3,ss_ar1,2,421.7963527885643,418.71566291656535,0.6712508405414321,2,4,principal_fechas_comunes
3,ultimo_valor,2,1344.0884413051099,1274.845,2.040762246313261,2,4,principal_fechas_comunes
4,estacional_52s,0,,,,0,6,complementaria_disponibilidad_propia
4,hibrido,4,579.023823971516,537.2887295846626,0.866550115555819,4,2,principal_fechas_comunes
4,promedio_4s,4,732.4594836841754,675.94,1.0858831525919954,4,2,complementaria_disponibilidad_propia
4,rf,4,491.7573649944006,457.3810220732045,0.7357391439614029,4,2,principal_fechas_comunes
4,ss_arima111,4,625.8703913566432,598.3259270487995,0.9636339627182356,4,2,principal_fechas_comunes
4,ultimo_valor,4,1264.6503776241875,1119.9525,1.7944648200965734,4,2,principal_fechas_comunes
