origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2024-02-19,2024-02-19,1,ss_ar1,,1033.6477542943094,626.0203846153846
2024-02-19,2024-02-19,1,rf,,534.1408769597069,626.0203846153846
2024-02-19,2024-02-19,1,hibrido,,908.7710349606588,626.0203846153846
2024-02-19,2024-02-19,1,ultimo_valor,,2213.69,626.0203846153846
2024-02-19,2024-02-19,1,promedio_4s,,1258.91,626.0203846153846
2024-02-19,2024-02-19,1,estacional_52s,,,626.0203846153846
2024-02-19,2024-02-26,2,ss_ar1,330.0,896.7188081320797,626.0203846153846
2024-02-19,2024-02-26,2,hgb,330.0,434.3300056758633,626.0203846153846
2024-02-19,2024-02-26,2,hibrido,330.0,549.9272062899174,626.0203846153846
2024-02-19,2024-02-26,2,ultimo_valor,330.0,2213.69,626.0203846153846
2024-02-19,2024-02-26,2,promedio_4s,330.0,1258.91,626.0203846153846
2024-02-19,2024-02-26,2,estacional_52s,330.0,,626.0203846153846
2024-02-19,2024-03-04,3,ss_ar1,513.0,880.8299394366322,626.0203846153846
2024-02-19,2024-03-04,3,rf,513.0,634.0168301665002,626.0203846153846
2024-02-19,2024-03-04,3,hibrido,513.0,819.1266621190993,626.0203846153846
2024-02-19,2024-03-04,3,ultimo_valor,513.0,2213.69,626.0203846153846
2024-02-19,2024-03-04,3,promedio_4s,513.0,1258.91,626.0203846153846
2024-02-19,2024-03-04,3,estacional_52s,513.0,,626.0203846153846
2024-02-19,2024-03-11,4,ss_arima111,244.0,873.2714714801202,626.0203846153846
2024-02-19,2024-03-11,4,rf,244.0,941.8074213095241,626.0203846153846
2024-02-19,2024-03-11,4,hibrido,244.0,890.4054589374712,626.0203846153846
2024-02-19,2024-03-11,4,ultimo_valor,244.0,2213.69,626.0203846153846
2024-02-19,2024-03-11,4,promedio_4s,244.0,1258.91,626.0203846153846
2024-02-19,2024-03-11,4,estacional_52s,244.0,,626.0203846153846
2024-03-11,2024-03-11,1,ss_ar1,244.0,900.9375709171647,622.04375
2024-03-11,2024-03-11,1,rf,244.0,621.6498370104896,622.04375
2024-03-11,2024-03-11,1,hibrido,244.0,831.115637440496,622.04375
2024-03-11,2024-03-11,1,ultimo_valor,244.0,513.0,622.04375
2024-03-11,2024-03-11,1,promedio_4s,244.0,1018.8966666666666,622.04375
2024-03-11,2024-03-11,1,estacional_52s,244.0,,622.04375
2024-03-11,2024-03-18,2,ss_ar1,,892.2019017576116,622.04375
2024-03-11,2024-03-18,2,hgb,,1498.9509179126746,622.04375
2024-03-11,2024-03-18,2,hibrido,,1347.2636638739089,622.04375
2024-03-11,2024-03-18,2,ultimo_valor,,513.0,622.04375
2024-03-11,2024-03-18,2,promedio_4s,,1018.8966666666666,622.04375
2024-03-11,2024-03-18,2,estacional_52s,,,622.04375
