semana_inicio,HARINA,COMBUSTIBLE,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,HERRAMIENTA,AMBIANTE,HUEVO,MUEBLES,CAPACILLOS,otros
2016-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-12-12,,,,,,,,,,,,,,
2016-12-19,,,,,,,,,,,,,,
2016-12-26,,,,,,,,,,,,,,
2017-01-02,,,,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,
2017-01-16,,,,,,,,,,,,,,
2017-01-23,,,,,,,,,,,,,,
2017-01-30,,,,,,,,,,,,,,
2017-02-06,,,,,,,,,,,,,,
2017-02-13,,,,,,,,,,,,,,
2017-02-20,,,,,,,,,,,,,,
2017-02-27,,,,,,,,,,,,,,
2017-03-06,,,,,,,,,,,,,,
2017-03-13,,,,,,,,,,,,,,
2017-03-20,,,,,,,,,,,,,,
2017-03-27,,,,,,,,,,,,,,
2017-04-03,,,,,,,,,,,,,,
2017-04-10,,,,,,,,,,,,,,
2017-04-17,,,,,,,,,,,,,,
2017-04-24,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,
2017-05-08,,,,,,,,,,,,,,
2017-05-15,,,,,,,,,,,,,,
2017-05-22,,,,,,,,,,,,,,
2017-05-29,,,,,,,,,,,,,,
2017-06-05,,,,,,,,,,,,,,
2017-06-12,,,,,,,,,,,,,,
2017-06-19,,,,,,,,,,,,,,
2017-06-26,,,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,
2017-07-17,,,,,,,,,,,,,,
2017-07-24,,,,,,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,
2017-08-07,,,,,,,,,,,,,,
2017-08-14,,,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,,,
2017-08-28,,,,,,,,,,,,,,
2017-09-04,,,,,,,,,,,,,,
2017-09-11,,,,,,,,,,,,,,
2017-09-18,,,,,,,,,,,,,,
2017-09-25,,,,,,,,,,,,,,
2017-10-02,,,,,,,,,,,,,,
2017-10-09,,,,,,,,,,,,,,
