origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2025-07-07,2025-07-07,1,HARINA,0.2209410696557437,222.25,1005.9099999999999
2025-07-07,2025-07-07,1,COMBUSTIBLE,0.0,0.0,1005.9099999999999
2025-07-07,2025-07-07,1,CHOCOLATE,0.0750741510213755,75.52,1005.9099999999999
2025-07-07,2025-07-07,1,FONDANT,0.05470871158505776,55.03,1005.9099999999999
2025-07-07,2025-07-07,1,EMPAQUE,0.19824886596056288,199.42,1005.9099999999999
2025-07-07,2025-07-07,1,CHANTILLY,0.03595665152870282,36.17,1005.9099999999999
2025-07-07,2025-07-07,1,RELLENO,0.006916085471512501,6.96,1005.9099999999999
2025-07-07,2025-07-07,1,DECORACION,0.025850094290078514,26.0,1005.9099999999999
2025-07-07,2025-07-07,1,HERRAMIENTA,0.009640848324461613,9.7,1005.9099999999999
2025-07-07,2025-07-07,1,AMBIANTE,0.03432469221367978,34.53,1005.9099999999999
2025-07-07,2025-07-07,1,HUEVO,0.07259608008866775,73.02,1005.9099999999999
2025-07-07,2025-07-07,1,MUEBLES,0.0,0.0,1005.9099999999999
2025-07-07,2025-07-07,1,CAPACILLOS,0.01034099392356796,10.4,1005.9099999999999
2025-07-07,2025-07-07,1,otros,0.25540175593658937,256.91,1005.9099999999999
2025-07-07,2025-07-14,2,HARINA,0.2209410696557437,187.48,848.53
2025-07-07,2025-07-14,2,COMBUSTIBLE,0.0,0.0,848.53
2025-07-07,2025-07-14,2,CHOCOLATE,0.0750741510213755,63.7,848.53
2025-07-07,2025-07-14,2,FONDANT,0.05470871158505776,46.42,848.53
2025-07-07,2025-07-14,2,EMPAQUE,0.19824886596056288,168.22,848.53
2025-07-07,2025-07-14,2,CHANTILLY,0.03595665152870282,30.51,848.53
2025-07-07,2025-07-14,2,RELLENO,0.006916085471512501,5.87,848.53
2025-07-07,2025-07-14,2,DECORACION,0.025850094290078514,21.93,848.53
2025-07-07,2025-07-14,2,HERRAMIENTA,0.009640848324461613,8.18,848.53
2025-07-07,2025-07-14,2,AMBIANTE,0.03432469221367978,29.13,848.53
2025-07-07,2025-07-14,2,HUEVO,0.07259608008866775,61.6,848.53
2025-07-07,2025-07-14,2,MUEBLES,0.0,0.0,848.53
2025-07-07,2025-07-14,2,CAPACILLOS,0.01034099392356796,8.77,848.53
2025-07-07,2025-07-14,2,otros,0.25540175593658937,216.72,848.53
2025-07-07,2025-07-21,3,HARINA,0.2209410696557437,171.86,777.85
2025-07-07,2025-07-21,3,COMBUSTIBLE,0.0,0.0,777.85
2025-07-07,2025-07-21,3,CHOCOLATE,0.0750741510213755,58.4,777.85
2025-07-07,2025-07-21,3,FONDANT,0.05470871158505776,42.55,777.85
2025-07-07,2025-07-21,3,EMPAQUE,0.19824886596056288,154.21,777.85
2025-07-07,2025-07-21,3,CHANTILLY,0.03595665152870282,27.97,777.85
2025-07-07,2025-07-21,3,RELLENO,0.006916085471512501,5.38,777.85
2025-07-07,2025-07-21,3,DECORACION,0.025850094290078514,20.11,777.85
2025-07-07,2025-07-21,3,HERRAMIENTA,0.009640848324461613,7.5,777.85
2025-07-07,2025-07-21,3,AMBIANTE,0.03432469221367978,26.7,777.85
2025-07-07,2025-07-21,3,HUEVO,0.07259608008866775,56.47,777.85
2025-07-07,2025-07-21,3,MUEBLES,0.0,0.0,777.85
2025-07-07,2025-07-21,3,CAPACILLOS,0.01034099392356796,8.04,777.85
2025-07-07,2025-07-21,3,otros,0.25540175593658937,198.66,777.85
2025-07-07,2025-07-28,4,HARINA,0.2209410696557437,164.84,746.1000000000001
2025-07-07,2025-07-28,4,COMBUSTIBLE,0.0,0.0,746.1000000000001
2025-07-07,2025-07-28,4,CHOCOLATE,0.0750741510213755,56.01,746.1000000000001
2025-07-07,2025-07-28,4,FONDANT,0.05470871158505776,40.82,746.1000000000001
2025-07-07,2025-07-28,4,EMPAQUE,0.19824886596056288,147.91,746.1000000000001
2025-07-07,2025-07-28,4,CHANTILLY,0.03595665152870282,26.83,746.1000000000001
2025-07-07,2025-07-28,4,RELLENO,0.006916085471512501,5.16,746.1000000000001
2025-07-07,2025-07-28,4,DECORACION,0.025850094290078514,19.29,746.1000000000001
2025-07-07,2025-07-28,4,HERRAMIENTA,0.009640848324461613,7.19,746.1000000000001
2025-07-07,2025-07-28,4,AMBIANTE,0.03432469221367978,25.61,746.1000000000001
2025-07-07,2025-07-28,4,HUEVO,0.07259608008866775,54.16,746.1000000000001
2025-07-07,2025-07-28,4,MUEBLES,0.0,0.0,746.1000000000001
2025-07-07,2025-07-28,4,CAPACILLOS,0.01034099392356796,7.72,746.1000000000001
2025-07-07,2025-07-28,4,otros,0.25540175593658937,190.56,746.1000000000001
