origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2025-07-07,2025-07-07,1,ss_ar1,756.0,1286.2257934343797,570.0866666666667
2025-07-07,2025-07-07,1,hgb,756.0,725.6,570.0866666666667
2025-07-07,2025-07-07,1,hibrido,756.0,1005.9128967171898,570.0866666666667
2025-07-07,2025-07-07,1,ultimo_valor,756.0,1987.0,570.0866666666667
2025-07-07,2025-07-07,1,promedio_4s,756.0,1247.3033333333333,570.0866666666667
2025-07-07,2025-07-07,1,estacional_52s,756.0,,570.0866666666667
2025-07-07,2025-07-14,2,ss_ar1,519.0,971.4696257864421,570.0866666666667
2025-07-07,2025-07-14,2,hgb,519.0,725.6,570.0866666666667
2025-07-07,2025-07-14,2,hibrido,519.0,848.534812893221,570.0866666666667
2025-07-07,2025-07-14,2,ultimo_valor,519.0,1987.0,570.0866666666667
2025-07-07,2025-07-14,2,promedio_4s,519.0,1247.3033333333333,570.0866666666667
2025-07-07,2025-07-14,2,estacional_52s,519.0,,570.0866666666667
2025-07-07,2025-07-21,3,ss_ar1,336.9,830.0953512423639,570.0866666666667
2025-07-07,2025-07-21,3,hgb,336.9,725.6,570.0866666666667
2025-07-07,2025-07-21,3,hibrido,336.9,777.8476756211819,570.0866666666667
2025-07-07,2025-07-21,3,ultimo_valor,336.9,1987.0,570.0866666666667
2025-07-07,2025-07-21,3,promedio_4s,336.9,1247.3033333333333,570.0866666666667
2025-07-07,2025-07-21,3,estacional_52s,336.9,,570.0866666666667
2025-07-07,2025-07-28,4,ss_ar1,5.0,766.5964033036535,570.0866666666667
2025-07-07,2025-07-28,4,hgb,5.0,725.6,570.0866666666667
2025-07-07,2025-07-28,4,hibrido,5.0,746.0982016518267,570.0866666666667
2025-07-07,2025-07-28,4,ultimo_valor,5.0,1987.0,570.0866666666667
2025-07-07,2025-07-28,4,promedio_4s,5.0,1247.3033333333333,570.0866666666667
2025-07-07,2025-07-28,4,estacional_52s,5.0,,570.0866666666667
