id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,run_20260922T220920Z_a75fde,Metodología,,False
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,b5baf92d3ecd91323ec34d26e9c38d540e3551e86abd4ebc28ec61fea3f3a268,run_20260922T220920Z_a75fde,Desarrollo,,False
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,5e1789cbe172719eca3b6cf7b76fb2cf9efd9c6f688116ed677652a842fc29f3,run_20260922T220920Z_a75fde,Desarrollo,,False
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,c1d61779e30dd7a3dc70e429f355a688eb95456312c6d4b2df97d871863282b5,run_20260922T220920Z_a75fde,Desarrollo,,False
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,a9f04e6b19f38ee353f4d64fd5e7eaa182307b58722571376719e4a3c8ea1653,run_20260922T220920Z_a75fde,Desarrollo,,False
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,c5e883fa0331a9070febe4b622141fcdf9d743b27fdc28b20b1f01f31f9fe5a9,run_20260922T220920Z_a75fde,Desarrollo,,False
F06,Dependencia temporal en desarrollo,omitida,,,,,run_20260922T220920Z_a75fde,Desarrollo,ACF/PACF requiere desarrollo continuo observado; no se comprimen ni imputan huecos.,False
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,f3c587da43ed413a4450bd682e99211283843ee7ccbdaff659102eb96d3e4a3d,run_20260922T220920Z_a75fde,Desarrollo,,False
F08,Descomposición temporal exploratoria,omitida,,,,,run_20260922T220920Z_a75fde,Desarrollo,STL requiere al menos 156 semanas de desarrollo sin huecos en esta configuración.,False
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,44778593590c6ee97385def952dc2657509b522344caaef4b4ba0202af27266e,run_20260922T220920Z_a75fde,Desarrollo,,False
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,run_20260922T220920Z_a75fde,Metodología,,False
F11,Selección de características,omitida,,,,,run_20260922T220920Z_a75fde,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",False
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,run_20260922T220920Z_a75fde,Metodología,,False
F13,Pesos y validación interna,generada,figuras/F13.png,figuras/F13.svg,figuras/F13_datos.csv,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,run_20260922T220920Z_a75fde,Desarrollo,,False
F14,Pronósticos fuera de muestra,generada,figuras/F14.png,figuras/F14.svg,figuras/F14_datos.csv,1c3f6a52fd40514fcacb46895e2f806bde612a3f68517d1d1e390ce099270fea,run_20260922T220920Z_a75fde,Resultados,,False
F15,Composición observada y pronosticada,generada,figuras/F15.png,figuras/F15.svg,figuras/F15_datos.csv,cd05b701322079f52b89619ccfeab26cb08e9644c5ce955c8bbe3882a7b45ca0,run_20260922T220920Z_a75fde,Resultados,,False
F16,Asignación y reconciliación,generada,figuras/F16.png,figuras/F16.svg,figuras/F16_datos.csv,40b6fe5a27c169f4fe7adb86bf0cf24efe72fe59e653cd4c6b260d072217d37e,run_20260922T220920Z_a75fde,Resultados,,False
F17,Errores monetarios,generada,figuras/F17.png,figuras/F17.svg,figuras/F17_datos.csv,d8788c1e469c0e57241deac8597eaaef4f75c24943a426fe3080cb09962c9f1d,run_20260922T220920Z_a75fde,Resultados,,False
F18,Errores de participación,generada,figuras/F18.png,figuras/F18.svg,figuras/F18_datos.csv,eff4a943a631f8bf0379f59286527e88771637d1142e08d7c224a48a5ad03f6e,run_20260922T220920Z_a75fde,Resultados,,False
F19,Diferencias de pérdidas para H1,generada,figuras/F19.png,figuras/F19.svg,figuras/F19_datos.csv,24f4d09a777f0d3d28944074f3bbf4931d844531db2f1cf76a5073590585546b,run_20260922T220920Z_a75fde,Resultados,,False
F20,Presupuesto de las cuatro semanas siguientes,generada,figuras/F20.png,figuras/F20.svg,figuras/F20_datos.csv,490951fbf0019c4746dee767665c15a774c2bdf4bcf5932c99a4969d0ed86db4,run_20260922T220920Z_a75fde,Desarrollo,,False
F21,Interfaz del tablero,omitida,,,,,run_20260922T220920Z_a75fde,Desarrollo,Captura requiere inspeccionar el HTML de la ejecución en navegador; no se sustituye con una maqueta.,False
F22,Controles de calidad,generada,figuras/F22.png,figuras/F22.svg,figuras/F22_datos.csv,7c437ab8cdb7e28294fa4c8136a923d938db3ae2b67fd4cb1a95237799bec03b,run_20260922T220920Z_a75fde,Desarrollo,,False
F23,Convergencia del error rolling,generada,figuras/F23.png,figuras/F23.svg,figuras/F23_datos.csv,0e1d863168044595466101e052720661c0e3312652978bd60c31a41922688f7d,run_20260922T220920Z_a75fde,Resultados,,False
F24,Correlación de variables,generada,figuras/F24.png,figuras/F24.svg,figuras/F24_datos.csv,c88d364d2d89f7aa0a71bd9379d9e89af84f547e1b18421b7d09da08a71d5692,run_20260922T220920Z_a75fde,Resultados,,False
