horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
1,hgb,1,30.399999999999977,30.399999999999977,0.053325225404324446,1,0,principal_fechas_comunes
1,hibrido,1,249.91289671718982,249.91289671718982,0.4383770246345991,1,0,principal_fechas_comunes
1,promedio_4s,1,491.3033333333333,491.3033333333333,0.8618046378913147,1,0,complementaria_disponibilidad_propia
1,ss_ar1,1,530.2257934343797,530.2257934343797,0.9300792746735228,1,0,principal_fechas_comunes
1,ultimo_valor,1,1231.0,1231.0,2.1593208050237975,1,0,principal_fechas_comunes
2,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
2,hgb,1,206.60000000000002,206.60000000000002,0.3624010384386,1,0,principal_fechas_comunes
2,hibrido,1,329.534812893221,329.534812893221,0.5780433610560166,1,0,principal_fechas_comunes
2,promedio_4s,1,728.3033333333333,728.3033333333333,1.277530901734239,1,0,complementaria_disponibilidad_propia
2,ss_ar1,1,452.46962578644207,452.46962578644207,0.7936856836734334,1,0,principal_fechas_comunes
2,ultimo_valor,1,1468.0,1468.0,2.5750470688667217,1,0,principal_fechas_comunes
3,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
3,hgb,1,388.70000000000005,388.70000000000005,0.6818261550875306,1,0,principal_fechas_comunes
3,hibrido,1,440.94767562118193,440.94767562118193,0.7734748090135686,1,0,principal_fechas_comunes
3,promedio_4s,1,910.4033333333333,910.4033333333333,1.5969560183831697,1,0,complementaria_disponibilidad_propia
3,ss_ar1,1,493.1953512423639,493.1953512423639,0.8651234629396066,1,0,principal_fechas_comunes
3,ultimo_valor,1,1650.1,1650.1,2.894472185515652,1,0,principal_fechas_comunes
4,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
4,hgb,1,720.6,720.6,1.2640183363932969,1,0,principal_fechas_comunes
4,hibrido,1,741.0982016518267,741.0982016518267,1.2999746266389203,1,0,principal_fechas_comunes
4,promedio_4s,1,1242.3033333333333,1242.3033333333333,2.179148199688936,1,0,complementaria_disponibilidad_propia
4,ss_ar1,1,761.5964033036535,761.5964033036535,1.335930916884544,1,0,principal_fechas_comunes
4,ultimo_valor,1,1982.0,1982.0,3.4766643668214186,1,0,principal_fechas_comunes
