horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,AMBIANTE,6.091340302441545,1,0
1,participacion_ewm,BASES,1.8204685151916353,1,0
1,participacion_ewm,CAPACILLOS,6.37330801505061,1,0
1,participacion_ewm,CHANTILLY,8.360376546636541,1,0
1,participacion_ewm,CHOCOLATE,1.8841192893968406,1,0
1,participacion_ewm,DECORACION,12.336311450812527,1,0
1,participacion_ewm,DOMO,0.0,1,0
1,participacion_ewm,EMPAQUE,19.985097153808358,1,0
1,participacion_ewm,FONDANT,5.470871158505776,1,0
1,participacion_ewm,HARINA,7.270972399504997,1,0
1,participacion_ewm,HUEVO,7.476782320486246,1,0
1,participacion_ewm,RELLENO,0.6916085471512501,1,0
1,participacion_ewm,otros,6.871600308699816,1,0
1,participacion_historica,AMBIANTE,6.509181156913645,1,0
1,participacion_historica,BASES,0.7839147537586313,1,0
1,participacion_historica,CAPACILLOS,6.696716956256214,1,0
1,participacion_historica,CHANTILLY,9.089576983544243,1,0
1,participacion_historica,CHOCOLATE,4.706635150458376,1,0
1,participacion_historica,DECORACION,11.271768936369533,1,0
1,participacion_historica,DOMO,0.0,1,0
1,participacion_historica,EMPAQUE,21.141857488828407,1,0
1,participacion_historica,FONDANT,3.4558263402674365,1,0
1,participacion_historica,HARINA,0.3263592671182314,1,0
1,participacion_historica,HUEVO,7.496879111612308,1,0
1,participacion_historica,RELLENO,0.42778057372924005,1,0
1,participacion_historica,otros,5.2939801824642165,1,0
2,participacion_ewm,AMBIANTE,3.432469221367978,1,0
2,participacion_ewm,BASES,6.979198673921793,1,0
2,participacion_ewm,CAPACILLOS,1.034099392356796,1,0
2,participacion_ewm,CHANTILLY,13.85705819938756,1,0
2,participacion_ewm,CHOCOLATE,7.507415102137551,1,0
2,participacion_ewm,DECORACION,2.8753287608276845,1,0
2,participacion_ewm,DOMO,0.0,1,0
2,participacion_ewm,EMPAQUE,9.965829331072328,1,0
2,participacion_ewm,FONDANT,11.292134621841045,1,0
2,participacion_ewm,HARINA,9.76270041451464,1,0
2,participacion_ewm,HUEVO,10.827649278743042,1,0
2,participacion_ewm,RELLENO,0.6916085471512501,1,0
2,participacion_ewm,otros,6.271807343378358,1,0
2,participacion_historica,AMBIANTE,3.0146283668958787,1,0
2,participacion_historica,BASES,5.94264491248879,1,0
2,participacion_historica,CAPACILLOS,0.7106904511511929,1,0
2,participacion_historica,CHANTILLY,14.58625863629526,1,0
2,participacion_historica,CHOCOLATE,4.684899241076016,1,0
2,participacion_historica,DECORACION,3.939871275270679,1,0
2,participacion_historica,DOMO,0.0,1,0
2,participacion_historica,EMPAQUE,11.122589666092377,1,0
2,participacion_historica,FONDANT,13.307179440079384,1,0
2,participacion_historica,HARINA,16.707313546901403,1,0
2,participacion_historica,HUEVO,10.807552487616979,1,0
2,participacion_historica,RELLENO,0.42778057372924005,1,0
2,participacion_historica,otros,7.849427469613957,1,0
3,participacion_ewm,AMBIANTE,17.938857581837723,1,0
3,participacion_ewm,BASES,5.198254773654652,1,0
3,participacion_ewm,CAPACILLOS,1.034099392356796,1,0
3,participacion_ewm,CHANTILLY,3.676660490400494,1,0
3,participacion_ewm,CHOCOLATE,7.507415102137551,1,0
3,participacion_ewm,DECORACION,2.8753287608276845,1,0
3,participacion_ewm,DOMO,0.0,1,0
3,participacion_ewm,EMPAQUE,16.156067768234006,1,0
3,participacion_ewm,FONDANT,5.470871158505776,1,0
3,participacion_ewm,HARINA,50.92459294537844,1,0
3,participacion_ewm,HUEVO,7.476782320486246,1,0
3,participacion_ewm,RELLENO,0.6916085471512501,1,0
3,participacion_ewm,otros,18.77636221346172,1,0
3,participacion_historica,AMBIANTE,18.35669843630982,1,0
3,participacion_historica,BASES,4.1617010122216485,1,0
3,participacion_historica,CAPACILLOS,0.7106904511511929,1,0
3,participacion_historica,CHANTILLY,2.9474600534927933,1,0
