horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
1,hgb,1,47.27499999999998,47.27499999999998,0.09003275649734008,1,0,principal_fechas_comunes
1,hibrido,1,293.2240829668697,293.2240829668697,0.5584298775444111,1,0,principal_fechas_comunes
1,promedio_4s,1,491.3033333333333,491.3033333333333,0.9356614146236175,1,0,complementaria_disponibilidad_propia
1,ss_ar1,1,633.7231659337392,633.7231659337392,1.206892511586162,1,0,principal_fechas_comunes
1,ultimo_valor,1,1231.0,1231.0,2.344374896842426,1,0,principal_fechas_comunes
2,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
2,hgb,1,189.72500000000002,189.72500000000002,0.36132130568921955,1,0,principal_fechas_comunes
2,hibrido,1,371.36679753084627,371.36679753084627,0.707248576484224,1,0,principal_fechas_comunes
2,promedio_4s,1,728.3033333333333,728.3033333333333,1.3870154768101772,1,0,complementaria_disponibilidad_propia
2,ss_ar1,1,553.0085950616924,553.0085950616924,1.0531758472792283,1,0,principal_fechas_comunes
2,ultimo_valor,1,1468.0,1468.0,2.7957289590289855,1,0,principal_fechas_comunes
3,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
3,hgb,1,371.82500000000005,371.82500000000005,0.7081211990401585,1,0,principal_fechas_comunes
3,hibrido,1,468.96448404147816,468.96448404147816,0.8931182484951274,1,0,principal_fechas_comunes
3,promedio_4s,1,910.4033333333333,910.4033333333333,1.733815370161116,1,0,complementaria_disponibilidad_propia
3,ss_ar1,1,566.1039680829563,566.1039680829563,1.0781152979500963,1,0,principal_fechas_comunes
3,ultimo_valor,1,1650.1,1650.1,3.1425288523799244,1,0,principal_fechas_comunes
4,estacional_52s,0,,,,0,1,complementaria_disponibilidad_propia
4,hgb,1,703.725,703.725,1.3402073308533193,1,0,principal_fechas_comunes
4,hibrido,1,755.9144462421027,755.9144462421027,1.4395993923074972,1,0,principal_fechas_comunes
4,promedio_4s,1,1242.3033333333333,1242.3033333333333,2.365901501974277,1,0,complementaria_disponibilidad_propia
4,ss_ar1,1,808.1038924842053,808.1038924842053,1.5389914537616747,1,0,principal_fechas_comunes
4,ultimo_valor,1,1982.0,1982.0,3.7746149841930854,1,0,principal_fechas_comunes
