fuente,inicio,fin,semanas_ausentes,clasificacion
compras,2016-12-12,2019-01-14,110,sin_captura_en_archivo
compras,2019-01-28,2019-06-10,20,sin_captura_en_archivo
compras,2019-06-24,2019-09-02,11,sin_captura_en_archivo
compras,2019-09-16,2019-09-16,1,sin_captura_en_archivo
compras,2019-09-30,2020-04-06,28,sin_captura_en_archivo
compras,2020-04-20,2020-05-11,4,sin_captura_en_archivo
compras,2020-05-25,2020-06-01,2,sin_captura_en_archivo
compras,2020-06-15,2020-07-13,5,sin_captura_en_archivo
compras,2020-07-27,2020-09-14,8,sin_captura_en_archivo
compras,2020-09-28,2020-09-28,1,sin_captura_en_archivo
compras,2020-11-02,2020-11-09,2,sin_captura_en_archivo
compras,2020-11-23,2020-11-30,2,sin_captura_en_archivo
compras,2020-12-21,2020-12-21,1,sin_captura_en_archivo
compras,2021-01-04,2021-02-08,6,sin_captura_en_archivo
compras,2021-02-22,2021-03-01,2,sin_captura_en_archivo
compras,2021-03-15,2021-04-26,7,sin_captura_en_archivo
compras,2021-05-10,2021-05-10,1,sin_captura_en_archivo
compras,2021-05-24,2021-05-24,1,sin_captura_en_archivo
compras,2021-06-07,2021-06-07,1,sin_captura_en_archivo
compras,2021-07-05,2021-07-12,2,sin_captura_en_archivo
compras,2021-08-02,2021-08-16,3,sin_captura_en_archivo
compras,2021-08-30,2021-08-30,1,sin_captura_en_archivo
compras,2022-03-07,2022-03-07,1,sin_captura_en_archivo
compras,2022-04-11,2022-04-18,2,sin_captura_en_archivo
compras,2022-05-02,2022-05-02,1,sin_captura_en_archivo
compras,2022-05-16,2022-05-23,2,sin_captura_en_archivo
compras,2022-07-04,2022-07-11,2,sin_captura_en_archivo
compras,2022-10-10,2022-10-10,1,sin_captura_en_archivo
compras,2023-04-10,2023-04-10,1,sin_captura_en_archivo
compras,2023-05-08,2023-05-08,1,sin_captura_en_archivo
compras,2023-06-19,2023-06-19,1,sin_captura_en_archivo
compras,2023-07-03,2023-07-03,1,sin_captura_en_archivo
compras,2023-10-23,2023-10-23,1,sin_captura_en_archivo
compras,2024-01-29,2024-01-29,1,sin_captura_en_archivo
compras,2024-02-19,2024-02-19,1,sin_captura_en_archivo
compras,2024-03-18,2024-03-18,1,sin_captura_en_archivo
compras,2024-04-15,2024-04-15,1,sin_captura_en_archivo
compras,2024-05-06,2024-05-27,4,sin_captura_en_archivo
compras,2024-06-10,2025-04-07,44,sin_captura_en_archivo
compras,2025-04-21,2025-04-21,1,sin_captura_en_archivo
compras,2025-05-12,2025-05-12,1,sin_captura_en_archivo
compras,2025-05-26,2025-05-26,1,sin_captura_en_archivo
compras,2025-06-16,2025-06-16,1,sin_captura_en_archivo
compras,2025-08-04,2026-05-11,41,sin_captura_en_archivo
ventas,2016-12-05,2020-11-09,206,sin_captura_en_archivo
ventas,2020-12-21,2021-01-04,3,sin_captura_en_archivo
ventas,2021-01-18,2021-01-25,2,sin_captura_en_archivo
ventas,2021-03-15,2021-03-22,2,sin_captura_en_archivo
ventas,2021-04-26,2021-04-26,1,sin_captura_en_archivo
ventas,2021-08-02,2021-08-09,2,sin_captura_en_archivo
ventas,2021-08-30,2021-08-30,1,sin_captura_en_archivo
ventas,2022-03-07,2022-03-07,1,sin_captura_en_archivo
ventas,2022-03-21,2022-03-21,1,sin_captura_en_archivo
ventas,2022-04-11,2022-04-11,1,sin_captura_en_archivo
ventas,2022-05-23,2022-05-23,1,sin_captura_en_archivo
ventas,2022-07-04,2022-07-04,1,sin_captura_en_archivo
ventas,2022-08-01,2022-08-08,2,sin_captura_en_archivo
ventas,2022-09-12,2022-09-26,3,sin_captura_en_archivo
ventas,2022-10-10,2022-10-10,1,sin_captura_en_archivo
ventas,2022-10-31,2022-10-31,1,sin_captura_en_archivo
ventas,2022-11-14,2022-11-14,1,sin_captura_en_archivo
ventas,2023-02-20,2023-02-20,1,sin_captura_en_archivo
ventas,2024-05-27,2024-05-27,1,sin_captura_en_archivo
ventas,2024-09-02,2024-09-02,1,sin_captura_en_archivo
ventas,2024-09-16,2024-09-16,1,sin_captura_en_archivo
ventas,2024-09-30,2024-09-30,1,sin_captura_en_archivo
ventas,2024-10-14,2024-10-21,2,sin_captura_en_archivo
ventas,2024-11-04,2024-11-11,2,sin_captura_en_archivo
ventas,2025-01-27,2025-01-27,1,sin_captura_en_archivo
ventas,2025-03-10,2025-03-17,2,sin_captura_en_archivo
ventas,2025-04-14,2025-04-14,1,sin_captura_en_archivo
ventas,2025-06-16,2025-06-16,1,sin_captura_en_archivo
ventas,2025-07-28,2025-07-28,1,sin_captura_en_archivo
ventas,2025-08-18,2025-08-18,1,sin_captura_en_archivo
ventas,2025-09-08,2025-09-15,2,sin_captura_en_archivo
ventas,2025-10-13,2025-10-13,1,sin_captura_en_archivo
ventas,2025-10-27,2025-11-03,2,sin_captura_en_archivo
ventas,2025-11-17,2025-11-24,2,sin_captura_en_archivo
ventas,2025-12-29,2026-01-05,2,sin_captura_en_archivo
ventas,2026-01-26,2026-02-02,2,sin_captura_en_archivo
ventas,2026-03-09,2026-03-09,1,sin_captura_en_archivo
ventas,2026-03-30,2026-04-06,2,sin_captura_en_archivo
