insumo,importe,acumulado_pct
HARINA,11270.18,12.860918745625133
CHOCOLATE,9703.300000000001,23.933798936041292
FONDANT,9540.0,34.82033001480523
EMPAQUE,7965.01,43.909567845797426
CHANTILLY,7658.0,52.64846250000856
RELLENO,7132.27,60.78742256469785
DECORACION,5617.15,67.19740978158242
AMBIANTE,2855.5,70.4559516574116
HUEVO,2726.65,73.56745689492855
CAPACILLOS,2251.16,76.13635870868855
BASES,2091.01,78.52250602011476
DOMO,2000.0,80.80479765088288
OTROS,1991.5700000000002,83.07746942242731
QUESO CREMA,1860.9,85.20102767027552
MANTEQUILLA,1795.5,87.2499549817976
ADMINISTRACION,1450.0,88.90461641410448
NO DEFINIDO,1340.5900000000001,90.4344250827502
TRANSFER,990.0,91.56415943998041
GALLETAS,952.03,92.6505644906005
ACEITE,909.5,93.6884366096923
CONSUMIBLES,793.45,94.5938787569088
DULCERIA,768.29,95.4706096754102
CASETAS,725.0,96.29794039156364
COLORANTES,722.0,97.12184767027094
ROYALICING,679.0,97.89668567891671
LICORES,639.0,98.62587785494713
AZUCAR,590.46,99.29967881309881
HORNEADO,279.5,99.61862906849865
LECHERA,154.4,99.79482198239394
LECHE EN POLVO,49.0,99.85073812734775
LECHE,48.8,99.90642604313851
JARABE,45.0,99.9577776048308
MANTECA VEGETAL,22.0,99.98288281276923
SABORIZANTE,15.0,100.0
CINTA,0.0,100.0
VELAS,0.0,100.0
