origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2025-07-07,2025-07-07,1,HARINA,0.2209410696557437,231.81,1049.22
2025-07-07,2025-07-07,1,CHOCOLATE,0.0750741510213755,78.77,1049.22
2025-07-07,2025-07-07,1,FONDANT,0.05470871158505776,57.4,1049.22
2025-07-07,2025-07-07,1,EMPAQUE,0.1998509715380836,209.69,1049.22
2025-07-07,2025-07-07,1,CHANTILLY,0.03676660490400494,38.58,1049.22
2025-07-07,2025-07-07,1,RELLENO,0.006916085471512501,7.26,1049.22
2025-07-07,2025-07-07,1,DECORACION,0.028753287608276844,30.17,1049.22
2025-07-07,2025-07-07,1,AMBIANTE,0.03432469221367978,36.01,1049.22
2025-07-07,2025-07-07,1,HUEVO,0.07476782320486246,78.45,1049.22
2025-07-07,2025-07-07,1,CAPACILLOS,0.01034099392356796,10.85,1049.22
2025-07-07,2025-07-07,1,BASES,0.06979198673921794,73.23,1049.22
2025-07-07,2025-07-07,1,DOMO,0.0,0.0,1049.22
2025-07-07,2025-07-07,1,otros,0.1877636221346172,197.0,1049.22
