horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,766250.8061822263,5
1,ss_ar1,hgb,0.5,731663.1868869354,5
1,ss_ar1,hgb,0.75,715553.6533196649,5
1,ss_ar1,rf,0.25,765701.7668046074,5
1,ss_ar1,rf,0.5,739863.4542623659,5
1,ss_ar1,rf,0.75,723936.9338209681,5
1,ss_arima111,hgb,0.25,767849.6293995243,5
1,ss_arima111,hgb,0.5,740460.1504373983,5
1,ss_arima111,hgb,0.75,737148.07431916,5
1,ss_arima111,rf,0.25,785075.703892601,5
1,ss_arima111,rf,0.5,772360.5696404229,5
1,ss_arima111,rf,0.75,763306.4686911588,5
2,ss_ar1,hgb,0.25,983042.954099033,5
2,ss_ar1,hgb,0.5,998594.1110190445,5
2,ss_ar1,hgb,0.75,1045773.9213089742,5
2,ss_ar1,rf,0.25,1097919.8679584914,5
2,ss_ar1,rf,0.5,1098146.2828150655,5
2,ss_ar1,rf,0.75,1107033.788485176,5
2,ss_arima111,hgb,0.25,999233.5585386946,5
2,ss_arima111,hgb,0.5,1021453.4294473168,5
2,ss_arima111,hgb,0.75,1065780.0632748054,5
2,ss_arima111,rf,0.25,1108903.8146767844,5
2,ss_arima111,rf,0.5,1114063.3909481799,5
2,ss_arima111,rf,0.75,1121833.2727296385,5
3,ss_ar1,hgb,0.25,1126608.0646793668,5
3,ss_ar1,hgb,0.5,912728.9253349539,5
3,ss_ar1,hgb,0.75,739464.2250924621,5
3,ss_ar1,rf,0.25,703919.0557744324,5
3,ss_ar1,rf,0.5,660013.1232125201,5
3,ss_ar1,rf,0.75,627644.7592716728,5
3,ss_arima111,hgb,0.25,1169675.090046255,5
3,ss_arima111,hgb,0.5,984824.6202940566,5
3,ss_arima111,hgb,0.75,826550.2338691053,5
3,ss_arima111,rf,0.25,735607.6719869557,5
3,ss_arima111,rf,0.5,716937.6059658027,5
3,ss_arima111,rf,0.75,703352.3588939513,5
4,ss_ar1,hgb,0.25,73065.19338383913,5
4,ss_ar1,hgb,0.5,88942.58036062185,5
4,ss_ar1,hgb,0.75,150134.27706152623,5
4,ss_ar1,rf,0.25,170066.9174376072,5
4,ss_ar1,rf,0.5,187263.13074973816,5
4,ss_ar1,rf,0.75,216120.91943271985,5
4,ss_arima111,hgb,0.25,94323.52020456962,5
4,ss_arima111,hgb,0.5,118200.34185690728,5
4,ss_arima111,hgb,0.75,174132.581088191,5
4,ss_arima111,rf,0.25,181590.94995496987,5
4,ss_arima111,rf,0.5,203541.83317486645,5
4,ss_arima111,rf,0.75,230384.9291560168,5
