insumo,importe,acumulado_pct
HARINA,10031.444923076922,11.922208819417223
CHOCOLATE,9415.960769230769,23.112924751871024
FONDANT,9359.007692307692,34.235952880504726
EMPAQUE,7827.468692307692,43.53877186548092
CHANTILLY,7493.684615384616,52.44489391435383
RELLENO,6863.4130000000005,60.601948419200205
DECORACION,5727.284230769232,67.40873239608338
HUEVO,2856.1673076923075,70.80324069739156
AMBIANTE,2584.857692307692,73.87530194205587
DOMO,2353.846153846154,76.67280973780503
CAPACILLOS,2343.719076923077,79.45828166766117
OTROS,2234.559307692308,82.1140189906458
BASES,2005.5694615384614,84.49760561307761
QUESO CREMA,1798.9361538461537,86.6356119165977
MANTEQUILLA,1567.1653846153847,88.49816243780576
NO DEFINIDO,1458.2174615384615,90.23123012784393
TRANSFER,1165.1538461538462,91.61599648673976
ACEITE,988.4115384615384,92.79070749312241
GALLETAS,872.6283846153847,93.82781210795234
DULCERIA,792.3282307692307,94.76948129850129
LICORES,752.0538461538462,95.66328503924315
COLORANTES,694.6730769230769,96.48889267082687
ROYALICING,694.1307692307691,97.31385577855568
CONSUMIBLES,640.951,98.07561559716717
AZUCAR,550.926,98.7303821703192
CASETAS,528.2692307692308,99.35822154245344
ADMINISTRACION,247.15384615384613,99.65195986100709
LECHERA,129.71692307692308,99.80612631022694
HORNEADO,100.94999999999999,99.92610374015347
LECHE EN POLVO,32.66923076923077,99.96493058854739
SABORIZANTE,17.653846153846153,99.98591189701551
JARABE,7.96153846153846,99.99537405573642
MANTECA VEGETAL,3.892307692307692,99.99999999999997
