etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
validacion_interna,2023-08-28,2023-08-28,1,2022-08-29,2023-08-21,52,True,
validacion_interna,2023-08-28,2023-09-04,2,2022-08-29,2023-08-21,52,True,
validacion_interna,2023-08-28,2023-09-11,3,2022-08-29,2023-08-21,52,True,
validacion_interna,2023-08-28,2023-09-18,4,2022-08-29,2023-08-21,52,True,
validacion_interna,2023-09-18,2023-09-18,1,2022-09-19,2023-09-11,52,True,
validacion_interna,2023-09-18,2023-09-25,2,2022-09-19,2023-09-11,52,True,
validacion_interna,2023-09-18,2023-10-02,3,2022-09-19,2023-09-11,52,True,
validacion_interna,2023-09-18,2023-10-09,4,2022-09-19,2023-09-11,52,True,
validacion_interna,2023-10-09,2023-10-09,1,2022-10-10,2023-10-02,52,True,
validacion_interna,2023-10-09,2023-10-16,2,2022-10-10,2023-10-02,52,True,
validacion_interna,2023-10-09,2023-10-23,3,2022-10-10,2023-10-02,52,True,
validacion_interna,2023-10-09,2023-10-30,4,2022-10-10,2023-10-02,52,True,
validacion_interna,2023-10-30,2023-10-30,1,2022-10-31,2023-10-23,52,True,
validacion_interna,2023-10-30,2023-11-06,2,2022-10-31,2023-10-23,52,True,
validacion_interna,2023-10-30,2023-11-13,3,2022-10-31,2023-10-23,52,True,
validacion_interna,2023-10-30,2023-11-20,4,2022-10-31,2023-10-23,52,True,
validacion_interna,2023-11-20,2023-11-20,1,2022-11-21,2023-11-13,52,True,
validacion_interna,2023-11-20,2023-11-27,2,2022-11-21,2023-11-13,52,True,
validacion_interna,2023-11-20,2023-12-04,3,2022-11-21,2023-11-13,52,True,
validacion_interna,2023-11-20,2023-12-11,4,2022-11-21,2023-11-13,52,True,
evaluacion,2024-01-01,2024-01-01,1,2023-01-02,2023-12-25,52,True,
evaluacion,2024-01-01,2024-01-08,2,2023-01-02,2023-12-25,52,True,
evaluacion,2024-01-01,2024-01-15,3,2023-01-02,2023-12-25,52,True,
evaluacion,2024-01-01,2024-01-22,4,2023-01-02,2023-12-25,52,True,
evaluacion,2024-01-22,2024-01-22,1,2023-01-23,2024-01-15,52,True,
evaluacion,2024-01-22,2024-01-29,2,2023-01-23,2024-01-15,52,True,
evaluacion,2024-01-22,2024-02-05,3,2023-01-23,2024-01-15,52,True,
evaluacion,2024-01-22,2024-02-12,4,2023-01-23,2024-01-15,52,True,
evaluacion,2024-02-12,2024-02-12,1,2023-02-13,2024-02-05,52,True,
evaluacion,2024-02-12,2024-02-19,2,2023-02-13,2024-02-05,52,True,
evaluacion,2024-02-12,2024-02-26,3,2023-02-13,2024-02-05,52,True,
evaluacion,2024-02-12,2024-03-04,4,2023-02-13,2024-02-05,52,True,
evaluacion,2024-03-04,2024-03-04,1,2023-03-06,2024-02-26,52,True,
evaluacion,2024-03-04,2024-03-11,2,2023-03-06,2024-02-26,52,True,
evaluacion,2024-03-04,2024-03-18,3,2023-03-06,2024-02-26,52,True,
evaluacion,2024-03-04,2024-03-25,4,2023-03-06,2024-02-26,52,True,
evaluacion,2024-03-25,2024-03-25,1,2023-03-27,2024-03-18,52,True,
evaluacion,2024-03-25,2024-04-01,2,2023-03-27,2024-03-18,52,True,
evaluacion,2024-03-25,2024-04-08,3,2023-03-27,2024-03-18,52,True,
evaluacion,2024-03-25,2024-04-15,4,2023-03-27,2024-03-18,52,True,
