horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,5,981.4872396215858,719.51,1.0250688435710744,5,0,complementaria_disponibilidad_propia
1,hgb,5,964.5828177475346,752.1398431804575,1.0714237510405942,5,0,principal_fechas_comunes
1,hibrido,5,877.3112988309194,739.924790971908,1.056032371307794,5,0,principal_fechas_comunes
1,promedio_4s,5,1077.8986462075238,935.1342923076924,1.3378681698641182,5,0,complementaria_disponibilidad_propia
1,ss_ar1,5,853.8644815386767,735.8531069023915,1.0509019113968603,5,0,principal_fechas_comunes
1,ultimo_valor,5,749.8552902919573,644.8191692307693,0.9257731632196797,5,0,principal_fechas_comunes
2,estacional_52s,5,735.4593445391653,530.5036615384615,0.7456680390045737,5,0,complementaria_disponibilidad_propia
2,hgb,5,592.6163633835877,549.114454390112,0.788550394419692,5,0,principal_fechas_comunes
2,hibrido,5,519.8310430370765,467.8628384140526,0.6719726915863153,5,0,principal_fechas_comunes
2,promedio_4s,5,429.725993726365,301.9693692307693,0.4270004461873393,5,0,complementaria_disponibilidad_propia
2,ss_ar1,5,413.0655025204379,349.00012399017453,0.4998089280137032,5,0,principal_fechas_comunes
2,ultimo_valor,5,405.7234727866321,331.98283076923076,0.4752770606969686,5,0,principal_fechas_comunes
3,estacional_52s,5,671.1039584238291,525.4596615384614,0.7491658485970099,5,0,complementaria_disponibilidad_propia
3,hibrido,5,471.8189516439962,431.5405197880476,0.6173180180108304,5,0,principal_fechas_comunes
3,promedio_4s,5,626.099213306829,515.0448769230769,0.7313984459072445,5,0,complementaria_disponibilidad_propia
3,rf,5,492.6720365574152,415.8645940275289,0.5952228441276997,5,0,principal_fechas_comunes
3,ss_ar1,5,470.03873009332983,436.76582837488723,0.6246830759718741,5,0,principal_fechas_comunes
3,ultimo_valor,5,759.0412981107622,660.8776615384616,0.9390497368777646,5,0,principal_fechas_comunes
4,estacional_52s,5,812.8474764509525,479.4408307692308,0.679356079731253,5,0,complementaria_disponibilidad_propia
4,hgb,5,939.4291478980706,711.8976237075145,1.0104405081556487,5,0,principal_fechas_comunes
4,hibrido,5,895.5673047008266,668.8647923612467,0.9478190422320518,5,0,principal_fechas_comunes
4,promedio_4s,5,917.8067748906208,634.9081230769231,0.9029086082923976,5,0,complementaria_disponibilidad_propia
4,ss_ar1,5,783.9605917826306,616.2140487158864,0.8733933829374395,5,0,principal_fechas_comunes
4,ultimo_valor,5,1190.8411243906553,928.7459999999999,1.3105118752021858,5,0,principal_fechas_comunes
