origen,fecha_objetivo,horizonte,modelo,real,prediccion,escala_mase
2025-07-07,2025-07-07,1,ss_ar1,756.0,1389.7231659337392,525.0866666666667
2025-07-07,2025-07-07,1,hgb,756.0,708.725,525.0866666666667
2025-07-07,2025-07-07,1,hibrido,756.0,1049.2240829668697,525.0866666666667
2025-07-07,2025-07-07,1,ultimo_valor,756.0,1987.0,525.0866666666667
2025-07-07,2025-07-07,1,promedio_4s,756.0,1247.3033333333333,525.0866666666667
2025-07-07,2025-07-07,1,estacional_52s,756.0,,525.0866666666667
2025-07-07,2025-07-14,2,ss_ar1,519.0,1072.0085950616924,525.0866666666667
2025-07-07,2025-07-14,2,hgb,519.0,708.725,525.0866666666667
2025-07-07,2025-07-14,2,hibrido,519.0,890.3667975308463,525.0866666666667
2025-07-07,2025-07-14,2,ultimo_valor,519.0,1987.0,525.0866666666667
2025-07-07,2025-07-14,2,promedio_4s,519.0,1247.3033333333333,525.0866666666667
2025-07-07,2025-07-14,2,estacional_52s,519.0,,525.0866666666667
2025-07-07,2025-07-21,3,ss_ar1,336.9,903.0039680829562,525.0866666666667
2025-07-07,2025-07-21,3,hgb,336.9,708.725,525.0866666666667
2025-07-07,2025-07-21,3,hibrido,336.9,805.8644840414781,525.0866666666667
2025-07-07,2025-07-21,3,ultimo_valor,336.9,1987.0,525.0866666666667
2025-07-07,2025-07-21,3,promedio_4s,336.9,1247.3033333333333,525.0866666666667
2025-07-07,2025-07-21,3,estacional_52s,336.9,,525.0866666666667
2025-07-07,2025-07-28,4,ss_ar1,5.0,813.1038924842053,525.0866666666667
2025-07-07,2025-07-28,4,hgb,5.0,708.725,525.0866666666667
2025-07-07,2025-07-28,4,hibrido,5.0,760.9144462421027,525.0866666666667
2025-07-07,2025-07-28,4,ultimo_valor,5.0,1987.0,525.0866666666667
2025-07-07,2025-07-28,4,promedio_4s,5.0,1247.3033333333333,525.0866666666667
2025-07-07,2025-07-28,4,estacional_52s,5.0,,525.0866666666667
