semana_inicio,importe_nominal,available_at,es_sintetico,estado_dato
2016-12-05,,,,ausente_fuera_de_alcance
2016-12-12,,,,ausente_fuera_de_alcance
2016-12-19,,,,ausente_fuera_de_alcance
2016-12-26,,,,ausente_fuera_de_alcance
2017-01-02,,,,ausente_fuera_de_alcance
2017-01-09,,,,ausente_fuera_de_alcance
2017-01-16,,,,ausente_fuera_de_alcance
2017-01-23,,,,ausente_fuera_de_alcance
2017-01-30,,,,ausente_fuera_de_alcance
2017-02-06,,,,ausente_fuera_de_alcance
2017-02-13,,,,ausente_fuera_de_alcance
2017-02-20,,,,ausente_fuera_de_alcance
2017-02-27,,,,ausente_fuera_de_alcance
2017-03-06,,,,ausente_fuera_de_alcance
2017-03-13,,,,ausente_fuera_de_alcance
2017-03-20,,,,ausente_fuera_de_alcance
2017-03-27,,,,ausente_fuera_de_alcance
2017-04-03,,,,ausente_fuera_de_alcance
2017-04-10,,,,ausente_fuera_de_alcance
2017-04-17,,,,ausente_fuera_de_alcance
2017-04-24,,,,ausente_fuera_de_alcance
2017-05-01,,,,ausente_fuera_de_alcance
2017-05-08,,,,ausente_fuera_de_alcance
2017-05-15,,,,ausente_fuera_de_alcance
2017-05-22,,,,ausente_fuera_de_alcance
2017-05-29,,,,ausente_fuera_de_alcance
2017-06-05,,,,ausente_fuera_de_alcance
2017-06-12,,,,ausente_fuera_de_alcance
2017-06-19,,,,ausente_fuera_de_alcance
2017-06-26,,,,ausente_fuera_de_alcance
2017-07-03,,,,ausente_fuera_de_alcance
2017-07-10,,,,ausente_fuera_de_alcance
2017-07-17,,,,ausente_fuera_de_alcance
2017-07-24,,,,ausente_fuera_de_alcance
2017-07-31,,,,ausente_fuera_de_alcance
2017-08-07,,,,ausente_fuera_de_alcance
2017-08-14,,,,ausente_fuera_de_alcance
2017-08-21,,,,ausente_fuera_de_alcance
2017-08-28,,,,ausente_fuera_de_alcance
2017-09-04,,,,ausente_fuera_de_alcance
2017-09-11,,,,ausente_fuera_de_alcance
2017-09-18,,,,ausente_fuera_de_alcance
2017-09-25,,,,ausente_fuera_de_alcance
2017-10-02,,,,ausente_fuera_de_alcance
2017-10-09,,,,ausente_fuera_de_alcance
2017-10-16,,,,ausente_fuera_de_alcance
2017-10-23,,,,ausente_fuera_de_alcance
2017-10-30,,,,ausente_fuera_de_alcance
2017-11-06,,,,ausente_fuera_de_alcance
2017-11-13,,,,ausente_fuera_de_alcance
2017-11-20,,,,ausente_fuera_de_alcance
2017-11-27,,,,ausente_fuera_de_alcance
2017-12-04,,,,ausente_fuera_de_alcance
2017-12-11,,,,ausente_fuera_de_alcance
2017-12-18,,,,ausente_fuera_de_alcance
2017-12-25,,,,ausente_fuera_de_alcance
2018-01-01,,,,ausente_fuera_de_alcance
2018-01-08,,,,ausente_fuera_de_alcance
2018-01-15,,,,ausente_fuera_de_alcance
2018-01-22,,,,ausente_fuera_de_alcance
2018-01-29,,,,ausente_fuera_de_alcance
2018-02-05,,,,ausente_fuera_de_alcance
2018-02-12,,,,ausente_fuera_de_alcance
2018-02-19,,,,ausente_fuera_de_alcance
2018-02-26,,,,ausente_fuera_de_alcance
2018-03-05,,,,ausente_fuera_de_alcance
2018-03-12,,,,ausente_fuera_de_alcance
2018-03-19,,,,ausente_fuera_de_alcance
2018-03-26,,,,ausente_fuera_de_alcance
2018-04-02,,,,ausente_fuera_de_alcance
2018-04-09,,,,ausente_fuera_de_alcance
2018-04-16,,,,ausente_fuera_de_alcance
2018-04-23,,,,ausente_fuera_de_alcance
2018-04-30,,,,ausente_fuera_de_alcance
