origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total_redondeado
2025-03-24,2025-03-24,1,IMPUTADO,1.0,307.14,307.14
2025-03-24,2025-03-24,1,HARINA,3.563952602903225e-18,0.0,307.14
2025-03-24,2025-03-24,1,CHOCOLATE,1.2482468150149817e-19,0.0,307.14
2025-03-24,2025-03-24,1,FONDANT,4.784459213481962e-18,0.0,307.14
2025-03-24,2025-03-24,1,EMPAQUE,3.9581347825392444e-18,0.0,307.14
2025-03-24,2025-03-24,1,otros,1.702845926757047e-17,0.0,307.14
2025-03-24,2025-03-31,2,IMPUTADO,1.0,305.45,305.45
2025-03-24,2025-03-31,2,HARINA,3.563952602903225e-18,0.0,305.45
2025-03-24,2025-03-31,2,CHOCOLATE,1.2482468150149817e-19,0.0,305.45
2025-03-24,2025-03-31,2,FONDANT,4.784459213481962e-18,0.0,305.45
2025-03-24,2025-03-31,2,EMPAQUE,3.9581347825392444e-18,0.0,305.45
2025-03-24,2025-03-31,2,otros,1.702845926757047e-17,0.0,305.45
2025-03-24,2025-04-07,3,IMPUTADO,1.0,306.36,306.36
2025-03-24,2025-04-07,3,HARINA,3.563952602903225e-18,0.0,306.36
2025-03-24,2025-04-07,3,CHOCOLATE,1.2482468150149817e-19,0.0,306.36
2025-03-24,2025-04-07,3,FONDANT,4.784459213481962e-18,0.0,306.36
2025-03-24,2025-04-07,3,EMPAQUE,3.9581347825392444e-18,0.0,306.36
2025-03-24,2025-04-07,3,otros,1.702845926757047e-17,0.0,306.36
2025-03-24,2025-04-14,4,IMPUTADO,1.0,306.76,306.76
2025-03-24,2025-04-14,4,HARINA,3.563952602903225e-18,0.0,306.76
2025-03-24,2025-04-14,4,CHOCOLATE,1.2482468150149817e-19,0.0,306.76
2025-03-24,2025-04-14,4,FONDANT,4.784459213481962e-18,0.0,306.76
2025-03-24,2025-04-14,4,EMPAQUE,3.9581347825392444e-18,0.0,306.76
2025-03-24,2025-04-14,4,otros,1.702845926757047e-17,0.0,306.76
2025-04-14,2025-04-14,1,IMPUTADO,1.0,324.37,324.37
2025-04-14,2025-04-14,1,HARINA,2.2785590706385005e-19,0.0,324.37
2025-04-14,2025-04-14,1,CHOCOLATE,7.615636889281919e-21,0.0,324.37
2025-04-14,2025-04-14,1,FONDANT,3.0598380285219045e-19,0.0,324.37
2025-04-14,2025-04-14,1,EMPAQUE,2.5318922186864887e-19,0.0,324.37
2025-04-14,2025-04-14,1,otros,1.0888861528588966e-18,0.0,324.37
2025-04-14,2025-04-21,2,IMPUTADO,1.0,336.93,336.93
2025-04-14,2025-04-21,2,HARINA,2.2785590706385005e-19,0.0,336.93
2025-04-14,2025-04-21,2,CHOCOLATE,7.615636889281919e-21,0.0,336.93
2025-04-14,2025-04-21,2,FONDANT,3.0598380285219045e-19,0.0,336.93
2025-04-14,2025-04-21,2,EMPAQUE,2.5318922186864887e-19,0.0,336.93
2025-04-14,2025-04-21,2,otros,1.0888861528588966e-18,0.0,336.93
2025-04-14,2025-04-28,3,IMPUTADO,1.0,347.91,347.91
2025-04-14,2025-04-28,3,HARINA,2.2785590706385005e-19,0.0,347.91
2025-04-14,2025-04-28,3,CHOCOLATE,7.615636889281919e-21,0.0,347.91
2025-04-14,2025-04-28,3,FONDANT,3.0598380285219045e-19,0.0,347.91
2025-04-14,2025-04-28,3,EMPAQUE,2.5318922186864887e-19,0.0,347.91
2025-04-14,2025-04-28,3,otros,1.0888861528588966e-18,0.0,347.91
2025-04-14,2025-05-05,4,IMPUTADO,1.0,351.92,351.92
2025-04-14,2025-05-05,4,HARINA,2.2785590706385005e-19,0.0,351.92
2025-04-14,2025-05-05,4,CHOCOLATE,7.615636889281919e-21,0.0,351.92
2025-04-14,2025-05-05,4,FONDANT,3.0598380285219045e-19,0.0,351.92
2025-04-14,2025-05-05,4,EMPAQUE,2.5318922186864887e-19,0.0,351.92
2025-04-14,2025-05-05,4,otros,1.0888861528588966e-18,0.0,351.92
2025-05-05,2025-05-05,1,IMPUTADO,0.304,35.17,115.67999999999999
2025-05-05,2025-05-05,1,HARINA,0.43885714285714283,50.77,115.67999999999999
2025-05-05,2025-05-05,1,CHOCOLATE,0.0,0.0,115.67999999999999
2025-05-05,2025-05-05,1,FONDANT,1.9439112597036026e-20,0.0,115.67999999999999
2025-05-05,2025-05-05,1,EMPAQUE,0.2571428571428571,29.74,115.67999999999999
2025-05-05,2025-05-05,1,otros,6.901555286175276e-20,0.0,115.67999999999999
2025-05-05,2025-05-12,2,IMPUTADO,0.304,35.64,117.25
2025-05-05,2025-05-12,2,HARINA,0.43885714285714283,51.46,117.25
2025-05-05,2025-05-12,2,CHOCOLATE,0.0,0.0,117.25
2025-05-05,2025-05-12,2,FONDANT,1.9439112597036026e-20,0.0,117.25
2025-05-05,2025-05-12,2,EMPAQUE,0.2571428571428571,30.15,117.25
2025-05-05,2025-05-12,2,otros,6.901555286175276e-20,0.0,117.25
2025-05-05,2025-05-19,3,IMPUTADO,0.304,35.5,116.77000000000001
2025-05-05,2025-05-19,3,HARINA,0.43885714285714283,51.24,116.77000000000001
2025-05-05,2025-05-19,3,CHOCOLATE,0.0,0.0,116.77000000000001
2025-05-05,2025-05-19,3,FONDANT,1.9439112597036026e-20,0.0,116.77000000000001
2025-05-05,2025-05-19,3,EMPAQUE,0.2571428571428571,30.03,116.77000000000001
2025-05-05,2025-05-19,3,otros,6.901555286175276e-20,0.0,116.77000000000001
2025-05-05,2025-05-26,4,IMPUTADO,0.304,35.19,115.74
2025-05-05,2025-05-26,4,HARINA,0.43885714285714283,50.79,115.74
2025-05-05,2025-05-26,4,CHOCOLATE,0.0,0.0,115.74
2025-05-05,2025-05-26,4,FONDANT,1.9439112597036026e-20,0.0,115.74
2025-05-05,2025-05-26,4,EMPAQUE,0.2571428571428571,29.76,115.74
2025-05-05,2025-05-26,4,otros,6.901555286175276e-20,0.0,115.74
2025-05-26,2025-05-26,1,IMPUTADO,0.259456,77.49,298.67
2025-05-26,2025-05-26,1,HARINA,0.1643924087543863,49.1,298.67
2025-05-26,2025-05-26,1,CHOCOLATE,0.0,0.0,298.67
2025-05-26,2025-05-26,1,FONDANT,1.2441032062103059e-21,0.0,298.67
2025-05-26,2025-05-26,1,EMPAQUE,0.33483825997383687,100.01,298.67
2025-05-26,2025-05-26,1,otros,0.24131333127177676,72.07,298.67
2025-05-26,2025-06-02,2,IMPUTADO,0.259456,80.55,310.43999999999994
2025-05-26,2025-06-02,2,HARINA,0.1643924087543863,51.03,310.43999999999994
2025-05-26,2025-06-02,2,CHOCOLATE,0.0,0.0,310.43999999999994
2025-05-26,2025-06-02,2,FONDANT,1.2441032062103059e-21,0.0,310.43999999999994
2025-05-26,2025-06-02,2,EMPAQUE,0.33483825997383687,103.95,310.43999999999994
2025-05-26,2025-06-02,2,otros,0.24131333127177676,74.91,310.43999999999994
2025-05-26,2025-06-09,3,IMPUTADO,0.259456,81.33,313.46
2025-05-26,2025-06-09,3,HARINA,0.1643924087543863,51.53,313.46
2025-05-26,2025-06-09,3,CHOCOLATE,0.0,0.0,313.46
2025-05-26,2025-06-09,3,FONDANT,1.2441032062103059e-21,0.0,313.46
2025-05-26,2025-06-09,3,EMPAQUE,0.33483825997383687,104.96,313.46
2025-05-26,2025-06-09,3,otros,0.24131333127177676,75.64,313.46
2025-05-26,2025-06-16,4,IMPUTADO,0.259456,84.8,326.84000000000003
2025-05-26,2025-06-16,4,HARINA,0.1643924087543863,53.73,326.84000000000003
2025-05-26,2025-06-16,4,CHOCOLATE,0.0,0.0,326.84000000000003
2025-05-26,2025-06-16,4,FONDANT,1.2441032062103059e-21,0.0,326.84000000000003
2025-05-26,2025-06-16,4,EMPAQUE,0.33483825997383687,109.44,326.84000000000003
2025-05-26,2025-06-16,4,otros,0.24131333127177676,78.87,326.84000000000003
2025-06-16,2025-06-16,1,IMPUTADO,0.11260518400000002,35.89,318.71000000000004
2025-06-16,2025-06-16,1,HARINA,0.09502131328413577,30.28,318.71000000000004
2025-06-16,2025-06-16,1,CHOCOLATE,0.0,0.0,318.71000000000004
2025-06-16,2025-06-16,1,FONDANT,0.0,0.0,318.71000000000004
2025-06-16,2025-06-16,1,EMPAQUE,0.07046190670284169,22.46,318.71000000000004
2025-06-16,2025-06-16,1,otros,0.7219115960130226,230.08,318.71000000000004
2025-06-16,2025-06-23,2,IMPUTADO,0.11260518400000002,38.73,343.97999999999996
2025-06-16,2025-06-23,2,HARINA,0.09502131328413577,32.69,343.97999999999996
2025-06-16,2025-06-23,2,CHOCOLATE,0.0,0.0,343.97999999999996
2025-06-16,2025-06-23,2,FONDANT,0.0,0.0,343.97999999999996
2025-06-16,2025-06-23,2,EMPAQUE,0.07046190670284169,24.24,343.97999999999996
2025-06-16,2025-06-23,2,otros,0.7219115960130226,248.32,343.97999999999996
