origen,fecha_objetivo,horizonte,modelo,insumo_id,real,prediccion
2025-03-24,2025-03-24,1,participacion_historica,IMPUTADO,1.0,0.8846153846153846
2025-03-24,2025-03-24,1,participacion_historica,HARINA,0.0,0.01667183005058607
2025-03-24,2025-03-24,1,participacion_historica,CHOCOLATE,0.0,0.03216204755330207
2025-03-24,2025-03-24,1,participacion_historica,FONDANT,0.0,0.008920419349727217
2025-03-24,2025-03-24,1,participacion_historica,EMPAQUE,0.0,0.0072809055456851245
2025-03-24,2025-03-24,1,participacion_historica,otros,0.0,0.05034941288531491
2025-03-24,2025-03-24,1,participacion_ewm,IMPUTADO,1.0,1.0
2025-03-24,2025-03-24,1,participacion_ewm,HARINA,0.0,3.563952602903225e-18
2025-03-24,2025-03-24,1,participacion_ewm,CHOCOLATE,0.0,1.2482468150149817e-19
2025-03-24,2025-03-24,1,participacion_ewm,FONDANT,0.0,4.784459213481962e-18
2025-03-24,2025-03-24,1,participacion_ewm,EMPAQUE,0.0,3.9581347825392444e-18
2025-03-24,2025-03-24,1,participacion_ewm,otros,0.0,1.702845926757047e-17
2025-03-24,2025-03-31,2,participacion_historica,IMPUTADO,1.0,0.8846153846153846
2025-03-24,2025-03-31,2,participacion_historica,HARINA,0.0,0.01667183005058607
2025-03-24,2025-03-31,2,participacion_historica,CHOCOLATE,0.0,0.03216204755330207
2025-03-24,2025-03-31,2,participacion_historica,FONDANT,0.0,0.008920419349727217
2025-03-24,2025-03-31,2,participacion_historica,EMPAQUE,0.0,0.0072809055456851245
2025-03-24,2025-03-31,2,participacion_historica,otros,0.0,0.05034941288531491
2025-03-24,2025-03-31,2,participacion_ewm,IMPUTADO,1.0,1.0
2025-03-24,2025-03-31,2,participacion_ewm,HARINA,0.0,3.563952602903225e-18
2025-03-24,2025-03-31,2,participacion_ewm,CHOCOLATE,0.0,1.2482468150149817e-19
2025-03-24,2025-03-31,2,participacion_ewm,FONDANT,0.0,4.784459213481962e-18
2025-03-24,2025-03-31,2,participacion_ewm,EMPAQUE,0.0,3.9581347825392444e-18
2025-03-24,2025-03-31,2,participacion_ewm,otros,0.0,1.702845926757047e-17
2025-03-24,2025-04-07,3,participacion_historica,IMPUTADO,1.0,0.8846153846153846
2025-03-24,2025-04-07,3,participacion_historica,HARINA,0.0,0.01667183005058607
2025-03-24,2025-04-07,3,participacion_historica,CHOCOLATE,0.0,0.03216204755330207
2025-03-24,2025-04-07,3,participacion_historica,FONDANT,0.0,0.008920419349727217
2025-03-24,2025-04-07,3,participacion_historica,EMPAQUE,0.0,0.0072809055456851245
2025-03-24,2025-04-07,3,participacion_historica,otros,0.0,0.05034941288531491
2025-03-24,2025-04-07,3,participacion_ewm,IMPUTADO,1.0,1.0
2025-03-24,2025-04-07,3,participacion_ewm,HARINA,0.0,3.563952602903225e-18
2025-03-24,2025-04-07,3,participacion_ewm,CHOCOLATE,0.0,1.2482468150149817e-19
2025-03-24,2025-04-07,3,participacion_ewm,FONDANT,0.0,4.784459213481962e-18
