PROVEEDOR,fecha,NUMERO,CANT,U#MEDIDA,descripcion,importe_nominal,P#UNITARIO,CLASIFICACION,SUBCLASIFICACION,registro_id,descripcion_normalizada,es_sintetico,motivo,semana_inicio
repostearte,2025-07-30,24221,1.0,pz,disco dorado pasteloso 16 cm,5.0,5.0,BASES,14,2,DISCO DORADO PASTELOSO 16 CM,False,,2025-07-28
cravioto,2025-07-22,219757,1.0,paq,celofan 9x12 100 pz,12.9,12.9,EMPAQUE,14,3,CELOFAN 9X12 100 PZ,False,,2025-07-21
repostearte,2025-07-22,25035,1.0,pz,disco blanco pasteloso 20 cm,6.0,6.0,BASES,14,4,DISCO BLANCO PASTELOSO 20 CM,False,,2025-07-21
MEGA PLAST,2025-07-22,138444,1.0,lts,Crema para batir ambiante 1 lt,72.0,72.0,AMBIANTE,14,5,CREMA PARA BATIR AMBIANTE 1 LT,False,,2025-07-21
megaplast,2025-07-22,138444,3.0,kg,tegral satin red velet cake puratos,246.0,82.0,HARINA,RED VELVET,6,TEGRAL SATIN RED VELET CAKE PURATOS,False,,2025-07-21
repostearte,2025-07-17,24816,2.0,paq,caja cupcake 12 cav,52.0,26.0,EMPAQUE,14,7,CAJA CUPCAKE 12 CAV,False,,2025-07-14
MEGA PLAST,2025-07-17,137343,1.0,Kg,queso crema philadelphia,45.0,45.0,QUESO CREMA,14,8,QUESO CREMA PHILADELPHIA,False,,2025-07-14
megaplast,2025-07-17,137343,1.0,kg,tegral satin creme cake vainilla,64.0,64.0,HARINA,VAINILLA,9,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-07-14
b. aurrera,2025-07-16,316955,1.0,paq,au huevo 3,95.0,95.0,HUEVO,14,10,AU HUEVO 3,False,,2025-07-14
b. aurrera,2025-07-16,316955,1.0,paq,chant dull,91.0,91.0,CHANTILLY,14,11,CHANT DULL,False,,2025-07-14
megaplast,2025-07-14,136719,5.0,kg,rompope coronado,85.0,170.0,LICORES,rompope,12,ROMPOPE CORONADO,False,,2025-07-14
repostearte,2025-07-14,24699,1.0,kg,fondant sabor nata coco blanco,87.0,92.0,FONDANT,nata coco,13,FONDANT SABOR NATA COCO BLANCO,False,,2025-07-14
b. aurera,2025-07-12,625103,1.0,paq,chant dull,91.0,91.0,CHANTILLY,14,14,CHANT DULL,False,,2025-07-07
MEGA PLAST,2025-07-10,135845,1.0,kg,cocoa hershey's c 1kg,42.0,420.0,CHOCOLATE,cocoa,15,COCOA HERSHEY'S C 1KG,False,,2025-07-07
mega plast,2025-07-10,135845,1.0,kg,tegral satin creme cake vainilla,64.0,64.0,HARINA,VAINILLA,16,TEGRAL SATIN CREME CAKE VAINILLA,False,,2025-07-07
MEGA PLAST,2025-07-10,135845,1.0,kg,confiter  chocolate semi amargo,29.0,290.0,CHOCOLATE,CHOCOLATE,17,CONFITER CHOCOLATE SEMI AMARGO,False,,2025-07-07
MEGA PLAST,2025-07-10,135845,2.0,paq,queso crema philadelphia,90.0,45.0,QUESO CREMA,14,18,QUESO CREMA PHILADELPHIA,False,,2025-07-07
MEGA PLAST,2025-07-10,135845,1.0,lts,Crema para batir ambiante 1 lt,72.0,72.0,AMBIANTE,14,19,CREMA PARA BATIR AMBIANTE 1 LT,False,,2025-07-07
MEGA PLAST,2025-07-10,135845,2.0,kg,Tegral Satin Creme cake chocolate,158.0,79.0,HARINA,CHOCOLATE,20,TEGRAL SATIN CREME CAKE CHOCOLATE,False,,2025-07-07
repostearte,2025-07-10,24501,1.0,pz,plumon ma market,30.0,30.0,DECORACION,14,21,PLUMON MA MARKET,False,,2025-07-07
REPOSTEARTE,2025-07-10,24501,3.0,pz,base dorada pasteloso 30 cm,39.0,13.0,BASES,14,22,BASE DORADA PASTELOSO 30 CM,False,,2025-07-07
REPOSTEARTE,2025-07-10,24501,1.0,pz,pegamento de fondant,45.0,45.0,DECORACION,14,23,PEGAMENTO DE FONDANT,False,,2025-07-07
