insumo,importe,acumulado_pct
IMPUTADO,169501.155,65.91980298085763
HARINA,11270.18,70.30282942783847
CHOCOLATE,9703.300000000001,74.0764888124259
FONDANT,9540.0,77.78664005261881
EMPAQUE,7965.01,80.88427021295938
CHANTILLY,7658.0,83.86250272840982
RELLENO,7132.27,86.63627635376525
DECORACION,5617.15,88.82081262618135
AMBIANTE,2855.5,89.9313301174152
HUEVO,2726.65,90.9917372326219
CAPACILLOS,2251.16,91.86722403197962
BASES,2091.01,92.68042773688066
DOMO,2000.0,93.45823722119782
OTROS,1991.5700000000002,94.23276823853861
QUESO CREMA,1860.9,94.95648107322152
MANTEQUILLA,1795.5,95.65475953776726
ADMINISTRACION,1450.0,96.21867141389721
NO DEFINIDO,1340.5900000000001,96.74003322218759
TRANSFER,990.0,97.1250489169246
GALLETAS,952.03,97.49529789860183
ACEITE,909.5,97.84900676159506
CONSUMIBLES,793.45,98.15758322926081
DULCERIA,768.29,98.45637485361382
CASETAS,725.0,98.73833079167879
COLORANTES,722.0,99.01912001551729
ROYALICING,679.0,99.28318633544298
LICORES,639.0,99.53169646568232
AZUCAR,590.46,99.76132915973727
HORNEADO,279.5,99.8700280351706
LECHERA,154.4,99.93007492735988
LECHE EN POLVO,49.0,99.94913125972566
LECHE,48.8,99.96810981114298
JARABE,45.0,99.98561052454012
MANTECA VEGETAL,22.0,99.99416642886762
SABORIZANTE,15.0,99.99999999999999
CINTA,0.0,99.99999999999999
VELAS,0.0,99.99999999999999
