horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,6,599.8904325965145,509.97416666666663,8.720534346609446,6,0,complementaria_disponibilidad_propia
1,hibrido,6,630.2653929788643,472.98593470249983,13.785472321905216,6,0,principal_fechas_comunes
1,promedio_4s,6,494.03638226401995,393.6458333333333,12.755069871467176,6,0,complementaria_disponibilidad_propia
1,rf,6,442.66274877770076,313.1453285069976,11.248354371974834,6,0,principal_fechas_comunes
1,ss_arima111,6,716.9844168511978,528.7817331389194,14.678197764173133,6,0,principal_fechas_comunes
1,ultimo_valor,6,696.9430881983836,518.0341666666667,14.507498024785477,6,0,principal_fechas_comunes
2,estacional_52s,6,517.7061252172897,332.4741666666667,8.107392047091485,6,0,complementaria_disponibilidad_propia
2,hibrido,6,744.3648915818139,554.5943350789438,13.59560960782162,6,0,principal_fechas_comunes
2,promedio_4s,6,619.046880690136,473.07750000000004,12.498850303826378,6,0,complementaria_disponibilidad_propia
2,rf,6,516.2432130502408,361.8901068206151,10.540816074648383,6,0,principal_fechas_comunes
2,ss_arima111,6,846.1555877405898,621.6577353052651,14.66606139973346,6,0,principal_fechas_comunes
2,ultimo_valor,6,839.0824048849433,612.5124999999999,14.532518378568433,6,0,principal_fechas_comunes
3,estacional_52s,6,933.6806499726409,671.34,17.658415547580013,6,0,complementaria_disponibilidad_propia
3,hibrido,6,892.6971133085852,587.823218601341,11.645991761040342,6,0,principal_fechas_comunes
3,promedio_4s,6,779.8353643695278,523.3216666666666,10.86623608533825,6,0,complementaria_disponibilidad_propia
3,rf,6,678.281312846538,422.23827156889394,9.112295973884585,6,0,principal_fechas_comunes
3,ss_arima111,6,987.0567181550227,643.0182009454899,12.490557023425595,6,0,principal_fechas_comunes
3,ultimo_valor,6,985.9081397709762,632.6633333333333,12.337424317232795,6,0,principal_fechas_comunes
4,estacional_52s,6,434.5795567221649,383.95416666666665,10.821000696075862,6,0,complementaria_disponibilidad_propia
4,hibrido,6,830.8846023213952,646.0059386315585,11.618714517516219,6,0,principal_fechas_comunes
4,promedio_4s,6,621.2544916324046,517.2895833333333,9.641251742771466,6,0,complementaria_disponibilidad_propia
4,rf,6,520.8959156647727,454.7454324983999,8.61735230194079,6,0,principal_fechas_comunes
4,ss_arima111,6,946.048401131269,709.7594406759448,12.619168589374695,6,0,principal_fechas_comunes
4,ultimo_valor,6,935.2982622604941,718.2941666666667,12.825727844458134,6,0,principal_fechas_comunes
