semana_inicio,registros_detectados,importe_registrado_MXN,articulos_con_cero,estado,evidencia,fecha_revision
2016-12-05,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2016-12-12,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2016-12-19,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2016-12-26,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-01-02,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-01-09,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-01-16,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-01-23,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-01-30,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-02-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-02-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-02-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-02-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-03-06,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-03-13,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-03-20,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-03-27,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-04-03,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-04-10,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-04-17,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-04-24,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-05-01,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-05-08,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-05-15,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-05-22,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
2017-05-29,,,,observada,Transacciones presentes en la fuente; exhaustividad no certificada.,2026-09-22
