semana_inicio,total
2016-12-05,1240.0
2016-12-12,865.75
2016-12-19,865.75
2016-12-26,865.75
2017-01-02,865.75
2017-01-09,865.75
2017-01-16,865.75
2017-01-23,865.75
2017-01-30,865.75
2017-02-06,865.75
2017-02-13,865.75
2017-02-20,865.75
2017-02-27,865.75
2017-03-06,865.75
2017-03-13,865.75
2017-03-20,865.75
2017-03-27,865.75
2017-04-03,865.75
2017-04-10,865.75
2017-04-17,865.75
2017-04-24,865.75
2017-05-01,865.75
2017-05-08,865.75
2017-05-15,865.75
2017-05-22,865.75
2017-05-29,865.75
2017-06-05,865.75
2017-06-12,865.75
2017-06-19,865.75
2017-06-26,865.75
2017-07-03,865.75
2017-07-10,865.75
2017-07-17,865.75
2017-07-24,865.75
2017-07-31,865.75
2017-08-07,865.75
2017-08-14,865.75
2017-08-21,865.75
2017-08-28,865.75
2017-09-04,865.75
2017-09-11,865.75
2017-09-18,865.75
2017-09-25,865.75
2017-10-02,865.75
2017-10-09,865.75
2017-10-16,865.75
2017-10-23,865.75
2017-10-30,865.75
2017-11-06,865.75
2017-11-13,865.75
2017-11-20,865.75
2017-11-27,865.75
2017-12-04,865.75
2017-12-11,865.75
2017-12-18,865.75
2017-12-25,865.75
2018-01-01,865.75
2018-01-08,865.75
2018-01-15,865.75
2018-01-22,865.75
2018-01-29,865.75
2018-02-05,865.75
2018-02-12,865.75
2018-02-19,865.75
2018-02-26,865.75
2018-03-05,865.75
2018-03-12,865.75
2018-03-19,865.75
2018-03-26,865.75
2018-04-02,865.75
2018-04-09,865.75
2018-04-16,865.75
2018-04-23,865.75
2018-04-30,865.75
2018-05-07,865.75
2018-05-14,865.75
2018-05-21,865.75
2018-05-28,865.75
2018-06-04,865.75
2018-06-11,865.75
2018-06-18,865.75
2018-06-25,865.75
2018-07-02,865.75
2018-07-09,865.75
2018-07-16,865.75
2018-07-23,865.75
2018-07-30,865.75
2018-08-06,865.75
2018-08-13,865.75
2018-08-20,865.75
2018-08-27,865.75
2018-09-03,865.75
2018-09-10,865.75
2018-09-17,865.75
2018-09-24,865.75
2018-10-01,865.75
2018-10-08,865.75
2018-10-15,865.75
2018-10-22,865.75
2018-10-29,865.75
2018-11-05,865.75
2018-11-12,865.75
2018-11-19,865.75
2018-11-26,865.75
2018-12-03,865.75
2018-12-10,865.75
2018-12-17,865.75
2018-12-24,865.75
2018-12-31,865.75
2019-01-07,865.75
2019-01-14,865.75
2019-01-21,491.5
2019-01-28,551.75
2019-02-04,551.75
2019-02-11,551.75
2019-02-18,551.75
2019-02-25,551.75
2019-03-04,551.75
2019-03-11,551.75
2019-03-18,551.75
2019-03-25,551.75
2019-04-01,551.75
2019-04-08,551.75
2019-04-15,551.75
2019-04-22,551.75
2019-04-29,551.75
2019-05-06,551.75
2019-05-13,551.75
2019-05-20,551.75
2019-05-27,551.75
2019-06-03,551.75
2019-06-10,551.75
2019-06-17,612.0
2019-06-24,535.25
2019-07-01,535.25
2019-07-08,535.25
2019-07-15,535.25
2019-07-22,535.25
2019-07-29,535.25
2019-08-05,535.25
2019-08-12,535.25
2019-08-19,535.25
2019-08-26,535.25
2019-09-02,535.25
2019-09-09,458.5
2019-09-16,415.5
2019-09-23,372.5
2019-09-30,461.75
2019-10-07,461.75
2019-10-14,461.75
2019-10-21,461.75
2019-10-28,461.75
2019-11-04,461.75
2019-11-11,461.75
2019-11-18,461.75
2019-11-25,461.75
2019-12-02,461.75
2019-12-09,461.75
2019-12-16,461.75
2019-12-23,461.75
2019-12-30,461.75
2020-01-06,461.75
2020-01-13,461.75
2020-01-20,461.75
2020-01-27,461.75
2020-02-03,461.75
2020-02-10,461.75
2020-02-17,461.75
2020-02-24,461.75
2020-03-02,461.75
2020-03-09,461.75
2020-03-16,461.75
2020-03-23,461.75
2020-03-30,461.75
2020-04-06,461.75
2020-04-13,506.0
2020-04-20,375.5
2020-04-27,375.5
2020-05-04,375.5
2020-05-11,375.5
2020-05-18,200.0
2020-05-25,158.75
2020-06-01,158.75
2020-06-08,117.5
2020-06-15,180.25
2020-06-22,180.25
2020-06-29,180.25
2020-07-06,180.25
2020-07-13,180.25
2020-07-20,218.0
2020-07-27,194.25
2020-08-03,194.25
2020-08-10,194.25
2020-08-17,194.25
2020-08-24,194.25
2020-08-31,194.25
2020-09-07,194.25
2020-09-14,194.25
2020-09-21,145.5
2020-09-28,104.5
2020-10-05,63.5
2020-10-12,222.8
2020-10-19,72.0
2020-10-26,194.0
2020-11-02,197.5
2020-11-09,197.5
2020-11-16,59.0
2020-11-23,149.75
2020-11-30,149.75
2020-12-07,227.5
2020-12-14,379.5
2020-12-21,333.5
2020-12-28,287.5
2021-01-04,250.75
2021-01-11,250.75
2021-01-18,250.75
2021-01-25,250.75
2021-02-01,250.75
2021-02-08,250.75
2021-02-15,214.0
2021-02-22,150.0
2021-03-01,150.0
2021-03-08,86.0
2021-03-15,93.0
2021-03-22,93.0
2021-03-29,93.0
2021-04-05,93.0
2021-04-12,93.0
2021-04-19,93.0
2021-04-26,93.0
2021-05-03,100.0
2021-05-10,271.5
2021-05-17,118.0
2021-05-24,251.5
2021-05-31,60.0
2021-06-07,47.5
2021-06-14,35.0
2021-06-21,108.0
2021-06-28,106.5
2021-07-05,672.75
2021-07-12,672.75
2021-07-19,1128.0
2021-07-26,739.0
2021-08-02,693.0
2021-08-09,693.0
2021-08-16,693.0
2021-08-23,579.0
2021-08-30,406.0
2021-09-06,185.0
2021-09-13,166.0
2021-09-20,503.5
2021-09-27,543.2
2021-10-04,234.0
