horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,27046.289706852735,5
1,ss_ar1,hgb,0.5,17479.685011105736,5
1,ss_ar1,hgb,0.75,13182.318860710298,5
1,ss_ar1,rf,0.25,3466.316910728373,5
1,ss_ar1,rf,0.5,5737.031080862119,5
1,ss_ar1,rf,0.75,9299.65586250813,5
1,ss_arima111,hgb,0.25,23677.8167953648,5
1,ss_arima111,hgb,0.5,10719.852574642366,5
1,ss_arima111,hgb,0.75,3008.2402857839907,5
1,ss_arima111,rf,0.25,1565.0303494117077,5
1,ss_arima111,rf,0.5,933.4471112937736,5
1,ss_arima111,rf,0.75,592.7636377530922,5
2,ss_ar1,hgb,0.25,37656.294517863935,5
2,ss_ar1,hgb,0.5,28381.401894900737,5
2,ss_ar1,hgb,0.75,26210.36875304773,5
2,ss_ar1,rf,0.25,19457.113806595622,5
2,ss_ar1,rf,0.5,19669.479202470455,5
2,ss_ar1,rf,0.75,23564.83963104022,5
2,ss_arima111,hgb,0.25,31258.28001177957,5
2,ss_arima111,hgb,0.5,14831.22276367452,5
2,ss_arima111,hgb,0.75,4753.874877622193,5
2,ss_arima111,rf,0.25,13739.91004860283,5
2,ss_arima111,rf,0.5,7027.047735366333,5
2,ss_arima111,rf,0.75,2789.156503706256,5
3,ss_ar1,hgb,0.25,42198.862915084595,5
3,ss_ar1,hgb,0.5,34512.571633169915,5
3,ss_ar1,hgb,0.75,34494.43783149708,5
3,ss_ar1,rf,0.25,24539.950339791583,5
3,ss_ar1,rf,0.5,26701.704796822007,5
3,ss_ar1,rf,0.75,32569.875186913512,5
3,ss_arima111,hgb,0.25,33673.31724345674,5
3,ss_arima111,hgb,0.5,16330.345510335086,5
3,ss_arima111,hgb,0.75,5524.396477876134,5
3,ss_arima111,rf,0.25,15891.663191031908,5
3,ss_arima111,rf,0.5,8355.82337114474,5
3,ss_arima111,rf,0.75,3477.0923561607297,5
4,ss_ar1,hgb,0.25,98049.5767720679,5
4,ss_ar1,hgb,0.5,64331.461572921326,5
4,ss_ar1,hgb,0.75,47832.751723076464,5
4,ss_ar1,rf,0.25,28539.394200184888,5
4,ss_ar1,rf,0.5,31140.899019785174,5
4,ss_ar1,rf,0.75,37812.250027234644,5
4,ss_arima111,hgb,0.25,85382.33825979521,5
4,ss_arima111,hgb,0.5,39575.22312816048,5
4,ss_arima111,hgb,0.75,11565.751925611943,5
4,ss_arima111,rf,0.25,18484.45132312252,5
4,ss_arima111,rf,0.5,9867.721421971402,5
4,ss_arima111,rf,0.75,4157.545864980426,5
