insumo,importe,acumulado_pct
HARINA,13764.920000000002,12.79927665302131
CHOCOLATE,12048.963,24.002974954138757
FONDANT,11655.29,34.840617394573776
EMPAQUE,9810.878999999999,43.963238850442536
CHANTILLY,9341.719000000001,52.64961304628135
RELLENO,8696.44,60.73597616763627
DECORACION,6923.216,67.17351135945893
AMBIANTE,3545.7919999999995,70.47055723855374
HUEVO,3397.544,73.62975508327878
CAPACILLOS,2749.325,76.1862081018265
BASES,2554.2029999999995,78.56122741359705
DOMO,2492.1000000000004,80.87850040515782
OTROS,2474.8269999999998,83.17971214059592
QUESO CREMA,2318.772,85.33581652211645
MANTEQUILLA,2237.2799999999997,87.41614576996326
NO DEFINIDO,1657.156,88.95704815815108
ADMINISTRACION,1501.672,90.35337413535224
TRANSFER,1233.587,91.50042194155603
GALLETAS,1178.8919999999998,92.59661173793941
ACEITE,1133.2839999999999,93.65039304886913
DULCERIA,950.9300000000001,94.53461294609029
CONSUMIBLES,947.5319999999999,95.41567322145626
CASETAS,903.388,96.2556863081302
COLORANTES,896.0799999999999,97.08890406916618
ROYALICING,846.068,97.87561829629342
LICORES,796.2280000000001,98.61598892328449
AZUCAR,735.7429999999999,99.30011772334464
HORNEADO,348.26800000000003,99.6239538576189
LECHERA,192.39,99.80284722098568
LECHE EN POLVO,61.058,99.85962185054257
JARABE,56.07,99.91175840069579
LECHE,48.8,99.95713495941662
MANTECA VEGETAL,27.41,99.98262207979649
SABORIZANTE,18.689,100.00000000000004
CINTA,0.0,100.00000000000004
VELAS,0.0,100.00000000000004
