semana_inicio,IMPUTADO,HARINA,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,AMBIANTE,HUEVO,CAPACILLOS
2016-12-05,,,,,,,,,,,
2016-12-12,,,,,,,,,,,
2016-12-19,,,,,,,,,,,
2016-12-26,,,,,,,,,,,
2017-01-02,,,,,,,,,,,
2017-01-09,,,,,,,,,,,
2017-01-16,,,,,,,,,,,
2017-01-23,,,,,,,,,,,
2017-01-30,,,,,,,,,,,
2017-02-06,,,,,,,,,,,
2017-02-13,,,,,,,,,,,
2017-02-20,,,,,,,,,,,
2017-02-27,,,,,,,,,,,
2017-03-06,,,,,,,,,,,
2017-03-13,,,,,,,,,,,
2017-03-20,,,,,,,,,,,
2017-03-27,,,,,,,,,,,
2017-04-03,,,,,,,,,,,
2017-04-10,,,,,,,,,,,
2017-04-17,,,,,,,,,,,
2017-04-24,,,,,,,,,,,
2017-05-01,,,,,,,,,,,
2017-05-08,,,,,,,,,,,
2017-05-15,,,,,,,,,,,
2017-05-22,,,,,,,,,,,
2017-05-29,,,,,,,,,,,
2017-06-05,,,,,,,,,,,
2017-06-12,,,,,,,,,,,
2017-06-19,,,,,,,,,,,
2017-06-26,,,,,,,,,,,
2017-07-03,,,,,,,,,,,
2017-07-10,,,,,,,,,,,
2017-07-17,,,,,,,,,,,
2017-07-24,,,,,,,,,,,
2017-07-31,,,,,,,,,,,
2017-08-07,,,,,,,,,,,
2017-08-14,,,,,,,,,,,
2017-08-21,,,,,,,,,,,
2017-08-28,,,,,,,,,,,
2017-09-04,,,,,,,,,,,
2017-09-11,,,,,,,,,,,
2017-09-18,,,,,,,,,,,
2017-09-25,,,,,,,,,,,
2017-10-02,,,,,,,,,,,
2017-10-09,,,,,,,,,,,
2017-10-16,,,,,,,,,,,
2017-10-23,,,,,,,,,,,
2017-10-30,,,,,,,,,,,
2017-11-06,,,,,,,,,,,
2017-11-13,,,,,,,,,,,
2017-11-20,,,,,,,,,,,
2017-11-27,,,,,,,,,,,
2017-12-04,,,,,,,,,,,
2017-12-11,,,,,,,,,,,
2017-12-18,,,,,,,,,,,
2017-12-25,,,,,,,,,,,
2018-01-01,,,,,,,,,,,
2018-01-08,,,,,,,,,,,
2018-01-15,,,,,,,,,,,
2018-01-22,,,,,,,,,,,
2018-01-29,,,,,,,,,,,
2018-02-05,,,,,,,,,,,
2018-02-12,,,,,,,,,,,
2018-02-19,,,,,,,,,,,
2018-02-26,,,,,,,,,,,
2018-03-05,,,,,,,,,,,
2018-03-12,,,,,,,,,,,
2018-03-19,,,,,,,,,,,
2018-03-26,,,,,,,,,,,
2018-04-02,,,,,,,,,,,
2018-04-09,,,,,,,,,,,
2018-04-16,,,,,,,,,,,
2018-04-23,,,,,,,,,,,
2018-04-30,,,,,,,,,,,
2018-05-07,,,,,,,,,,,
2018-05-14,,,,,,,,,,,
2018-05-21,,,,,,,,,,,
2018-05-28,,,,,,,,,,,
2018-06-04,,,,,,,,,,,
2018-06-11,,,,,,,,,,,
2018-06-18,,,,,,,,,,,
2018-06-25,,,,,,,,,,,
2018-07-02,,,,,,,,,,,
2018-07-09,,,,,,,,,,,
2018-07-16,,,,,,,,,,,
2018-07-23,,,,,,,,,,,
2018-07-30,,,,,,,,,,,
2018-08-06,,,,,,,,,,,
2018-08-13,,,,,,,,,,,
2018-08-20,,,,,,,,,,,
2018-08-27,,,,,,,,,,,
2018-09-03,,,,,,,,,,,
2018-09-10,,,,,,,,,,,
2018-09-17,,,,,,,,,,,
2018-09-24,,,,,,,,,,,
2018-10-01,,,,,,,,,,,
2018-10-08,,,,,,,,,,,
2018-10-15,,,,,,,,,,,
2018-10-22,,,,,,,,,,,
2018-10-29,,,,,,,,,,,
2018-11-05,,,,,,,,,,,
2018-11-12,,,,,,,,,,,
2018-11-19,,,,,,,,,,,
2018-11-26,,,,,,,,,,,
2018-12-03,,,,,,,,,,,
2018-12-10,,,,,,,,,,,
2018-12-17,,,,,,,,,,,
2018-12-24,,,,,,,,,,,
2018-12-31,,,,,,,,,,,
2019-01-07,,,,,,,,,,,
2019-01-14,,,,,,,,,,,
2019-01-21,0.0,0.38120950323974084,0.06371490280777538,0.0,0.13606911447084233,0.3434125269978402,0.0,0.0755939524838013,0.0,0.0,0.0
2019-01-28,,,,,,,,,,,
2019-02-04,,,,,,,,,,,
2019-02-11,,,,,,,,,,,
2019-02-18,,,,,,,,,,,
2019-02-25,,,,,,,,,,,
2019-03-04,,,,,,,,,,,
2019-03-11,,,,,,,,,,,
2019-03-18,,,,,,,,,,,
2019-03-25,,,,,,,,,,,
2019-04-01,,,,,,,,,,,
2019-04-08,,,,,,,,,,,
2019-04-15,,,,,,,,,,,
2019-04-22,,,,,,,,,,,
2019-04-29,,,,,,,,,,,
2019-05-06,,,,,,,,,,,
2019-05-13,,,,,,,,,,,
2019-05-20,,,,,,,,,,,
2019-05-27,,,,,,,,,,,
2019-06-03,,,,,,,,,,,
2019-06-10,,,,,,,,,,,
2019-06-17,0.0,0.3247422680412371,0.030068728522336774,0.0,0.06872852233676977,0.281786941580756,0.24570446735395188,0.04896907216494845,0.0,0.0,0.0
2019-06-24,,,,,,,,,,,
2019-07-01,,,,,,,,,,,
2019-07-08,,,,,,,,,,,
2019-07-15,,,,,,,,,,,
2019-07-22,,,,,,,,,,,
2019-07-29,,,,,,,,,,,
2019-08-05,,,,,,,,,,,
2019-08-12,,,,,,,,,,,
2019-08-19,,,,,,,,,,,
2019-08-26,,,,,,,,,,,
2019-09-02,,,,,,,,,,,
2019-09-09,0.0,0.3984198645598194,0.039503386004514675,0.2144469525959368,0.11512415349887133,0.17607223476297967,0.0,0.0,0.0,0.0,0.056433408577878104
2019-09-16,,,,,,,,,,,
2019-09-23,0.0,0.49402985074626865,0.0,0.0,0.15223880597014924,0.0,0.14776119402985075,0.04477611940298507,0.0,0.0,0.16119402985074627
2019-09-30,,,,,,,,,,,
2019-10-07,,,,,,,,,,,
2019-10-14,,,,,,,,,,,
2019-10-21,,,,,,,,,,,
2019-10-28,,,,,,,,,,,
2019-11-04,,,,,,,,,,,
2019-11-11,,,,,,,,,,,
2019-11-18,,,,,,,,,,,
2019-11-25,,,,,,,,,,,
2019-12-02,,,,,,,,,,,
2019-12-09,,,,,,,,,,,
2019-12-16,,,,,,,,,,,
2019-12-23,,,,,,,,,,,
2019-12-30,,,,,,,,,,,
2020-01-06,,,,,,,,,,,
2020-01-13,,,,,,,,,,,
2020-01-20,,,,,,,,,,,
2020-01-27,,,,,,,,,,,
2020-02-03,,,,,,,,,,,
2020-02-10,,,,,,,,,,,
2020-02-17,,,,,,,,,,,
2020-02-24,,,,,,,,,,,
2020-03-02,,,,,,,,,,,
2020-03-09,,,,,,,,,,,
2020-03-16,,,,,,,,,,,
2020-03-23,,,,,,,,,,,
2020-03-30,,,,,,,,,,,
2020-04-06,,,,,,,,,,,
2020-04-13,0.0,0.0,0.0,0.48825065274151436,0.0,0.0,0.5117493472584856,0.0,0.0,0.0,0.0
2020-04-20,,,,,,,,,,,
2020-04-27,,,,,,,,,,,
2020-05-04,,,,,,,,,,,
2020-05-11,,,,,,,,,,,
2020-05-18,0.0,0.36111111111111105,0.0,0.3055555555555556,0.07777777777777778,0.25555555555555554,0.0,0.0,0.0,0.0,0.0
2020-05-25,,,,,,,,,,,
2020-06-01,,,,,,,,,,,
2020-06-08,0.0,0.2851063829787234,0.1829787234042553,0.0,0.0,0.0,0.0,0.0,0.425531914893617,0.0,0.10638297872340426
2020-06-15,,,,,,,,,,,
2020-06-22,,,,,,,,,,,
2020-06-29,,,,,,,,,,,
2020-07-06,,,,,,,,,,,
2020-07-13,,,,,,,,,,,
2020-07-20,0.0,0.0,0.0,0.8715596330275229,0.12844036697247707,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-27,,,,,,,,,,,
2020-08-03,,,,,,,,,,,
2020-08-10,,,,,,,,,,,
2020-08-17,,,,,,,,,,,
