id,titulo,estado,archivo,vector,datos,sha256_datos,run_id,capitulo,motivo,demostracion
F00,Arquitectura del pipeline,generada,figuras/F00.png,figuras/F00.svg,figuras/F00_datos.csv,11efe7324df1aa22d36bf7f40420138754aa6383b65e2afd06588de39f8a1a9c,run_20260923T171125Z_d8e714,Metodología,,False
F01,Auditoría de registros,generada,figuras/F01.png,figuras/F01.svg,figuras/F01_datos.csv,952523e19bf2116dd1219df21a1f4eeaaabec929a5f2871cce87828b178616b4,run_20260923T171125Z_d8e714,Desarrollo,,False
F02,Cobertura semanal,generada,figuras/F02.png,figuras/F02.svg,figuras/F02_datos.csv,50cbcc5ce3457411ed6af61d62a4d687c60d91f888dbefad410ae510192543ba,run_20260923T171125Z_d8e714,Desarrollo,,False
F03,Importe semanal de compras,generada,figuras/F03.png,figuras/F03.svg,figuras/F03_datos.csv,e3a091caccbb5c0949537ea5563bf72199153244ece9a56cfe16dc7253c98a6f,run_20260923T171125Z_d8e714,Desarrollo,,False
F04,Selección de insumos en desarrollo,generada,figuras/F04.png,figuras/F04.svg,figuras/F04_datos.csv,0c200dafc0f5b1a5e195583173ee520326227793662daf6c5abc0a3b7e98d94a,run_20260923T171125Z_d8e714,Desarrollo,,False
F05,Composición semanal en desarrollo,generada,figuras/F05.png,figuras/F05.svg,figuras/F05_datos.csv,0111adf5f3bc2ea9618407f4d7992044d4e41c7d316b901dac656155f038cbaf,run_20260923T171125Z_d8e714,Desarrollo,,False
F06,Dependencia temporal en desarrollo,omitida,,,,,run_20260923T171125Z_d8e714,Desarrollo,ACF/PACF requiere desarrollo continuo observado; no se comprimen ni imputan huecos.,False
F07,Distribución del importe y ceros,generada,figuras/F07.png,figuras/F07.svg,figuras/F07_datos.csv,fb940ab353b0fa73280fa036a804ca629a77a9f4f12ab013d1c47d23a7f0a746,run_20260923T171125Z_d8e714,Desarrollo,,False
F08,Descomposición temporal exploratoria,omitida,,,,,run_20260923T171125Z_d8e714,Desarrollo,STL requiere al menos 156 semanas de desarrollo sin huecos en esta configuración.,False
F09,Particiones temporales,generada,figuras/F09.png,figuras/F09.svg,figuras/F09_datos.csv,3d29e351e5b79229e9ec734d8762dba357b44a4a5e9e2e3925f9e2d220fa803d,run_20260923T171125Z_d8e714,Desarrollo,,False
F10,Disponibilidad de información,generada,figuras/F10.png,figuras/F10.svg,figuras/F10_datos.csv,c08676101cf0de14dc28448bc646e1a0828201099969acc6bc2c66c8691817ba,run_20260923T171125Z_d8e714,Metodología,,False
F11,Selección de características,omitida,,,,,run_20260923T171125Z_d8e714,Desarrollo,"Esta versión usa un conjunto parsimonioso prefijado, sin selección por frecuencia; no se fabrican importancias.",False
F12,Integración híbrida,generada,figuras/F12.png,figuras/F12.svg,figuras/F12_datos.csv,7924e8b6c1834ca2780fe0450b22ff4deb4fc0d55ecd8a6fad5f2e6168aac366,run_20260923T171125Z_d8e714,Metodología,,False
