horizonte,modelo,insumo_id,mae_pp,n,excluidas
1,participacion_ewm,AMBIANTE,6.46226580947936,1,0
1,participacion_ewm,CAPACILLOS,6.8024264327204005,1,0
1,participacion_ewm,CHANTILLY,7.88977769638906,1,0
1,participacion_ewm,CHOCOLATE,5.2940833683197965,1,0
1,participacion_ewm,DECORACION,16.92742547998408,1,0
1,participacion_ewm,EMPAQUE,22.352544064456144,1,0
1,participacion_ewm,FONDANT,12.007587262003886,1,0
1,participacion_ewm,HARINA,15.198949944804726,1,0
1,participacion_ewm,HUEVO,12.086417178900431,1,0
1,participacion_ewm,IMPUTADO,0.0,1,0
1,participacion_ewm,RELLENO,1.5402134896973798,1,0
1,participacion_historica,AMBIANTE,6.435981637096093,1,0
1,participacion_historica,CAPACILLOS,7.9739337821486815,1,0
1,participacion_historica,CHANTILLY,10.84988942208804,1,0
1,participacion_historica,CHOCOLATE,5.925127253670794,1,0
1,participacion_historica,DECORACION,13.257549610271838,1,0
1,participacion_historica,EMPAQUE,27.668031286152683,1,0
1,participacion_historica,FONDANT,4.0708954022671415,1,0
1,participacion_historica,HARINA,1.8910579209819145,1,0
1,participacion_historica,HUEVO,14.109729880222021,1,0
1,participacion_historica,IMPUTADO,0.0,1,0
1,participacion_historica,RELLENO,0.48488305761551626,1,0
2,participacion_ewm,AMBIANTE,5.020987779037387,1,0
2,participacion_ewm,CAPACILLOS,2.128993025014847,1,0
2,participacion_ewm,CHANTILLY,16.76953727294204,1,0
2,participacion_ewm,CHOCOLATE,16.617847323662698,1,0
2,participacion_ewm,DECORACION,1.4138823350079424,1,0
2,participacion_ewm,EMPAQUE,8.984934809957432,1,0
2,participacion_ewm,FONDANT,10.357451298407424,1,0
2,participacion_ewm,HARINA,3.7553064604055386,1,0
2,participacion_ewm,HUEVO,12.335176651433759,1,0
2,participacion_ewm,IMPUTADO,0.0,1,0
2,participacion_ewm,RELLENO,1.5402134896973798,1,0
2,participacion_historica,AMBIANTE,5.047271951420655,1,0
2,participacion_historica,CAPACILLOS,0.9574856755865658,1,0
2,participacion_historica,CHANTILLY,19.729648998641014,1,0
2,participacion_historica,CHOCOLATE,5.398636701672109,1,0
2,participacion_historica,DECORACION,5.083758204720187,1,0
2,participacion_historica,EMPAQUE,14.30042203165397,1,0
2,participacion_historica,FONDANT,18.29414315814417,1,0
2,participacion_historica,HARINA,17.06319848422835,1,0
2,participacion_historica,HUEVO,10.31186395011217,1,0
2,participacion_historica,IMPUTADO,0.0,1,0
2,participacion_historica,RELLENO,0.48488305761551626,1,0
3,participacion_ewm,AMBIANTE,16.73785174952109,1,0
3,participacion_ewm,CAPACILLOS,2.128993025014847,1,0
3,participacion_ewm,CHANTILLY,6.623778922430716,1,0
3,participacion_ewm,CHOCOLATE,16.617847323662698,1,0
3,participacion_ewm,DECORACION,1.4138823350079424,1,0
3,participacion_ewm,EMPAQUE,18.45408531558942,1,0
3,participacion_ewm,FONDANT,12.007587262003886,1,0
3,participacion_ewm,HARINA,54.134953102786234,1,0
3,participacion_ewm,HUEVO,12.086417178900431,1,0
3,participacion_ewm,IMPUTADO,0.0,1,0
3,participacion_ewm,RELLENO,1.5402134896973798,1,0
3,participacion_historica,AMBIANTE,16.711567577137824,1,0
3,participacion_historica,CAPACILLOS,0.9574856755865658,1,0
3,participacion_historica,CHANTILLY,3.663667196731736,1,0
3,participacion_historica,CHOCOLATE,5.398636701672109,1,0
3,participacion_historica,DECORACION,5.083758204720187,1,0
3,participacion_historica,EMPAQUE,23.769572537285953,1,0
3,participacion_historica,FONDANT,4.0708954022671415,1,0
3,participacion_historica,HARINA,40.82706107896342,1,0
3,participacion_historica,HUEVO,14.109729880222021,1,0
3,participacion_historica,IMPUTADO,0.0,1,0
3,participacion_historica,RELLENO,0.48488305761551626,1,0
4,participacion_ewm,AMBIANTE,,0,1
4,participacion_ewm,CAPACILLOS,,0,1
4,participacion_ewm,CHANTILLY,,0,1
4,participacion_ewm,CHOCOLATE,,0,1
4,participacion_ewm,DECORACION,,0,1
4,participacion_ewm,EMPAQUE,,0,1
4,participacion_ewm,FONDANT,,0,1
4,participacion_ewm,HARINA,,0,1
4,participacion_ewm,HUEVO,,0,1
4,participacion_ewm,IMPUTADO,,0,1
4,participacion_ewm,RELLENO,,0,1
4,participacion_historica,AMBIANTE,,0,1
4,participacion_historica,CAPACILLOS,,0,1
4,participacion_historica,CHANTILLY,,0,1
4,participacion_historica,CHOCOLATE,,0,1
4,participacion_historica,DECORACION,,0,1
4,participacion_historica,EMPAQUE,,0,1
4,participacion_historica,FONDANT,,0,1
4,participacion_historica,HARINA,,0,1
4,participacion_historica,HUEVO,,0,1
4,participacion_historica,IMPUTADO,,0,1
4,participacion_historica,RELLENO,,0,1
1,participacion_ewm,PROMEDIO_MACRO,9.687426429705024,1,0
1,participacion_historica,PROMEDIO_MACRO,8.424279932046794,1,0
2,participacion_ewm,PROMEDIO_MACRO,7.1749391314151305,1,0
2,participacion_historica,PROMEDIO_MACRO,8.788301110344973,1,0
3,participacion_ewm,PROMEDIO_MACRO,12.885964518601332,1,0
3,participacion_historica,PROMEDIO_MACRO,10.46156884656386,1,0
4,participacion_ewm,PROMEDIO_MACRO,,0,1
4,participacion_historica,PROMEDIO_MACRO,,0,1
