fuente,inicio,fin,semanas_ausentes,clasificacion
compras,2016-12-12,2019-01-14,110,sin_captura_en_archivo
compras,2019-01-28,2019-06-10,20,sin_captura_en_archivo
compras,2019-06-24,2019-09-02,11,sin_captura_en_archivo
compras,2019-09-16,2019-09-16,1,sin_captura_en_archivo
compras,2019-09-30,2020-04-06,28,sin_captura_en_archivo
compras,2020-04-20,2020-05-11,4,sin_captura_en_archivo
compras,2020-05-25,2020-06-01,2,sin_captura_en_archivo
compras,2020-06-15,2020-07-13,5,sin_captura_en_archivo
compras,2020-07-27,2020-09-14,8,sin_captura_en_archivo
compras,2020-09-28,2020-09-28,1,sin_captura_en_archivo
compras,2020-11-02,2020-11-09,2,sin_captura_en_archivo
compras,2020-11-23,2020-11-30,2,sin_captura_en_archivo
compras,2020-12-21,2020-12-21,1,sin_captura_en_archivo
compras,2021-01-04,2021-02-08,6,sin_captura_en_archivo
compras,2021-02-22,2021-03-01,2,sin_captura_en_archivo
compras,2021-03-15,2021-04-26,7,sin_captura_en_archivo
compras,2024-05-06,2024-05-27,4,sin_captura_en_archivo
compras,2024-06-10,2025-04-07,44,sin_captura_en_archivo
compras,2025-04-21,2025-04-21,1,sin_captura_en_archivo
compras,2025-05-12,2025-05-12,1,sin_captura_en_archivo
compras,2025-05-26,2025-05-26,1,sin_captura_en_archivo
compras,2025-06-16,2025-06-16,1,sin_captura_en_archivo
compras,2025-08-04,2026-05-11,41,sin_captura_en_archivo
ventas,2016-12-05,2020-11-09,206,sin_captura_en_archivo
