origen,fecha_objetivo,horizonte,insumo_id,participacion,importe,total,unidad,demostracion
2025-08-04 00:00:00,2025-08-04 00:00:00,1,IMPUTADO,0.0,0.0,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,HARINA,0.395124468772573,240.02,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,CHOCOLATE,0.06517677371882186,39.59,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,FONDANT,0.08523108245172206,51.77,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,EMPAQUE,0.10663612678040178,64.78,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,CHANTILLY,0.09564616678453165,58.1,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,RELLENO,0.004356852829674959,2.65,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,DECORACION,0.03342867515410372,20.31,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,AMBIANTE,0.10387869169539336,63.1,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,HUEVO,0.09016807798460434,54.77,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-04 00:00:00,1,CAPACILLOS,0.020353083828173368,12.36,607.45,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,IMPUTADO,0.0,0.0,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,HARINA,0.395124468772573,158.8,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,CHOCOLATE,0.06517677371882186,26.19,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,FONDANT,0.08523108245172206,34.26,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,EMPAQUE,0.10663612678040178,42.86,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,CHANTILLY,0.09564616678453165,38.44,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,RELLENO,0.004356852829674959,1.75,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,DECORACION,0.03342867515410372,13.44,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,AMBIANTE,0.10387869169539336,41.75,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,HUEVO,0.09016807798460434,36.24,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-11 00:00:00,2,CAPACILLOS,0.020353083828173368,8.18,401.91,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,IMPUTADO,0.0,0.0,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,HARINA,0.395124468772573,287.62,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,CHOCOLATE,0.06517677371882186,47.44,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,FONDANT,0.08523108245172206,62.04,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,EMPAQUE,0.10663612678040178,77.62,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,CHANTILLY,0.09564616678453165,69.62,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,RELLENO,0.004356852829674959,3.17,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,DECORACION,0.03342867515410372,24.33,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,AMBIANTE,0.10387869169539336,75.62,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,HUEVO,0.09016807798460434,65.63,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-18 00:00:00,3,CAPACILLOS,0.020353083828173368,14.82,727.9100000000001,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,IMPUTADO,0.0,0.0,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,HARINA,0.395124468772573,163.77,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,CHOCOLATE,0.06517677371882186,27.01,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,FONDANT,0.08523108245172206,35.33,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,EMPAQUE,0.10663612678040178,44.2,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,CHANTILLY,0.09564616678453165,39.64,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,RELLENO,0.004356852829674959,1.81,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,DECORACION,0.03342867515410372,13.86,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,AMBIANTE,0.10387869169539336,43.06,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,HUEVO,0.09016807798460434,37.37,414.49,MXN nominales,False
2025-08-04 00:00:00,2025-08-25 00:00:00,4,CAPACILLOS,0.020353083828173368,8.44,414.49,MXN nominales,False
