insumo,importe,acumulado_pct
IMPUTADO,19913.295,18.516327866651313
HARINA,11270.18,28.995876730672876
CHOCOLATE,9703.300000000001,38.0184661207501
FONDANT,9540.0,46.889211411665215
EMPAQUE,7965.01,54.29545616529119
CHANTILLY,7658.0,61.416228433407326
RELLENO,7132.27,68.04815196758292
DECORACION,5617.15,73.27124493517871
AMBIANTE,2855.5,75.92642451360724
HUEVO,2726.65,78.46179323975751
CAPACILLOS,2251.16,80.55502877110935
BASES,2091.01,82.49934922297061
DOMO,2000.0,84.35904425251256
OTROS,1991.5700000000002,86.210900667505
QUESO CREMA,1860.9,87.9412539077423
MANTEQUILLA,1795.5,89.6107951205136
ADMINISTRACION,1450.0,90.95907401693151
NO DEFINIDO,1340.5900000000001,92.20561829675833
TRANSFER,990.0,93.1261673363816
GALLETAS,952.03,94.011410065869
ACEITE,909.5,94.85710638055322
CONSUMIBLES,793.45,95.59489389114823
DULCERIA,768.29,96.30928643827163
CASETAS,725.0,96.98342588648059
COLORANTES,722.0,97.65477579214523
ROYALICING,679.0,98.28614225467473
LICORES,639.0,98.88031481661338
AZUCAR,590.46,99.42935258018505
HORNEADO,279.5,99.68924496056354
LECHERA,154.4,99.83281341684417
LECHE EN POLVO,49.0,99.87837594506796
LECHE,48.8,99.92375250378878
JARABE,45.0,99.96559564195347
MANTECA VEGETAL,22.0,99.98605228727844
SABORIZANTE,15.0,100.0
CINTA,0.0,100.0
VELAS,0.0,100.0
