origen,fecha_objetivo,horizonte,modelo,fold,error_abs,mae_acumulado
2025-07-07,2025-07-07,1,hgb,1,47.27499999999998,47.27499999999998
2025-07-07,2025-07-07,1,hibrido,1,293.2240829668697,293.2240829668697
2025-07-07,2025-07-07,1,promedio_4s,1,491.3033333333333,491.3033333333333
2025-07-07,2025-07-07,1,ss_ar1,1,633.7231659337392,633.7231659337392
2025-07-07,2025-07-07,1,ultimo_valor,1,1231.0,1231.0
2025-07-07,2025-07-14,2,hgb,1,189.72500000000002,189.72500000000002
2025-07-07,2025-07-14,2,hibrido,1,371.36679753084627,371.36679753084627
2025-07-07,2025-07-14,2,promedio_4s,1,728.3033333333333,728.3033333333333
2025-07-07,2025-07-14,2,ss_ar1,1,553.0085950616924,553.0085950616924
2025-07-07,2025-07-14,2,ultimo_valor,1,1468.0,1468.0
2025-07-07,2025-07-21,3,hgb,1,371.82500000000005,371.82500000000005
2025-07-07,2025-07-21,3,hibrido,1,468.96448404147816,468.96448404147816
2025-07-07,2025-07-21,3,promedio_4s,1,910.4033333333333,910.4033333333333
2025-07-07,2025-07-21,3,ss_ar1,1,566.1039680829563,566.1039680829563
2025-07-07,2025-07-21,3,ultimo_valor,1,1650.1,1650.1
2025-07-07,2025-07-28,4,hgb,1,703.725,703.725
2025-07-07,2025-07-28,4,hibrido,1,755.9144462421027,755.9144462421027
2025-07-07,2025-07-28,4,promedio_4s,1,1242.3033333333333,1242.3033333333333
2025-07-07,2025-07-28,4,ss_ar1,1,808.1038924842053,808.1038924842053
2025-07-07,2025-07-28,4,ultimo_valor,1,1982.0,1982.0
