horizonte,origen,fecha_objetivo,real,ml_con_ventas,ml_sin_ventas,hibrido_con_ventas,hibrido_sin_ventas
1,2025-03-24,2025-03-24,305.44,311.5136685714281,308.5972685714281,307.13865855963235,306.40955855963233
1,2025-04-14,2025-04-14,79.0,304.4135699999995,304.7582899999995,324.36967885954334,324.45585885954335
1,2025-05-05,2025-05-05,1083.17,167.14111309523798,167.51149309523797,115.67509957670666,115.76769457670665
1,2025-05-26,2025-05-26,326.86,349.50036734126996,454.93208757936526,298.669331279566,325.0272613390898
1,2025-06-16,2025-06-16,877.4549999999999,392.53431528737843,441.01949726190475,318.7110238598834,330.832319353515
1,2025-07-07,2025-07-07,756.0,979.7947935119046,1026.3025949404757,1792.4177255119794,1804.044675869122
2,2025-03-24,2025-03-31,305.44,304.5555366666663,296.974433333333,305.45206659838925,303.55679076505595
2,2025-04-14,2025-04-21,95.5,305.4399999999995,303.7064499999995,336.93037979501617,336.4969922950162
2,2025-05-05,2025-05-12,749.945,169.70237166666655,166.94539309523796,117.25212935844556,116.56288471558841
2,2025-05-26,2025-06-02,372.0,396.5734539285713,518.0081570490622,310.44184221334723,340.80051799346995
2,2025-06-16,2025-06-23,1511.91,447.5887324258765,477.7748079960316,343.98385293455215,351.5303718270909
2,2025-07-07,2025-07-14,519.0,810.3788277543288,836.0938837536071,1742.9463885866023,1749.3751525864218
3,2025-03-24,2025-04-07,305.44,308.12396857142807,305.854668571428,306.35972455811736,305.7923995581173
3,2025-04-14,2025-04-28,112.0,317.77678999999944,305.2450399999995,347.90514623742854,344.77220873742857
3,2025-05-05,2025-05-19,281.72,168.1402888095237,167.99509309523796,116.77482133033504,116.73852240176362
3,2025-05-26,2025-06-09,243.0,408.6095390079365,442.35432662698423,313.4551026128577,321.8912995176196
3,2025-06-16,2025-06-30,1987.0,423.22760222222234,416.43321567460333,341.3496383562442,339.6510417193395
3,2025-07-07,2025-07-21,336.9,818.9072228657454,795.113530093795,1745.9637978862208,1740.0153746932333
4,2025-03-24,2025-04-14,79.0,309.72082547619,305.5698266666662,306.76350616912777,305.7257564667468
4,2025-04-14,2025-05-05,1083.17,313.58014999999943,306.5721999999995,351.91617848657586,350.16419098657593
4,2025-05-05,2025-05-26,326.86,163.95058738095227,167.99509309523796,115.73543687861616,116.74656330718757
4,2025-05-26,2025-06-16,877.4549999999999,462.1265047619048,487.9886846428571,326.838583023738,333.3041279939761
4,2025-06-16,2025-07-07,756.0,428.31803909690234,458.33233769841274,343.66005907387836,351.163633724256
4,2025-07-07,2025-07-28,5.0,827.2420507539682,849.309482440476,1747.9373830830318,1753.4542410046588
