horizonte,escenario,n,MAE,RMSE
1,RF_con_ventas,6,313.1453285069976,442.66274877770076
1,RF_sin_ventas,6,329.89737512235433,441.46520731430235
1,Hibrido_con_ventas,6,472.98593470249983,630.2653929788643
1,Hibrido_sin_ventas,6,468.3879696698311,631.5739724128839
2,RF_con_ventas,6,361.8901068206151,516.2432130502408
2,RF_sin_ventas,6,382.81814272967773,512.2845305868592
2,Hibrido_con_ventas,6,554.5943350789438,744.3648915818139
2,Hibrido_sin_ventas,6,549.7027632633722,743.9235294473774
3,RF_con_ventas,6,422.23827156889394,678.281312846538
3,RF_sin_ventas,6,422.58654275372754,679.0506832602476
3,Hibrido_con_ventas,6,587.823218601341,892.6971133085852
3,Hibrido_sin_ventas,6,587.9102863975493,891.6386689204073
4,RF_con_ventas,6,454.7454324983999,520.8959156647727
4,RF_sin_ventas,6,448.9126656117725,521.6679400543555
4,Hibrido_con_ventas,6,646.0059386315585,830.8846023213952
4,Hibrido_sin_ventas,6,644.5477469099017,831.6584464012404
