horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,6,599.8904325965145,509.97416666666663,8.720534346609446,6,0,complementaria_disponibilidad_propia
1,hibrido,6,609.4637240762577,456.0333973694654,13.460455765202056,6,0,principal_fechas_comunes
1,promedio_4s,6,494.03638226401995,393.6458333333333,12.755069871467176,6,0,complementaria_disponibilidad_propia
1,rf,6,442.66274877770076,313.1453285069976,11.248354371974834,6,0,principal_fechas_comunes
1,ses,6,687.4691297317487,503.66275365695475,14.197822896277799,6,0,principal_fechas_comunes
1,ultimo_valor,6,696.9430881983836,518.0341666666667,14.507498024785477,6,0,principal_fechas_comunes
2,estacional_52s,6,517.7061252172897,332.4741666666667,8.107392047091485,6,0,complementaria_disponibilidad_propia
2,hibrido,6,887.7639598420232,661.3719767952537,15.469432644349844,6,0,principal_fechas_comunes
2,promedio_4s,6,619.046880690136,473.07750000000004,12.498850303826378,6,0,complementaria_disponibilidad_propia
2,rf_residual__ss_arima111,6,1017.2612982023793,780.825611174183,17.883194749487014,6,0,principal_fechas_comunes
2,ss_arima111,6,846.1555877405898,621.6577353052651,14.66606139973346,6,0,principal_fechas_comunes
2,ultimo_valor,6,839.0824048849433,612.5124999999999,14.532518378568433,6,0,principal_fechas_comunes
3,estacional_52s,6,933.6806499726409,671.34,17.658415547580013,6,0,complementaria_disponibilidad_propia
3,hibrido,6,1020.9672958835225,665.0243707339292,13.040679430714535,6,0,principal_fechas_comunes
3,promedio_4s,6,779.8353643695278,523.3216666666666,10.86623608533825,6,0,complementaria_disponibilidad_propia
3,rf_residual__ss_arima111,6,1124.8563972410716,763.8708564754115,15.302333058539185,6,0,principal_fechas_comunes
3,ss_arima111,6,987.0567181550227,643.0182009454899,12.490557023425595,6,0,principal_fechas_comunes
3,ultimo_valor,6,985.9081397709762,632.6633333333333,12.337424317232795,6,0,principal_fechas_comunes
4,estacional_52s,6,434.5795567221649,383.95416666666665,10.821000696075862,6,0,complementaria_disponibilidad_propia
4,hibrido,6,976.0354385196459,729.566476864133,13.136436352223472,6,0,principal_fechas_comunes
4,promedio_4s,6,621.2544916324046,517.2895833333333,9.641251742771466,6,0,complementaria_disponibilidad_propia
4,rf_residual__ss_arima111,6,1074.0673280189374,788.9875854286978,14.688239640769808,6,0,principal_fechas_comunes
4,ss_arima111,6,946.048401131269,709.7594406759448,12.619168589374695,6,0,principal_fechas_comunes
4,ultimo_valor,6,935.2982622604941,718.2941666666667,12.825727844458134,6,0,principal_fechas_comunes
