horizonte,stat,ml,peso,mse,n
1,ss_ar1,hgb,0.25,27046.289706852735,5
1,ss_ar1,hgb,0.5,17479.685011105736,5
1,ss_ar1,hgb,0.75,13182.318860710298,5
1,ss_ar1,rf,0.25,3466.316910728373,5
1,ss_ar1,rf,0.5,5737.031080862119,5
1,ss_ar1,rf,0.75,9299.65586250813,5
1,ss_ar1,ridge,0.25,32435.507980786875,5
1,ss_ar1,ridge,0.5,21586.68531275464,5
1,ss_ar1,ridge,0.75,15492.91307104782,5
1,ss_arima111,hgb,0.25,23677.8167953648,5
1,ss_arima111,hgb,0.5,10719.852574642366,5
1,ss_arima111,hgb,0.75,3008.2402857839907,5
1,ss_arima111,rf,0.25,1565.0303494117077,5
1,ss_arima111,rf,0.5,933.4471112937736,5
1,ss_arima111,rf,0.75,592.7636377530922,5
1,ss_arima111,ridge,0.25,27854.558968118894,5
1,ss_arima111,ridge,0.5,13210.218074717874,5
1,ss_arima111,ridge,0.75,4106.358394941466,5
1,ss_arima111,rf_residual__ss_arima111,0.25,7194.841965826253,5
1,ss_arima111,rf_residual__ss_arima111,0.5,3331.366657734207,5
1,ss_arima111,rf_residual__ss_arima111,0.75,1114.0793120553433,5
1,ses,hgb,0.25,23536.649160903304,5
1,ses,hgb,0.5,10444.18356304453,5
1,ses,hgb,0.75,2604.7361543749503,5
1,ses,rf,0.25,1405.9052022530323,5
1,ses,rf,0.5,633.8347494330231,5
1,ses,rf,0.75,171.3019936468674,5
1,ses,ridge,0.25,27025.440323532453,5
1,ses,ridge,0.5,12017.281049620107,5
1,ses,ridge,0.75,3014.903253407478,5
1,holt_damped,hgb,0.25,23432.414725423674,5
1,holt_damped,hgb,0.5,11021.629259781834,5
1,holt_damped,hgb,0.75,4649.776551025772,5
1,holt_damped,rf,0.25,1629.5754156130856,5
1,holt_damped,rf,0.5,1648.4866446232468,5
1,holt_damped,rf,0.75,2544.247039137377,5
1,holt_damped,ridge,0.25,26768.168960444735,5
1,holt_damped,ridge,0.5,12390.677509546633,5
1,holt_damped,ridge,0.75,4906.906722450216,5
1,seasonal_52s,hgb,0.25,157870.22726458753,5
1,seasonal_52s,hgb,0.5,369204.0764421411,5
1,seasonal_52s,hgb,0.75,675883.6804806117,5
1,seasonal_52s,rf,0.25,84564.02621763255,5
1,seasonal_52s,rf,0.5,291159.7848441233,5
1,seasonal_52s,rf,0.75,622274.7892315789,5
1,seasonal_52s,ridge,0.25,136858.4876328848,5
1,seasonal_52s,ridge,0.5,338109.7995362741,5
1,seasonal_52s,ridge,0.75,651793.3167853125,5
2,ss_ar1,hgb,0.25,37656.294517863935,5
2,ss_ar1,hgb,0.5,28381.401894900737,5
2,ss_ar1,hgb,0.75,26210.36875304773,5
2,ss_ar1,rf,0.25,19457.113806595622,5
2,ss_ar1,rf,0.5,19669.479202470455,5
2,ss_ar1,rf,0.75,23564.83963104022,5
2,ss_ar1,ridge,0.25,22872.235073418862,5
2,ss_ar1,ridge,0.5,21941.041004982508,5
2,ss_ar1,ridge,0.75,24698.02767794453,5
2,ss_arima111,hgb,0.25,31258.28001177957,5
2,ss_arima111,hgb,0.5,14831.22276367452,5
2,ss_arima111,hgb,0.75,4753.874877622193,5
2,ss_arima111,rf,0.25,13739.91004860283,5
2,ss_arima111,rf,0.5,7027.047735366333,5
2,ss_arima111,rf,0.75,2789.156503706256,5
2,ss_arima111,ridge,0.25,16940.81914992601,5
2,ss_arima111,ridge,0.5,9012.993317211634,5
2,ss_arima111,ridge,0.75,3708.1323851105,5
2,ss_arima111,rf_residual__ss_arima111,0.25,3149.6469512404265,5
2,ss_arima111,rf_residual__ss_arima111,0.5,1724.7909726640166,5
2,ss_arima111,rf_residual__ss_arima111,0.75,1016.987440124741,5
2,ses,hgb,0.25,30363.112659481267,5
2,ses,hgb,0.5,13469.678057488778,5
2,ses,hgb,0.75,3354.742815959874,5
2,ses,rf,0.25,12894.622645381492,5
2,ses,rf,0.5,5732.009627949875,5
2,ses,rf,0.75,1439.9043911208994,5
2,ses,ridge,0.25,15520.076935714224,5
2,ses,ridge,0.5,6950.682128474584,5
2,ses,ridge,0.75,1783.4254615346981,5
2,holt_damped,hgb,0.25,30147.123535174956,5
2,holt_damped,hgb,0.5,13896.325031726572,5
2,holt_damped,hgb,0.75,5282.651111592184,5
2,holt_damped,rf,0.25,13068.794895558936,5
2,holt_damped,rf,0.5,6678.871768166013,5
2,holt_damped,rf,0.75,3757.9740612369706,5
2,holt_damped,ridge,0.25,16220.582237512222,5
2,holt_damped,ridge,0.5,8599.321670851463,5
2,holt_damped,ridge,0.75,4627.828183271327,5
2,seasonal_52s,hgb,0.25,96251.92364630192,5
2,seasonal_52s,hgb,0.5,209534.5454549339,5
2,seasonal_52s,hgb,0.75,393882.9120478332,5
2,seasonal_52s,rf,0.25,73622.96257118406,5
2,seasonal_52s,rf,0.5,194916.24894403756,5
2,seasonal_52s,rf,0.75,386807.6025619762,5
2,seasonal_52s,ridge,0.25,68788.10232205984,5
2,seasonal_52s,ridge,0.5,186187.83539195303,5
2,seasonal_52s,ridge,0.75,379690.80909293296,5
3,ss_ar1,hgb,0.25,42198.862915084595,5
3,ss_ar1,hgb,0.5,34512.571633169915,5
3,ss_ar1,hgb,0.75,34494.43783149708,5
3,ss_ar1,rf,0.25,24539.950339791583,5
3,ss_ar1,rf,0.5,26701.704796822007,5
3,ss_ar1,rf,0.75,32569.875186913512,5
3,ss_ar1,ridge,0.25,39493.193679979784,5
3,ss_ar1,ridge,0.5,31803.99108836176,5
3,ss_ar1,ridge,0.75,32687.747031723866,5
3,ss_arima111,hgb,0.25,33673.31724345674,5
3,ss_arima111,hgb,0.5,16330.345510335086,5
3,ss_arima111,hgb,0.75,5524.396477876134,5
3,ss_arima111,rf,0.25,15891.663191031908,5
3,ss_arima111,rf,0.5,8355.82337114474,5
3,ss_arima111,rf,0.75,3477.0923561607297,5
3,ss_arima111,ridge,0.25,32799.89872650504,5
3,ss_arima111,ridge,0.5,16064.76592306442,5
3,ss_arima111,ridge,0.75,5549.956396256032,5
3,ss_arima111,rf_residual__ss_arima111,0.25,2904.824646571072,5
3,ss_arima111,rf_residual__ss_arima111,0.5,1240.0460347506912,5
3,ss_arima111,rf_residual__ss_arima111,0.75,690.2612012536266,5
3,ses,hgb,0.25,32401.37562335855,5
3,ses,hgb,0.5,14428.22948167327,5
3,ses,hgb,0.75,3633.873252185276,5
3,ses,rf,0.25,14709.931419376697,5
3,ses,rf,0.5,6573.987140406908,5
3,ses,rf,0.75,1676.7789789128633,5
3,ses,ridge,0.25,31510.775141134578,5
3,ses,ridge,0.5,14139.740607372927,5
3,ses,ridge,0.75,3642.2512052929196,5
3,holt_damped,hgb,0.25,32719.457174255243,5
3,holt_damped,hgb,0.5,15565.37555305035,5
3,holt_damped,hgb,0.75,6091.0668136264185,5
3,holt_damped,rf,0.25,15040.371822394562,5
3,holt_damped,rf,0.5,7727.611681278873,5
3,holt_damped,rf,0.75,4146.331392475167,5
3,holt_damped,ridge,0.25,31422.55131547962,5
3,holt_damped,ridge,0.5,14735.146176681117,5
3,holt_damped,ridge,0.75,5693.139390182391,5
3,seasonal_52s,hgb,0.25,150419.03565687643,5
3,seasonal_52s,hgb,0.5,380468.78194388124,5
3,seasonal_52s,hgb,0.75,747702.5505382558,5
3,seasonal_52s,rf,0.25,121296.58287575268,5
3,seasonal_52s,rf,0.5,357373.1948330925,5
3,seasonal_52s,rf,0.75,734314.4476878414,5
3,seasonal_52s,ridge,0.25,115198.65983911294,5
3,seasonal_52s,ridge,0.5,334407.25928886165,5
3,seasonal_52s,ridge,0.75,713381.1531558239,5
4,ss_ar1,hgb,0.25,98049.5767720679,5
4,ss_ar1,hgb,0.5,64331.461572921326,5
4,ss_ar1,hgb,0.75,47832.751723076464,5
4,ss_ar1,rf,0.25,28539.394200184888,5
4,ss_ar1,rf,0.5,31140.899019785174,5
4,ss_ar1,rf,0.75,37812.250027234644,5
4,ss_ar1,ridge,0.25,53196.82469712939,5
4,ss_ar1,ridge,0.5,43648.84158260164,5
4,ss_ar1,ridge,0.75,42101.049091069624,5
4,ss_arima111,hgb,0.25,85382.33825979521,5
4,ss_arima111,hgb,0.5,39575.22312816048,5
4,ss_arima111,hgb,0.75,11565.751925611943,5
4,ss_arima111,rf,0.25,18484.45132312252,5
4,ss_arima111,rf,0.5,9867.721421971402,5
4,ss_arima111,rf,0.75,4157.545864980426,5
4,ss_arima111,ridge,0.25,41996.84367946112,5
4,ss_arima111,ridge,0.5,20848.94646397999,5
4,ss_arima111,ridge,0.75,7301.306788209479,5
4,ss_arima111,rf_residual__ss_arima111,0.25,5652.230206380809,5
4,ss_arima111,rf_residual__ss_arima111,0.5,2441.4214815898004,5
4,ss_arima111,rf_residual__ss_arima111,0.75,1008.6529635127292,5
4,ses,hgb,0.25,83790.05227598156,5
4,ses,hgb,0.5,37229.5721968664,5
4,ses,hgb,0.75,9305.657083170749,5
4,ses,rf,0.25,16894.69359159817,5
4,ses,rf,0.5,7525.441493729758,5
4,ses,rf,0.75,1899.979274828555,5
4,ses,ridge,0.25,39935.23981973983,5
4,ses,ridge,0.5,17877.538364809116,5
4,ses,ridge,0.75,4571.894069860687,5
4,holt_damped,hgb,0.25,84238.12603102617,5
4,holt_damped,hgb,0.5,38538.62149740582,5
4,holt_damped,hgb,0.75,11888.583719655091,5
4,holt_damped,rf,0.25,17274.936464718012,5
4,holt_damped,rf,0.5,8744.04961836945,5
4,holt_damped,rf,0.75,4415.075029388115,5
4,holt_damped,ridge,0.25,39583.649182867586,5
4,holt_damped,ridge,0.5,18120.368476126023,5
4,holt_damped,ridge,0.75,6355.156314428159,5
4,seasonal_52s,hgb,0.25,278856.3982695218,5
4,seasonal_52s,hgb,0.5,456013.2409291041,5
4,seasonal_52s,hgb,0.75,680457.6252992635,5
4,seasonal_52s,rf,0.25,125051.50390147438,5
4,seasonal_52s,rf,0.5,310429.72931441566,5
4,seasonal_52s,rf,0.75,586142.4118072574,5
4,seasonal_52s,ridge,0.25,129645.48142672195,5
4,seasonal_52s,ridge,0.5,296186.4012483029,5
