semana_inicio,categoria_presupuestaria,registros_excluidos,importe_nominal_excluido
2016-12-12,IMPUTADO,1,865.75
2016-12-19,IMPUTADO,1,865.75
2016-12-26,IMPUTADO,1,865.75
2017-01-02,IMPUTADO,1,865.75
2017-01-09,IMPUTADO,1,865.75
2017-01-16,IMPUTADO,1,865.75
2017-01-23,IMPUTADO,1,865.75
2017-01-30,IMPUTADO,1,865.75
2017-02-06,IMPUTADO,1,865.75
2017-02-13,IMPUTADO,1,865.75
2017-02-20,IMPUTADO,1,865.75
2017-02-27,IMPUTADO,1,865.75
2017-03-06,IMPUTADO,1,865.75
2017-03-13,IMPUTADO,1,865.75
2017-03-20,IMPUTADO,1,865.75
2017-03-27,IMPUTADO,1,865.75
2017-04-03,IMPUTADO,1,865.75
2017-04-10,IMPUTADO,1,865.75
2017-04-17,IMPUTADO,1,865.75
2017-04-24,IMPUTADO,1,865.75
2017-05-01,IMPUTADO,1,865.75
2017-05-08,IMPUTADO,1,865.75
2017-05-15,IMPUTADO,1,865.75
2017-05-22,IMPUTADO,1,865.75
2017-05-29,IMPUTADO,1,865.75
2017-06-05,IMPUTADO,1,865.75
2017-06-12,IMPUTADO,1,865.75
2017-06-19,IMPUTADO,1,865.75
2017-06-26,IMPUTADO,1,865.75
2017-07-03,IMPUTADO,1,865.75
2017-07-10,IMPUTADO,1,865.75
2017-07-17,IMPUTADO,1,865.75
2017-07-24,IMPUTADO,1,865.75
2017-07-31,IMPUTADO,1,865.75
2017-08-07,IMPUTADO,1,865.75
2017-08-14,IMPUTADO,1,865.75
2017-08-21,IMPUTADO,1,865.75
2017-08-28,IMPUTADO,1,865.75
2017-09-04,IMPUTADO,1,865.75
2017-09-11,IMPUTADO,1,865.75
2017-09-18,IMPUTADO,1,865.75
2017-09-25,IMPUTADO,1,865.75
2017-10-02,IMPUTADO,1,865.75
2017-10-09,IMPUTADO,1,865.75
2017-10-16,IMPUTADO,1,865.75
2017-10-23,IMPUTADO,1,865.75
2017-10-30,IMPUTADO,1,865.75
2017-11-06,IMPUTADO,1,865.75
2017-11-13,IMPUTADO,1,865.75
2017-11-20,IMPUTADO,1,865.75
2017-11-27,IMPUTADO,1,865.75
2017-12-04,IMPUTADO,1,865.75
2017-12-11,IMPUTADO,1,865.75
2017-12-18,IMPUTADO,1,865.75
2017-12-25,IMPUTADO,1,865.75
2018-01-01,IMPUTADO,1,865.75
2018-01-08,IMPUTADO,1,865.75
2018-01-15,IMPUTADO,1,865.75
2018-01-22,IMPUTADO,1,865.75
2018-01-29,IMPUTADO,1,865.75
2018-02-05,IMPUTADO,1,865.75
2018-02-12,IMPUTADO,1,865.75
2018-02-19,IMPUTADO,1,865.75
2018-02-26,IMPUTADO,1,865.75
2018-03-05,IMPUTADO,1,865.75
2018-03-12,IMPUTADO,1,865.75
2018-03-19,IMPUTADO,1,865.75
2018-03-26,IMPUTADO,1,865.75
2018-04-02,IMPUTADO,1,865.75
2018-04-09,IMPUTADO,1,865.75
2018-04-16,IMPUTADO,1,865.75
2018-04-23,IMPUTADO,1,865.75
2018-04-30,IMPUTADO,1,865.75
2018-05-07,IMPUTADO,1,865.75
2018-05-14,IMPUTADO,1,865.75
2018-05-21,IMPUTADO,1,865.75
2018-05-28,IMPUTADO,1,865.75
2018-06-04,IMPUTADO,1,865.75
2018-06-11,IMPUTADO,1,865.75
2018-06-18,IMPUTADO,1,865.75
2018-06-25,IMPUTADO,1,865.75
2018-07-02,IMPUTADO,1,865.75
2018-07-09,IMPUTADO,1,865.75
2018-07-16,IMPUTADO,1,865.75
2018-07-23,IMPUTADO,1,865.75
2018-07-30,IMPUTADO,1,865.75
2018-08-06,IMPUTADO,1,865.75
2018-08-13,IMPUTADO,1,865.75
2018-08-20,IMPUTADO,1,865.75
2018-08-27,IMPUTADO,1,865.75
2018-09-03,IMPUTADO,1,865.75
2018-09-10,IMPUTADO,1,865.75
2018-09-17,IMPUTADO,1,865.75
2018-09-24,IMPUTADO,1,865.75
2018-10-01,IMPUTADO,1,865.75
2018-10-08,IMPUTADO,1,865.75
2018-10-15,IMPUTADO,1,865.75
2018-10-22,IMPUTADO,1,865.75
2018-10-29,IMPUTADO,1,865.75
2018-11-05,IMPUTADO,1,865.75
2018-11-12,IMPUTADO,1,865.75
2018-11-19,IMPUTADO,1,865.75
2018-11-26,IMPUTADO,1,865.75
2018-12-03,IMPUTADO,1,865.75
2018-12-10,IMPUTADO,1,865.75
2018-12-17,IMPUTADO,1,865.75
2018-12-24,IMPUTADO,1,865.75
2018-12-31,IMPUTADO,1,865.75
2019-01-07,IMPUTADO,1,865.75
2019-01-14,IMPUTADO,1,865.75
2019-01-28,IMPUTADO,1,551.75
2019-02-04,IMPUTADO,1,551.75
2019-02-11,IMPUTADO,1,551.75
2019-02-18,IMPUTADO,1,551.75
2019-02-25,IMPUTADO,1,551.75
2019-03-04,IMPUTADO,1,551.75
2019-03-11,IMPUTADO,1,551.75
2019-03-18,IMPUTADO,1,551.75
2019-03-25,IMPUTADO,1,551.75
2019-04-01,IMPUTADO,1,551.75
2019-04-08,IMPUTADO,1,551.75
2019-04-15,IMPUTADO,1,551.75
2019-04-22,IMPUTADO,1,551.75
2019-04-29,IMPUTADO,1,551.75
2019-05-06,IMPUTADO,1,551.75
2019-05-13,IMPUTADO,1,551.75
2019-05-20,IMPUTADO,1,551.75
2019-05-27,IMPUTADO,1,551.75
2019-06-03,IMPUTADO,1,551.75
2019-06-10,IMPUTADO,1,551.75
2019-06-24,IMPUTADO,1,535.25
2019-07-01,IMPUTADO,1,535.25
2019-07-08,IMPUTADO,1,535.25
2019-07-15,IMPUTADO,1,535.25
2019-07-22,IMPUTADO,1,535.25
2019-07-29,IMPUTADO,1,535.25
2019-08-05,IMPUTADO,1,535.25
2019-08-12,IMPUTADO,1,535.25
2019-08-19,IMPUTADO,1,535.25
2019-08-26,IMPUTADO,1,535.25
2019-09-02,IMPUTADO,1,535.25
2019-09-16,IMPUTADO,1,415.5
2019-09-30,IMPUTADO,1,461.75
2019-10-07,IMPUTADO,1,461.75
2019-10-14,IMPUTADO,1,461.75
2019-10-21,IMPUTADO,1,461.75
2019-10-28,IMPUTADO,1,461.75
2019-11-04,IMPUTADO,1,461.75
2019-11-11,IMPUTADO,1,461.75
2019-11-18,IMPUTADO,1,461.75
2019-11-25,IMPUTADO,1,461.75
2019-12-02,IMPUTADO,1,461.75
2019-12-09,IMPUTADO,1,461.75
2019-12-16,IMPUTADO,1,461.75
2019-12-23,IMPUTADO,1,461.75
2019-12-30,IMPUTADO,1,461.75
2020-01-06,IMPUTADO,1,461.75
2020-01-13,IMPUTADO,1,461.75
2020-01-20,IMPUTADO,1,461.75
2020-01-27,IMPUTADO,1,461.75
2020-02-03,IMPUTADO,1,461.75
2020-02-10,IMPUTADO,1,461.75
2020-02-17,IMPUTADO,1,461.75
2020-02-24,IMPUTADO,1,461.75
2020-03-02,IMPUTADO,1,461.75
2020-03-09,IMPUTADO,1,461.75
2020-03-16,IMPUTADO,1,461.75
