insumo,importe,acumulado_pct
HARINA,11219.18,13.457151373431458
CHOCOLATE,9703.300000000001,25.09603914614012
FONDANT,9540.0,36.53905228101594
EMPAQUE,7965.01,46.09290071386891
CHANTILLY,7589.0,55.19573369925388
RELLENO,7132.27,63.750729432113495
DECORACION,5532.15,70.38641759921028
AMBIANTE,2855.5,73.81152493743228
HUEVO,2726.65,77.0820796296974
CAPACILLOS,2251.16,79.78229487589311
BASES,2091.01,82.29041383764957
QUESO CREMA,1860.9,84.52252108531103
MANTEQUILLA,1795.5,86.67618251965794
ADMINISTRACION,1450.0,88.41542455797764
NO DEFINIDO,1340.5900000000001,90.0234317884266
TRANSFER,990.0,91.21091428355524
GALLETAS,952.03,92.35285262682524
ACEITE,909.5,93.44377720189541
CONSUMIBLES,793.45,94.39550244003664
DULCERIA,768.29,95.31704883011983
COLORANTES,722.0,96.18307141747626
ROYALICING,679.0,96.997516482317
CASETAS,660.0,97.78917147906941
LICORES,639.0,98.5556374531979
AZUCAR,590.46,99.26388080074705
HORNEADO,279.5,99.59913469709902
LECHERA,154.4,99.78433398724835
LECHE EN POLVO,49.0,99.84310837337088
LECHE,48.8,99.90164286403986
JARABE,45.0,99.95561934109115
MANTECA VEGETAL,22.0,99.9820078409829
SABORIZANTE,15.0,100.0
CINTA,0.0,100.0
DOMO,0.0,100.0
VELAS,0.0,100.0
