horizonte,modelo,n,rmse,mae,mase,n_mase,excluidas,comparacion
1,estacional_52s,2,1101.4944393867816,1059.0,13.209154588808241,2,4,complementaria_disponibilidad_propia
1,hibrido,6,521.5995394692759,386.43386638863285,28.89388240981451,6,0,principal_fechas_comunes
1,promedio_4s,6,464.9605137916732,314.55,29.783297565960073,6,0,complementaria_disponibilidad_propia
1,rf,6,446.20927815314644,299.28784832010575,28.36310193687622,6,0,principal_fechas_comunes
1,ses,6,583.3502932331808,419.4569465340501,29.106883752127857,6,0,principal_fechas_comunes
1,ultimo_valor,6,658.6840830145106,467.64833333333337,29.456557021378718,6,0,principal_fechas_comunes
2,estacional_52s,4,292.6344197116942,245.97,3.4995443663844203,4,2,complementaria_disponibilidad_propia
2,hgb,6,596.1748203341278,392.28019883089127,7.418671535961117,6,0,principal_fechas_comunes
2,hibrido,6,695.413702845596,439.2613312921682,7.938851860410253,6,0,principal_fechas_comunes
2,promedio_4s,6,552.8697613230595,292.4558333333333,5.008967663354309,6,0,complementaria_disponibilidad_propia
2,ses,6,733.3978557618589,454.9217087792606,8.1122453018933,6,0,principal_fechas_comunes
2,ultimo_valor,6,794.3394600232322,489.865,8.517160854239668,6,0,principal_fechas_comunes
3,estacional_52s,4,1234.7658128163414,1029.175,19.880572592480267,4,2,complementaria_disponibilidad_propia
3,hibrido,6,801.619333604913,458.79707820179306,7.5109404882428015,6,0,principal_fechas_comunes
3,nn_residual__ss_arima111,6,824.296034637891,420.9975973185904,7.433514442576577,6,0,principal_fechas_comunes
3,promedio_4s,6,769.0955138247892,472.26499999999993,12.305274464749322,6,0,complementaria_disponibilidad_propia
3,ss_arima111,6,848.1760846753662,508.830238496194,7.876520437203756,6,0,principal_fechas_comunes
3,ultimo_valor,6,983.8033447459575,619.09,11.887824776070877,6,0,principal_fechas_comunes
4,estacional_52s,2,534.5844180295569,380.5,5.488375574123582,2,4,complementaria_disponibilidad_propia
4,hibrido,6,700.8788922918097,572.5371601547813,16.678834521440397,6,0,principal_fechas_comunes
4,promedio_4s,6,641.1869795299574,506.9066666666667,10.743234604893429,6,0,complementaria_disponibilidad_propia
4,rf_residual__ss_arima111,6,578.9474225912162,463.27677948310793,15.584970782115073,6,0,principal_fechas_comunes
4,ss_arima111,6,777.7455923643996,608.9572870453391,17.04345576788217,6,0,principal_fechas_comunes
4,ultimo_valor,6,954.1926261941733,675.1483333333334,13.736587385350786,6,0,principal_fechas_comunes
